V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,190.6071,8.4887,0.0,2.5723,0.0283,1923.0894,31.8272,28.0054,11.8864,1.5964,11.4969,3.9092,5.6902,0.1095,0.0081,0.0262,0.0218,0.0077,0.0217,0.016,0.008,14.0992,0.0,0.0,1.0854,197.4886,0.0001,0.0001,0.0,0.0001,0.0,71.7984,0.7941,0.0,0.6492,0.0,0.7084,2.102,1.4429,18.2501,0.564,1.035,1.2397,2.0398,0.0
TUN_A03,25.1913,56.989,0.0,0.4399,0.0001,258.5461,4.5214,1.336,0.9886,0.3992,1.9265,0.9914,0.7382,0.0097,0.0013,0.0043,0.0034,0.0033,0.0035,0.0024,0.0015,1.963,0.0,0.0,0.1648,21.4861,0.0,0.0,0.0,0.0,0.0,45.1278,1.1208,0.0,0.1837,0.0,0.2147,0.6343,0.4666,5.4302,0.2261,0.4319,0.5535,1.1188,0.0
TUN_B05_06,0.3396,0.0518,20.1122,15.5818,1.0249,15.6048,2.9409,0.6987,2.323,484.5908,15.3003,0.4041,0.9195,2.5486,2.0116,1.2517,0.7421,0.4014,0.7676,0.5353,0.2433,0.8556,202.3302,1.8059,2.4533,2.8218,0.0163,0.003,0.0041,0.0049,1.7205,27.5432,0.3181,8.8801,0.387,4.9199,0.3586,1.2508,0.8906,1.7465,0.0558,0.0483,0.0221,0.2291,0.0
TUN_B07_08,0.0,0.0,0.6257,6.117,2.0694,6.7078,4.0724,0.0068,0.025,76.1301,225.9201,14.095,0.0105,51.4756,0.9852,0.6768,0.3446,0.4138,0.4275,0.2547,0.0697,0.0152,0.0,0.0,89.0773,0.1854,0.0042,0.0005,0.0007,0.0021,0.0,2.8687,0.0005,0.0,0.001,0.0061,0.0011,0.0031,0.0011,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,2.5865,0.7878,123.08,12.4397,23.1398,0.7424,0.1376,0.0834,0.6427,69.6633,3.2775,0.0903,0.1651,6.8807,5.412,1.5706,0.029,0.0413,0.378,0.0214,0.0121,0.0558,10.2593,0.7272,27.6392,0.2396,0.8634,0.0868,0.0028,0.9567,0.0306,0.32,0.0019,0.0,0.0101,0.0113,0.3385,0.1846,0.1962,2.1053,0.0065,0.0071,0.0121,0.0161,0.0
TUN_C10T12,532.0166,60.5146,1.6623,1.0959,0.2519,667.0404,17.787,0.1932,0.2575,5.856,22.4156,6.2123,0.2153,1.2866,0.4114,0.4301,0.3282,0.2287,0.3244,0.3193,0.0646,0.3671,0.8088,5.477,5.7051,79.7336,3.0295,0.6728,1.5754,0.3828,0.6181,601.9789,0.2791,1.1407,1.8484,3.6833,2.3434,6.2089,4.2767,37.4677,1.0577,1.8397,1.2885,2.2586,0.0
TUN_C13T15,0.1487,0.0566,7.5105,2.2531,0.128,3.4897,1158.9764,1.1848,4.0477,1.9316,0.4954,0.1435,3.8507,1.1747,0.0655,0.1955,0.3228,0.1123,0.1768,0.3537,0.0528,10.7545,0.4865,3.9054,2.5628,12.1938,0.6838,0.2407,0.3197,0.3386,0.8408,5.5122,1.3869,1.7077,3.9787,0.4872,4.4671,12.7448,11.3951,61.2177,1.2848,2.4612,2.9604,5.9848,0.0
TUN_C16,0.7012,0.0664,1.1697,0.8735,0.2865,14.3064,7.9486,99.973,18.8023,0.0,1.7184,0.2372,4.2381,2.8591,0.7656,3.0182,2.4857,1.2897,2.1096,1.3997,0.714,59.3877,0.1553,0.9344,149.857,2.6412,0.2873,0.0821,0.0637,0.2426,0.084,0.1639,0.6853,0.2535,0.8832,0.6154,1.6351,1.958,1.6529,4.6221,0.1663,0.1289,0.4164,0.8251,0.0
TUN_C17_18,0.5255,0.0947,1.105,0.9366,0.1855,55.0832,26.1757,8.1724,133.4313,0.0,6.4814,2.6003,4.698,3.4782,0.7966,3.3088,4.9708,2.6913,2.5186,1.399,0.3514,7.4181,0.2005,2.3665,11.1548,13.9385,0.7004,0.108,0.2432,0.4888,0.8035,0.6496,56.4617,2.7682,3.572,8.6927,2.8041,15.2426,5.6275,19.5572,0.8227,0.5444,1.2916,1.1051,0.0
TUN_C19,43.0361,9.1394,17.4043,14.2456,2.1103,39.2268,18.4629,2.6523,3.5166,0.0,16.0014,1.0684,2.8902,16.7981,5.4039,5.4091,3.9534,2.9497,4.0925,1.7741,0.4853,4.2663,11.1731,6.9075,56.4035,22.764,41.7747,9.2267,21.7019,5.2594,5.1704,12.4554,1.0571,9.1789,1.9634,0.8108,3.3465,5.7404,7.7958,32.4277,0.4782,0.8024,0.8245,0.9655,0.0
TUN_C20,35.694,0.4811,1.7609,1.3043,0.8346,21.2324,29.4029,5.7514,12.4123,0.0,147.6638,14.8585,36.001,2.349,2.6006,5.5434,7.5439,4.803,2.9283,2.9847,0.5951,6.5188,0.087,1.2823,7.504,0.4645,0.0502,0.0116,0.0123,0.0287,0.0108,1.0566,2.6081,0.0316,1.0561,0.306,2.5804,5.8715,3.5059,3.9246,0.1795,0.4299,0.1831,0.6409,0.0
TUN_C21,27.17,2.9583,0.3902,0.5112,0.0303,16.4317,7.663,1.88,4.5495,0.0,55.6858,244.2184,3.7086,0.5955,0.7768,1.3613,2.9073,0.8374,1.465,1.1906,0.2641,4.7453,0.0229,0.5093,1.8527,0.2383,0.0295,0.0149,0.0169,0.0188,0.0133,0.744,1.0546,0.0336,0.9694,0.3076,1.0208,6.9561,1.654,6.5121,0.1874,1.6026,0.0325,0.2577,0.0
TUN_C22,0.4807,0.0624,1.0293,1.0847,0.4496,36.4249,24.1039,4.0517,7.879,0.0,5.4997,1.4454,33.4744,2.1137,0.7641,3.9675,7.6701,5.6536,6.0488,6.5275,0.6481,11.0977,0.0816,1.665,49.6974,5.7723,0.7603,0.0443,0.0752,0.1647,0.1604,0.2144,2.3049,0.3674,0.4261,0.7028,0.8597,1.7518,1.3242,3.357,0.0908,0.1887,0.1184,0.3134,0.0
TUN_C23,0.8701,0.1828,0.9944,1.447,1.4452,16.8564,0.7799,0.9235,0.4633,0.5624,3.6953,1.3567,1.2619,190.5561,3.4974,6.2764,9.2539,4.9493,4.8314,4.3084,0.6301,1.1606,0.6341,0.25,717.7058,0.8076,0.8469,0.1869,0.4371,0.1154,0.1098,7.6445,0.0975,0.2028,0.0804,0.0916,0.1648,0.2444,0.2296,1.8496,0.045,0.0714,0.0572,0.1165,0.0
TUN_C24,0.2572,0.0672,0.1427,0.1371,0.5006,4.8628,3.4375,0.4037,0.9099,0.0,1.5617,0.1616,1.4521,3.2401,37.8112,62.4975,15.911,25.0682,25.2267,18.815,2.9479,4.3902,7.563,0.0426,46.7329,0.2591,0.4831,0.1817,0.1101,0.2383,0.0965,0.8072,0.0754,0.3305,0.3371,0.0567,0.8657,1.9408,0.7115,0.8375,0.0173,0.0259,0.0516,0.1377,0.0
TUN_C25,3.8038,0.4389,0.5876,0.6727,2.4413,66.4829,42.0213,5.0429,2.6423,0.0,8.5649,1.4273,4.9823,10.4081,22.9007,150.7314,54.0758,44.9158,79.5446,53.3396,12.4558,21.3732,29.4304,0.1067,250.3279,3.2739,2.6151,0.5709,0.6244,1.7128,0.5084,11.8041,0.7934,2.6733,4.4759,0.4701,7.0224,11.6831,9.384,10.5426,0.1887,0.1872,0.3203,0.4688,0.0
