V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,898.7448,30.1164,0.6613,0.0105,0.0321,3338.5287,0.1455,187.4345,0.0219,0.0438,1.2472,10.3358,0.1207,0.0205,0.0094,0.0277,0.1429,0.0092,0.0505,0.0121,0.0086,0.2459,9.3857,0.0232,29.872,17.8436,0.1077,1.1468,0.0283,0.0901,0.0223,65.8288,0.2067,0.1241,0.0756,0.1871,4.0455,4.1625,0.2716,4.0756,0.375,9.9108,0.1819,2.9325,0.0
IRL_A03,0.0,241.6712,0.0037,0.0004,0.0001,29.434,0.0,0.0,0.0,0.0001,0.0012,0.0108,0.0007,0.0011,0.0,0.0001,0.0014,0.0,0.0,0.0,0.0,0.6924,0.0,0.0,0.0,0.0188,0.0,0.2856,0.0,0.0,0.0,0.8457,0.0024,0.0,0.0,0.001,0.015,0.0,0.0,0.0004,0.0,0.0575,0.0,0.0513,0.0
IRL_B05_06,0.0,0.0,0.0233,0.0127,0.1028,0.019,0.0116,0.0079,0.0579,96.3806,0.003,0.0218,0.0077,0.0027,0.0457,0.0479,0.5433,0.0008,0.004,0.0044,0.0002,0.0346,47.2197,0.0013,0.003,0.0016,0.0007,0.0001,0.0,0.001,0.0,0.0007,0.0001,0.0,0.0004,0.0017,0.0004,0.0001,0.0151,0.0053,0.0449,2.4146,0.0,0.0001,0.0
IRL_B07_08,15.3158,0.1081,0.2535,235.3083,2.9017,48.006,0.1341,0.2496,0.468,44.5942,9.8789,71.7449,2.1371,67.502,145.6378,0.9894,3.1265,0.2696,1.8522,0.0868,0.6718,193.5636,0.4797,5.7972,270.2327,10.1033,2.8811,0.3024,3.1019,3.3966,0.2644,3.096,0.9466,0.6718,0.3228,0.8223,1.291,1.1976,3.3802,4.5679,3.9649,2.1753,0.3832,3.335,0.0
IRL_B09,0.2101,0.028,1.0113,1.3022,0.8744,0.1684,0.0005,0.0062,0.0514,5.2661,0.4419,0.22,0.0247,0.3758,0.2996,0.0747,0.0095,0.001,0.0278,0.0006,0.0013,0.01,2.6621,0.0599,4.2849,0.1004,0.1384,0.0052,0.0017,0.1759,0.0048,0.0282,0.0022,0.0,0.0217,0.0207,0.1904,0.1878,0.2235,0.1117,0.0276,0.0691,0.0138,0.0136,0.0
IRL_C10T12,780.9288,3.2571,0.0411,0.3595,0.1184,2892.4424,0.595,1.0046,2.0927,1.7362,19.8204,106.5259,3.9432,0.6346,1.0087,0.4669,8.9709,0.1157,0.8954,0.2852,0.0974,2.9775,6.7666,0.9692,18.508,222.2229,12.2645,1.3785,9.8658,9.824,8.9651,1071.6047,22.069,9.5382,44.1567,13.02,0.2376,73.8136,37.8707,13.8244,12.274,26.8173,9.6622,32.3047,0.0
IRL_C13T15,3.9938,0.351,0.0838,0.1166,0.0523,1.0647,36.3758,0.5733,1.1485,0.4963,0.7996,9.612,0.6605,0.3694,0.0772,0.1876,2.4172,0.0752,0.3475,0.1231,0.0708,14.9704,0.2618,0.1183,32.5351,15.1362,1.5651,0.0484,1.06,1.6386,1.0127,9.0645,1.4261,0.984,13.1621,1.0286,0.0804,22.5368,13.3216,26.4647,0.3305,12.9027,0.58,19.8252,0.0
IRL_C16,0.913,0.0107,0.0554,0.042,0.0665,6.0566,0.0549,29.3972,0.6897,0.4278,0.1559,1.4541,4.2795,1.1011,0.1121,0.9025,0.7641,0.1431,0.843,0.1823,0.0888,94.7729,0.2172,0.0483,107.4433,2.6975,0.7551,0.0267,0.3945,0.3617,0.1635,1.5016,0.4969,0.5998,1.2791,1.1901,0.2175,3.2855,3.9893,0.4404,8.0889,0.6889,0.1521,1.3555,0.0
IRL_C17_18,16.9948,0.1168,0.0264,0.1887,0.096,77.1903,0.8787,1.7569,102.0471,2.7804,6.4106,33.1339,2.9584,5.067,0.4254,1.1232,9.6504,0.5318,1.7519,0.5735,0.2016,15.4054,0.7492,2.0921,54.5424,51.84,17.4193,0.3637,2.4314,11.4026,4.0741,15.8662,234.1725,36.5445,109.8479,63.5575,2.6334,241.4968,103.7795,118.3777,281.7458,21.6735,13.3045,44.2604,0.0
IRL_C19,151.0754,2.0863,0.5686,8.6463,2.1751,68.0032,0.5252,3.6944,3.4481,84.0801,6.0772,36.8373,26.8115,18.7108,21.7623,14.6665,118.0515,17.4635,51.792,11.3009,11.1201,42.6661,72.7586,7.7058,204.8131,149.0106,197.7711,11.9752,368.7928,5.67,7.1529,49.7387,6.5457,89.4248,41.2541,12.3556,2.8083,47.7579,30.4815,61.1331,34.553,193.8231,2.9332,18.0745,0.0
