V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_A01_02,9095.9925,179.9221,30.0866,20.4364,7.2908,16011.1692,15.0702,5292.7598,1315.5509,32.4891,369.3598,4.6689,165.4526,9.6328,13.9619,10.473,2.5352,3.3972,8.3745,20.8242,2.6965,29.7389,38.8324,2.8145,720.2581,158.8237,128.434,1.1971,2.1192,53.4918,20.3507,803.2766,17.7293,9.5588,13.7383,53.3512,33.2625,60.3597,24.8811,773.6317,58.1668,64.1797,18.6225,37.6142,0.0
CAN_A03,90.1749,86.4042,0.0606,0.0277,0.0218,1523.1561,0.0133,0.0202,0.0409,0.0653,0.2689,9.6015,0.1218,0.0207,0.0254,0.0245,0.0141,0.0115,0.0173,0.0778,0.0078,0.0261,0.0187,0.0206,0.5393,1.0216,0.3012,0.0025,0.0265,0.1387,0.0511,221.8593,0.0362,0.0396,0.0526,0.1791,0.0407,0.1419,0.0865,2.5317,0.1063,0.0978,0.0309,0.0596,0.0
CAN_B05_06,300.4245,8.9838,4681.5713,364.1568,577.7478,471.3764,25.9464,120.2711,359.721,27455.736,2228.1898,24.1463,84.6774,349.5464,804.2962,125.9311,15.0292,23.6073,71.2618,106.2971,36.9324,70.988,1885.5137,10.728,2526.5067,1286.8032,231.3776,16.1724,18.5484,132.025,161.3908,124.3037,107.244,33.8455,30.3444,566.4102,1183.0647,261.9202,192.3064,531.9374,458.3677,740.1903,108.0284,291.6429,0.0
CAN_B07_08,239.6429,10.6197,229.1239,238.2683,41.0445,13.5625,1.1845,2.9698,100.2647,132.0109,141.6485,1.7595,2.6228,1294.0691,9456.4286,10.7962,5.1217,3.1828,23.1808,9.1003,7.2581,1208.4864,207.5727,2.7578,1873.3813,96.8732,5.6791,3.0082,2.6817,49.34,1.425,9.6503,18.833,9.0334,7.4762,63.3186,17.9346,66.0564,24.6321,289.2169,36.7365,193.6519,7.4451,9.3271,0.0
CAN_B09,3.4532,0.0329,5935.1767,844.1002,560.7537,5.196,0.1712,1.0614,1.9227,2.8697,1.3439,0.3817,0.7193,2.041,1.7593,0.8056,0.2967,0.2147,0.7676,1.0074,3.5365,0.9422,4.9081,0.696,8738.1759,64.9752,2.4171,0.0249,0.8656,2.0288,0.4805,4.6096,4.0087,5.5769,7.4289,48.4798,13.3383,24.3609,14.8497,19.7261,3.3228,13.4392,3.0189,5.6803,0.0
CAN_C10T12,2259.9565,315.0792,106.9954,34.0508,26.4188,10957.7191,18.6344,21.6615,84.3606,33.8967,125.116,61.1908,28.4516,29.671,37.3863,38.0298,19.7832,10.362,40.8922,47.6475,36.9346,59.0129,54.2647,14.5356,326.239,855.658,28.472,4.2452,14.6162,33.767,9.8447,8203.6546,88.0616,72.7957,74.6077,403.6425,182.6108,308.9463,190.992,403.513,262.1587,1296.6071,189.7407,89.0509,0.0
CAN_C13T15,59.7709,13.8938,6.8316,13.9695,2.4946,26.5906,298.3719,6.7106,33.9665,5.0655,26.7522,3.4402,68.1503,11.9024,8.35,8.8622,3.0014,1.6694,8.3264,75.9177,3.5748,127.8456,4.4198,2.5846,407.0404,45.2881,3.6289,3.8994,1.5692,5.4455,3.2746,65.6021,7.0998,4.3102,5.2381,15.9543,8.7371,24.9013,12.1065,52.144,19.3894,118.5813,8.2706,47.2344,0.0
CAN_C16,83.2201,4.1547,20.0922,5.055,4.5042,49.7317,14.1828,2192.5913,1652.2044,11.2134,18.8829,3.7161,76.5836,44.391,19.6708,67.3199,8.7205,11.9362,37.7924,37.4025,21.6427,910.5157,33.9782,3.0517,7564.089,167.6493,13.0826,0.4662,2.5837,6.0051,6.9713,14.7672,12.293,10.429,12.7232,66.6861,25.814,44.0217,30.956,73.8898,14.677,75.3389,11.417,102.0088,0.0
CAN_C17_18,126.4021,29.1896,124.6105,28.8962,24.3733,1407.7169,32.12,65.5746,4271.4775,92.1518,158.8198,53.7851,141.0058,99.8458,32.0501,56.9018,20.6585,48.7938,46.7459,44.9694,29.4993,177.0788,67.1081,46.5039,643.5828,827.5383,62.4323,9.0584,18.9885,70.9036,69.6757,201.2797,1584.1374,322.5612,325.8007,862.7997,192.8088,499.835,245.1118,385.8162,373.7998,506.998,436.9588,332.2226,0.0
CAN_C19,1929.7116,207.3008,1357.0803,668.5353,577.8198,218.2389,25.2272,126.5631,208.8541,2687.2807,1135.6636,61.1512,146.8002,243.5997,359.8388,80.5872,14.7886,18.2035,62.1198,47.742,30.7617,385.2301,384.0504,731.2655,5425.7544,3061.6797,4798.566,448.5512,2542.9582,240.9244,382.6344,275.7376,110.5364,195.0948,26.8006,881.7925,879.3106,368.0847,1601.913,1703.2645,675.1635,1348.3132,151.3474,594.8714,0.0
