V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_A01_02,1204.1706,0.2173,1.4455,12.9514,0.0535,919.8588,51.2628,82.9724,28.9909,3.3223,9.6785,1.2389,1.6834,4.0703,8.902,2.4483,1.3231,3.4665,2.6462,11.7605,0.6213,37.9808,6.9344,4.4523,53.4744,179.6002,21.6882,0.2717,0.949,4.7853,0.4673,15.8755,1.6852,4.1172,2.7399,2.6932,8.7818,10.1456,20.1246,10.2281,11.0308,33.2347,2.9025,1.339,0.0
BGR_A03,0.247,0.1054,0.0009,0.0058,0.0005,1.4838,0.0235,0.0158,0.0072,0.0208,0.0085,0.0048,0.003,0.0143,0.0103,0.0774,0.0097,0.0032,0.003,0.0027,0.0013,0.0116,0.0091,0.0046,0.1994,0.8881,0.0852,0.0082,0.0224,1.1392,0.0018,0.7365,0.0106,0.0233,0.0215,0.0061,0.0099,0.0508,0.0614,0.0194,0.0048,0.1253,0.037,0.0184,0.0
BGR_B05_06,2.371,0.006,0.0461,0.3217,0.0313,3.9645,2.351,4.8824,0.289,24.1573,3.4259,1.4154,0.1241,1.7759,18.0815,0.2637,0.0599,0.2706,0.3167,0.1313,0.0403,0.3282,460.7381,0.3175,3.2528,2.0416,4.2066,0.0929,0.1416,0.3641,0.0296,0.2198,0.1876,0.1031,0.1042,1.2996,0.4703,0.2846,0.3197,1.2181,0.2784,0.39,0.0871,0.1045,0.0
BGR_B07_08,3.8712,0.1014,0.0647,1.4845,0.194,38.39,0.4687,0.1888,0.7464,1.9674,105.0788,42.8814,0.3116,13.9511,530.7121,8.1333,0.21,0.6051,6.674,2.022,0.627,0.5595,12.0151,2.496,15.9099,5.5081,2.7403,0.1954,0.4163,1.391,0.0588,2.9242,1.1473,0.3117,0.2052,0.3034,2.2329,0.7847,1.2864,0.5725,0.153,7.5454,0.4545,0.107,0.0
BGR_B09,0.0563,0.0009,0.7841,1.0327,0.0788,0.012,0.0014,0.002,0.0169,2.1299,0.0427,0.0009,0.0073,0.2006,0.6689,0.0294,0.0001,0.0009,0.0072,0.0002,0.0002,0.002,0.7517,0.0202,1.329,0.0132,0.0465,0.0012,0.0001,0.0288,0.0004,0.0032,0.0005,0.0,0.0004,0.0007,0.0216,0.012,0.0068,0.022,0.0022,0.0032,0.0033,0.0016,0.0
BGR_C10T12,101.6059,0.1301,0.0384,0.2383,0.0129,997.2278,16.4305,0.2673,0.1164,0.3751,2.8661,4.3339,0.3279,0.2968,0.4204,0.8928,0.0416,0.1481,0.4997,0.0644,0.0419,0.2937,0.5795,0.1191,1.1823,159.3497,1.148,0.3335,0.3054,0.3694,0.1159,79.0629,0.7176,0.2622,0.1034,0.2068,0.0795,5.3007,11.7287,29.5735,9.7432,62.1925,4.462,0.0574,0.0
BGR_C13T15,8.2463,0.0136,0.4398,2.4934,0.0295,6.1115,149.9889,0.6213,1.4528,2.0637,1.8468,0.4953,6.0031,2.0112,4.0753,2.1757,0.834,2.6168,2.0254,2.8305,0.1463,13.4571,2.2085,1.4642,12.9092,27.3678,5.9498,0.1738,0.9998,1.8864,0.0658,14.9167,3.084,0.6225,0.5075,0.789,9.7699,1.7409,2.3096,12.4462,2.9498,31.7107,7.5671,0.106,0.0
BGR_C16,9.5438,0.0086,0.1508,0.713,0.0303,3.7005,0.5491,21.4153,1.1556,0.5312,0.5423,0.0737,1.0618,2.6469,2.4406,1.8649,0.9256,0.6339,1.5523,3.6346,0.9032,72.3518,0.5752,0.587,57.5201,6.8121,0.8275,0.0267,0.0649,3.3154,0.0221,0.6499,0.315,0.1751,0.112,0.5643,1.7836,1.1036,1.8691,0.4776,0.4377,0.9213,0.1815,0.1335,0.0
BGR_C17_18,15.0689,0.2428,0.1405,0.7827,0.0255,24.0018,5.2754,4.4825,137.15,4.1503,7.2914,2.0075,2.5395,9.444,1.3966,5.46,2.0559,4.7867,2.9466,2.6223,0.1086,10.4789,2.2656,0.9096,22.4567,60.9106,2.2924,0.0382,0.3881,7.0594,1.8284,11.9498,66.6092,17.6041,7.3177,31.373,1.4222,40.1716,19.9519,19.5588,17.7114,6.5115,11.4886,1.168,0.0
BGR_C19,181.2499,0.479,6.3608,74.5622,0.5349,72.8845,13.4993,10.2255,6.7632,22.2434,9.3846,3.2319,14.0505,35.9443,35.5012,24.4255,1.211,4.5215,7.9521,1.4244,1.0673,9.8711,30.5466,31.5489,207.0225,185.5131,429.5915,28.8183,61.4766,19.2659,8.5348,8.5795,1.6618,7.6844,2.3472,8.217,10.5612,10.188,15.665,25.4225,2.516,10.7957,2.6685,2.7107,0.0
BGR_C20,71.643,0.0916,0.0803,2.5762,0.1322,19.0032,10.3056,6.8221,11.9803,4.1946,48.6648,3.4025,81.5956,24.7726,9.3133,14.2973,1.7802,7.2034,6.0848,3.2679,1.6138,7.4457,1.4533,1.1577,34.4096,20.4774,5.5219,0.0953,0.2302,1.7329,0.1271,1.419,6.8659,1.1249,1.4951,1.3479,1.2241,12.7887,5.5993,3.7137,2.6564,14.3717,3.7701,4.4835,0.0
