V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_A01_02,2994.0366,20.3541,1.1634,1.7269,0.2683,9297.6262,165.3288,526.5358,257.9459,1.0232,1.0998,1.5106,10.1224,0.72,0.4427,1.1291,0.8302,0.2774,3.2304,0.4398,0.3521,0.6748,2.111,0.8779,43.3545,83.6364,15.3549,1.089,2.9819,6.085,0.3496,96.9014,5.2594,1.9001,2.1703,15.8298,25.5161,124.6478,65.0657,142.9354,4.9017,89.2149,84.6126,10.9558,0.0
NZL_A03,91.905,360.9778,3.8852,3.4753,1.8509,529.7876,3.1555,1.1187,3.8574,0.8776,1.6324,1.8285,1.1992,1.0294,0.3857,0.8121,0.0662,0.4864,0.4938,0.0408,0.0764,1.3653,3.0874,1.1024,11.1835,52.5127,3.4471,1.8971,16.8024,1.8731,0.3379,52.3922,14.8245,2.9457,2.6004,34.6627,10.5901,18.943,23.5364,8.68,3.0499,9.0188,5.7736,2.4158,0.0
NZL_B05_06,17.3327,5.4221,158.7073,39.5072,12.8481,61.8174,6.692,2.97,5.9839,975.568,79.6408,0.7449,2.6227,23.4235,97.1598,9.0172,0.2314,0.2472,2.9455,0.351,0.216,1.7858,215.4771,4.0358,188.554,162.9716,15.3685,3.7403,13.7653,3.0067,0.1357,3.5311,2.5852,1.913,0.2877,3.3518,42.798,17.7153,7.7397,13.0082,21.7921,46.0494,1.7662,3.1551,0.0
NZL_B07_08,14.7391,0.0736,3.3982,9.3828,1.0705,53.7729,14.0562,0.289,0.1848,0.5547,20.5936,0.142,6.0244,19.5676,50.5785,0.5963,4.4457,2.1851,0.342,0.0286,0.0945,2.4116,0.3149,1.4404,35.2312,3.5137,1.2173,0.0749,0.0303,0.367,0.0153,6.7299,0.1759,0.1666,0.0624,2.7258,3.8725,1.9748,2.2246,0.8035,0.691,0.446,0.1572,0.7096,0.0
NZL_B09,1.4701,0.3729,114.0923,35.8131,11.7987,17.5314,4.7362,0.6647,0.7544,17.5648,3.8508,0.4923,1.0594,1.0925,25.173,7.5473,0.1577,0.0974,2.1009,0.3179,0.0423,1.0455,1.4315,0.4999,18.6598,31.5244,0.3634,0.1165,1.0941,0.2311,0.0356,0.9131,0.8745,0.3761,0.2364,0.8374,4.1539,8.944,5.6921,6.7806,5.0049,1.6587,0.785,0.6456,0.0
NZL_C10T12,390.2429,188.3955,7.777,13.1763,1.45,2161.6961,83.6593,36.4955,75.5517,21.1446,79.4368,47.2193,63.0823,14.6773,21.1558,16.766,17.1224,11.3817,9.3388,3.2004,7.5785,5.3131,12.7361,6.4486,67.1566,281.9577,12.3089,12.119,15.6635,13.3504,3.0127,577.2368,86.3671,5.9999,5.3383,19.4589,53.1618,50.8737,39.0538,42.0835,25.5575,171.4422,28.0185,11.6119,0.0
NZL_C13T15,12.4117,6.7822,1.4671,1.5738,0.3902,13.074,98.5871,1.7068,5.8652,2.0313,0.8972,2.3271,3.2467,0.9472,3.7484,1.5406,4.2639,0.4304,0.707,0.8176,0.789,8.3968,1.7406,0.6562,32.4511,74.6583,2.8702,0.6258,2.942,1.7022,0.1086,2.7889,2.3026,0.7594,0.4907,2.0698,32.8018,6.5015,5.4381,10.1641,7.3541,8.0942,2.0471,14.0507,0.0
NZL_C16,66.7296,0.5561,1.6431,1.8054,0.1117,33.0893,0.8816,501.0301,108.8658,2.3953,1.3036,0.6489,9.5855,24.0055,6.662,15.5007,0.4712,2.8843,4.0911,0.9697,7.2151,59.035,1.5279,0.286,711.9636,211.9079,1.3245,0.6573,1.2661,3.4967,0.065,0.9922,2.5195,0.5187,0.1736,0.874,61.0012,24.0187,6.1306,4.7414,12.0638,4.7371,3.0434,18.948,0.0
NZL_C17_18,105.1989,16.8172,3.8124,13.4986,0.4937,188.5028,13.5234,28.2561,385.5247,7.7978,57.809,17.0732,55.7022,10.746,12.5609,7.3357,16.7146,5.1755,2.8018,1.3194,4.1353,9.0926,7.3227,4.0793,51.3295,85.9987,4.6333,2.7097,10.2938,12.0416,5.3853,38.3655,149.0365,8.9784,7.6117,28.5695,92.2868,183.6588,35.0992,29.2294,49.4405,41.0813,32.1193,23.3429,0.0
NZL_C19,212.0497,129.9492,44.2222,58.0577,4.3772,123.676,11.8409,18.4783,30.0666,74.4596,13.3208,2.45,7.7903,28.1474,41.0543,15.8966,5.0519,2.9466,7.443,1.4775,5.382,10.678,37.7472,18.4059,463.3522,136.9077,509.0799,42.5857,511.7358,44.5964,0.6511,14.9889,34.0853,5.9694,6.1394,11.7413,57.1601,33.731,45.0863,49.2353,29.5728,45.0103,22.8313,22.0857,0.0
