V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_C20,224.546,5.296,5.4753,23.2404,0.7532,69.9559,22.9935,35.4564,56.3295,6.7952,149.1215,21.5101,130.2408,14.8382,14.0998,5.771,27.9257,12.1014,3.5288,1.8934,5.0932,4.8021,3.7394,5.8304,65.4354,44.9752,14.919,1.7612,13.7539,4.8354,1.1781,15.5286,42.1325,1.6283,1.3983,1.704,34.3497,19.2394,19.4817,20.9717,10.4025,37.9301,6.4428,6.7849,0.0
NZL_C21,49.7815,0.3384,1.651,3.4137,0.1656,14.4943,3.3061,5.2551,8.2231,1.0822,21.571,6.07,19.5618,2.0125,1.8498,1.264,11.1406,1.7635,0.6578,0.2989,0.9438,0.6865,0.6812,0.8089,9.0594,12.3276,0.7463,0.1209,0.6362,0.5434,0.1545,1.9432,5.9485,0.3185,0.2323,0.7616,5.2359,3.7549,2.5133,3.1676,1.657,35.8037,0.9174,1.0573,0.0
NZL_C22,133.6572,5.6279,4.6743,14.3165,0.5034,300.2501,13.8545,22.6795,28.8638,21.5389,53.6584,15.2938,102.5685,7.9568,11.197,8.1383,14.5753,17.7578,20.3485,10.5179,3.4338,17.9345,2.5577,6.5598,176.0852,97.913,84.83,1.1295,4.9245,12.0359,8.3679,15.0993,18.1631,2.2581,2.8346,3.1586,29.2721,23.0303,13.7495,9.5056,8.0935,25.0239,5.2735,8.4472,0.0
NZL_C23,21.7939,0.3309,8.4614,15.9696,2.409,78.1791,0.5362,2.4064,0.9483,5.6507,7.2851,0.6218,2.2355,146.4394,12.8258,30.6101,19.6605,1.879,2.13,1.8628,5.0315,3.1858,0.8216,7.2468,747.0003,7.3333,6.566,0.0852,0.8539,0.4306,0.1356,2.0032,0.6892,0.6847,0.167,1.3789,36.9331,36.7454,10.1475,0.721,7.1087,2.0109,0.3765,2.9354,0.0
NZL_C24,30.8215,0.0,11.6248,5.0307,1.5602,68.3597,2.6611,15.7037,10.5671,8.1109,7.2908,0.9072,14.5218,7.3379,313.7378,685.8665,16.8237,67.3045,392.0941,17.7009,29.345,36.0629,0.0,1.4543,367.3741,33.5095,0.7662,0.2638,0.0,0.2858,0.0,5.9415,3.4769,0.0,0.0,5.3586,23.0336,4.5653,0.0,3.1885,1.8967,2.2653,0.0,9.3028,0.0
NZL_C25,101.741,1.925,15.2622,26.8185,3.4716,179.8416,8.0134,34.8832,34.7368,9.5487,9.4166,1.7634,36.4564,34.3189,105.7298,401.986,13.1537,31.4605,162.8095,11.0417,15.9384,53.6482,6.0834,8.9249,818.0792,98.8536,7.2761,0.6134,6.3891,3.8892,0.2807,25.267,5.98,2.1576,0.6031,8.791,220.1309,17.4001,17.3146,52.5901,17.3332,12.5156,3.0195,23.7526,0.0
NZL_C26,0.1051,0.0,0.4641,0.0,0.3498,17.0196,0.9071,1.7984,4.1042,0.0,1.473,0.1876,1.2955,0.377,0.2099,0.4686,26.3679,5.3957,0.9463,0.5119,2.7382,1.3373,0.0613,0.9875,18.0578,22.4219,0.3301,0.0,0.5353,0.4508,1.2297,0.0,17.1699,77.9141,16.3815,2.9373,0.2677,40.8145,4.4729,11.7548,15.162,89.8155,5.3453,8.5862,0.0
NZL_C27,2.9776,0.1506,0.231,0.4753,0.0341,3.4228,0.4933,0.5659,3.1267,0.3224,0.3728,0.2144,1.5368,0.4906,0.87,1.5179,25.1865,27.1893,14.7327,4.5453,0.5115,0.6451,1.3031,0.0793,95.5125,7.2395,1.4503,0.0448,0.4701,0.1833,5.0059,3.3489,2.7133,17.7163,0.5473,1.0146,4.1981,2.6302,3.3239,3.7473,1.2536,3.832,0.3105,1.6669,0.0
NZL_C28,44.3996,2.8199,9.3735,10.5847,2.4913,36.9272,5.1943,11.4602,25.5335,11.4894,5.5512,0.9056,5.3855,6.5363,20.1495,18.4469,9.2901,8.2383,57.8171,47.4648,33.763,9.5621,9.4433,1.663,169.3176,54.5763,3.4898,1.3616,5.8199,4.0707,1.6526,10.6775,6.8628,5.9759,0.6806,3.3924,13.958,20.0411,17.5307,10.2472,27.3144,8.1725,4.2607,4.8648,0.0
NZL_C29,2.1815,0.5515,0.0935,0.1582,0.0086,1.2226,0.1227,0.4529,0.4319,0.056,0.1654,0.0262,0.2502,0.2944,0.1991,0.1315,0.0589,0.0803,0.4186,3.4389,0.3383,1.0891,0.0694,0.5982,3.7335,8.7529,6.8342,0.4028,1.4409,2.3775,2.1805,0.4325,0.0825,0.2836,0.1458,0.9905,0.6387,3.3013,5.428,0.8228,0.0927,0.1867,0.096,3.3516,0.0
NZL_C30,4.7711,2.357,3.1307,0.808,0.1701,6.8911,0.4463,0.8156,1.773,1.5613,0.4968,0.17,1.1401,0.7653,0.8059,2.7225,6.3667,6.8046,4.8527,5.2924,176.8218,0.7663,4.4546,0.5511,37.3406,6.319,20.9577,1.9551,12.3457,6.1939,1.3166,1.7044,3.091,4.6164,0.6228,1.8505,6.4221,21.6703,4.4951,41.8126,1.2334,1.8022,12.1634,3.4188,0.0
NZL_C31T33,14.5772,6.0254,3.2653,5.3847,0.6295,26.0046,11.5998,8.4941,9.1703,10.1119,3.9877,0.7602,2.9746,3.5516,36.3469,6.2137,2.1241,1.541,5.2548,4.0801,5.4589,4.7935,7.8707,1.4869,30.5296,32.3515,2.0933,0.7197,3.8486,2.3703,0.238,3.0766,6.0003,4.1029,1.4107,1.1164,46.6912,9.5345,6.4126,7.1221,20.2688,10.152,5.4014,4.4843,0.0
NZL_D,207.2291,9.6672,105.7064,62.9751,1.8975,296.3217,12.7947,55.0522,199.329,20.1772,107.9582,2.8993,29.0756,41.3805,502.1975,18.164,9.5735,5.0581,8.3443,1.9152,2.1473,10.162,3898.5881,28.1067,105.8867,269.3519,13.1282,2.6542,11.5238,20.3661,3.4705,75.9208,27.25,37.7147,13.6775,40.1544,177.3313,64.5568,25.5109,57.506,136.9993,150.1141,29.2079,25.7988,0.0
NZL_E,70.1564,7.1792,5.5527,8.1202,1.5101,93.243,2.3454,24.0259,37.7961,18.2666,5.7685,1.0314,1.4627,2.1433,3.7092,1.3574,0.3273,0.7313,0.1445,0.0841,16.8346,0.839,47.109,414.1327,106.6792,33.5033,11.8294,0.2891,0.8845,2.0531,0.1173,10.0839,2.9354,0.7708,0.1392,16.4378,267.9784,20.4732,25.3871,25.4362,16.6916,77.023,11.8563,49.987,0.0
NZL_F,218.2695,9.1498,91.9149,27.9409,11.0214,76.0758,8.5598,30.1558,20.26,18.8203,9.6397,2.413,6.5224,21.1667,25.6217,23.9354,3.782,5.8863,28.7641,2.9498,6.751,21.1858,152.0287,47.7657,6537.351,210.9129,13.7416,4.5424,22.9298,29.7789,3.7302,71.7414,23.9309,69.2789,14.0659,136.6084,1576.0082,189.9994,117.3906,88.1455,189.136,88.1018,49.9857,99.7666,0.0
NZL_G,875.1952,119.2799,72.642,96.3712,11.0082,1695.7598,179.9514,220.0893,248.7569,170.7407,172.9856,49.0616,170.9285,90.6112,227.2121,188.8142,120.6563,63.2824,101.6442,37.7175,97.2375,63.6746,222.955,35.8066,871.1835,732.0474,355.5335,43.237,243.3532,93.0778,31.0497,266.2284,208.0782,124.1097,46.0971,86.5949,319.5574,297.5436,187.6523,200.4809,178.2853,389.2906,102.9226,120.2764,0.0
NZL_H49,306.1314,19.334,68.917,58.5815,5.9883,708.431,32.1975,78.5231,76.0777,88.2789,67.0816,11.2403,63.1712,55.9216,48.82,46.4486,20.2934,11.3216,19.0732,6.3331,13.2049,19.9059,21.9429,19.0063,134.6571,537.3569,372.7669,15.2748,47.9977,44.5014,20.9012,26.6759,81.1654,10.6697,7.8376,12.7394,28.5815,58.2085,50.3845,35.6629,41.7189,29.6822,17.3439,38.5088,0.0
NZL_H50,13.6094,8.7261,16.6916,2.3801,0.4381,31.0167,2.3316,2.8189,9.9224,7.0224,3.46,0.4899,2.2793,6.25,24.9732,6.2097,0.8212,0.6832,1.1628,0.4803,0.4023,0.6873,1.4312,0.7841,7.9106,31.2859,29.0107,4.4568,7.4841,4.3566,0.8206,2.0273,4.6457,4.2149,1.2415,4.8612,4.5245,9.8313,13.2942,5.3043,3.7246,4.6107,2.3801,3.981,0.0
NZL_H51,47.7842,8.7187,18.039,5.8022,3.0208,91.967,7.3191,9.0503,10.4204,39.8481,13.1602,2.7639,12.1457,5.3198,7.882,12.7932,9.3809,4.983,10.0543,3.6826,7.7023,4.9797,11.6191,3.6225,65.4916,90.0074,24.9539,5.4542,31.4174,15.3312,17.9395,14.0629,13.6934,9.0867,20.8873,20.1809,16.7899,55.7483,34.3205,49.8767,29.3965,28.2186,17.5845,22.5645,0.0
NZL_H52,78.0749,37.7287,23.0995,13.2695,2.7679,234.1553,8.715,37.1478,25.6077,18.0948,10.4793,2.1856,12.41,15.6265,13.5472,10.0523,4.128,2.1431,5.2391,1.4131,5.2255,4.9577,8.0609,3.1672,45.7947,177.007,189.9236,62.4672,199.941,108.5785,4.6992,18.0629,25.2574,10.8303,8.6776,18.7455,40.5282,45.6395,44.0117,38.6325,15.1476,18.9182,11.0466,34.9995,0.0
NZL_H53,18.2467,1.784,1.052,3.4904,0.2453,33.2553,2.8866,5.5347,29.256,1.9525,3.2371,1.244,4.6423,5.0205,1.47,2.187,4.2584,1.1967,2.28,0.3448,0.4506,2.8388,9.5548,4.7403,33.8397,127.397,4.7101,0.8505,1.9061,5.4134,184.8178,15.223,26.2361,19.8289,10.129,126.3757,10.5744,80.5435,33.8443,53.1769,25.0257,36.6562,13.8214,32.2491,0.0
NZL_I,26.0337,6.1597,4.248,3.6541,2.5591,60.1309,5.7807,4.3534,6.7809,1.9241,5.0586,1.8449,3.9879,1.8188,3.8821,3.074,3.7273,2.6627,2.7614,0.6674,1.705,1.3436,9.2319,2.786,27.135,32.1944,9.7014,2.3649,48.8123,5.1461,0.7325,15.4208,13.0369,4.9318,9.2487,4.8759,14.6577,23.4123,16.1879,51.2318,52.6888,94.1724,10.9945,8.0552,0.0
NZL_J58T60,21.9388,2.3329,9.9977,5.135,0.614,190.0393,12.8733,11.5434,25.8789,24.8976,9.6476,6.9181,14.6699,12.8473,12.86,11.7446,15.2166,8.6781,5.9696,1.5331,1.9004,10.237,23.3642,5.8755,43.702,247.2637,8.7683,5.2005,25.9925,17.2417,10.4025,61.2351,184.1198,99.9584,10.0504,91.7178,39.73,150.8055,65.0371,50.8667,60.8097,33.601,107.7189,75.9016,0.0
NZL_J61,82.0141,2.7946,4.4135,3.5224,1.2108,34.523,3.7159,5.3441,9.2979,6.4478,3.6302,1.4951,4.6277,4.6325,2.7508,5.0226,4.888,1.7028,4.4459,0.7882,1.0785,4.1047,15.3435,6.1658,59.3954,109.3547,28.5244,2.1564,17.4998,16.6302,6.1204,16.9459,35.6687,440.3434,26.4352,83.0866,16.5587,89.7448,39.2007,111.9423,47.2591,62.7904,49.6882,38.0922,0.0
NZL_J62_63,15.8855,0.9829,7.8136,4.687,1.9117,54.3917,4.684,6.661,9.9159,6.8329,4.575,1.1668,4.2726,5.9573,4.0181,6.3235,5.0053,3.0842,3.9377,1.7469,1.7069,2.4388,23.0041,2.3075,16.7939,71.8162,6.0284,1.43,18.5183,9.3229,4.4535,12.3609,37.7645,151.681,142.2957,128.7623,23.7803,96.1526,44.6014,136.5288,15.3409,45.1724,25.0607,15.4691,0.0
NZL_K,520.5875,20.1018,90.983,15.1985,6.4948,289.648,22.8437,25.7805,42.583,29.9342,21.988,4.4102,30.5822,31.0391,51.5013,25.3148,19.5972,7.5956,15.3337,3.6198,4.1816,31.1304,110.0523,37.7951,214.122,911.6538,104.8093,10.0686,42.0485,58.6767,13.234,145.8061,70.3613,103.6704,51.1838,2215.4953,1894.9747,339.2868,251.1106,185.024,105.9248,164.3902,109.7886,159.8444,0.0
NZL_L,240.7608,4.0366,6.5472,4.2401,1.3709,141.8147,22.2868,15.6088,38.7277,31.1859,11.8665,7.0485,26.6532,17.6125,9.3411,52.3451,34.4052,9.4679,21.2027,5.3427,5.1037,27.7606,19.6935,8.0282,176.9896,1158.0209,135.9971,6.1861,22.5389,200.0326,23.2149,333.9076,73.6635,139.1423,102.9475,498.3069,1655.4317,409.0644,233.8308,335.8597,112.4039,227.2735,87.8087,209.2717,0.0
NZL_M,524.5864,47.9465,243.5589,65.1062,30.5066,818.2292,62.1981,51.3409,71.6093,113.9651,35.7614,25.1748,55.7703,80.7986,62.2826,98.5853,113.3249,45.2749,70.5953,7.1556,17.1578,35.2877,472.8697,122.3106,902.5354,1762.2359,119.282,30.7519,114.9574,108.4031,37.0898,251.2845,160.7675,146.3563,190.0081,1075.0032,492.2637,2363.1808,847.979,666.4212,365.8639,564.9672,296.024,375.5564,0.0
NZL_N,276.3903,53.8426,62.8908,43.9219,19.8105,683.7054,29.5623,28.3032,36.5945,32.2316,17.3271,9.5178,23.3119,22.9523,16.2272,23.4055,11.0354,9.5508,15.3786,4.3114,2.5481,17.7744,59.2215,29.5465,287.5496,787.706,69.7757,25.911,194.7844,53.386,9.73,160.2768,150.9263,87.3026,85.8961,207.0366,237.5939,638.5167,345.4668,337.5451,188.5256,238.6789,125.8121,121.986,0.0
NZL_O,34.8662,3.7005,5.0189,8.0868,1.185,43.7516,4.2631,15.6714,10.6137,5.4746,1.7207,0.8359,7.3364,2.3557,4.51,4.5478,6.7256,2.4662,1.6984,0.9039,0.7617,4.2492,20.8353,18.0077,98.7655,134.8877,11.6658,2.7888,8.8084,9.6256,8.769,56.4841,17.981,19.7313,11.5981,44.9416,112.3803,94.2504,82.6843,105.8526,74.9108,72.802,33.5474,44.2517,0.0
NZL_P,24.6073,3.4057,7.6788,4.1771,3.1594,41.1342,2.0385,32.1583,7.0973,7.2073,4.0857,1.0862,3.9318,2.149,4.4844,5.3112,2.7699,2.4426,4.5509,0.8147,0.8585,1.0386,18.5624,3.3165,31.8158,37.4356,6.6299,1.4954,12.5152,4.2677,1.1613,6.0295,24.4876,12.492,24.7233,33.0376,19.4784,221.5988,35.6678,266.5802,222.2961,111.7645,17.3934,76.4013,0.0
NZL_Q,4.5316,0.5475,0.5386,0.4335,0.1453,7.7918,0.6078,1.1171,4.4162,1.0116,1.311,0.4846,0.9393,0.5384,0.6074,0.7918,1.1589,0.3495,0.4099,0.1229,0.2066,0.4168,0.8962,0.4035,5.3079,14.0941,2.5093,0.6177,3.6587,2.8243,0.4211,3.3017,6.0582,4.1685,2.3483,8.5042,13.1258,13.9922,5.5787,27.1295,13.1423,667.9357,3.1024,3.5402,0.0
NZL_R,11.678,0.86,1.1507,0.7735,0.3452,26.2293,1.4787,1.3898,2.207,2.3068,1.1003,0.6059,1.5815,1.148,0.8663,2.0077,1.6221,0.7893,1.1868,0.3555,0.5408,1.0639,2.5831,3.627,10.4988,30.6817,3.7382,1.1679,6.6945,4.2274,0.975,8.461,23.3558,27.1927,4.5774,13.3403,21.3548,31.7693,12.2433,14.9345,78.4537,12.7946,143.6243,10.934,0.0
NZL_S,30.5004,61.3514,2.5076,6.744,1.3929,322.5338,8.2366,16.2376,4.7703,0.601,2.7367,0.9657,4.957,1.5492,0.3651,1.0117,0.051,2.4582,0.7513,0.6232,0.5262,3.7027,39.3214,3.4414,55.8764,31.4555,22.7205,2.0186,10.7634,6.635,1.7363,6.8799,23.2342,15.1538,18.6745,21.7933,34.5657,319.2091,126.0401,114.3172,48.8325,75.6988,141.5269,187.4296,0.0
NZL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
