V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_A01_02,1201.1268,18.0521,2.9917,3.4369,0.0222,9971.9037,850.5478,473.9443,689.1082,240.1239,73.6954,17.5707,237.3026,19.7446,27.4841,21.4338,15.7927,13.1262,33.5337,29.0709,26.0049,303.315,9.3535,7.2192,8.5978,15.8748,3.3631,0.0265,0.3084,3.0037,0.0278,90.5506,15.2045,5.2183,7.0629,2.957,8.2706,10.5231,12.4271,31.322,9.0765,31.0447,50.1368,127.581,0.0
ZAF_A03,0.0,159.1844,0.0,0.0,0.0,613.7628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3031,2.8719,0.5724,0.0,0.0,0.5494,0.0328,0.2976,0.5159,0.0068,61.0101,0.8565,1.4579,1.3912,0.0,1.4783,1.2638,2.0535,14.5768,1.806,5.3437,10.1917,47.1539,0.0
ZAF_B05_06,2.8061,0.3387,31.5554,57.4857,0.6463,9.3909,3.4104,2.8279,36.1936,2137.9407,25.0741,1.5537,2.7203,43.8261,379.3072,60.0044,7.7586,26.83,32.9252,53.5612,5.9615,20.192,978.9854,14.8676,16.4137,0.2567,1.2588,0.0738,0.7197,1.1782,0.0407,1.0653,0.5524,2.9958,0.0093,0.1104,2.0907,0.0464,0.064,8.0776,0.7261,2.4498,4.0483,3.2348,0.0
ZAF_B07_08,37.6139,0.3872,32.7679,113.2644,2.2986,47.3177,3.6529,28.5063,10.5684,76.7321,602.1261,34.2976,66.6547,694.5768,5006.4802,813.5067,106.9934,640.808,484.2913,748.9874,81.7724,830.9622,3.9365,9.6457,874.1396,23.2949,39.2051,1.7039,24.8357,30.0794,0.2288,3.3355,21.933,49.4582,1.4054,11.0669,120.0418,7.4901,11.8599,150.2718,29.5812,78.7887,134.5338,125.2928,0.0
ZAF_B09,0.0,0.0,704.9824,0.8836,64.6676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.0,0.0,92.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,2072.2417,38.0404,17.7574,15.5031,0.4735,5964.3612,3.9384,0.5693,29.8063,56.4502,232.2725,42.8015,7.0007,1.8185,3.09,97.3511,0.1495,0.322,2.0315,6.4264,0.0792,107.0185,30.5806,20.3474,7.6282,82.7535,51.1593,2.9652,26.8074,47.3302,1.1158,1294.4979,13.8064,138.4168,52.1861,0.2034,55.3183,48.0812,70.6459,116.226,20.453,74.3993,133.7722,503.2978,0.0
ZAF_C13T15,253.309,4.4203,43.2723,74.6806,0.594,19.1325,841.7304,2.8807,43.3125,16.1505,30.5873,5.2703,55.6029,1.4811,2.0334,3.3464,6.9346,2.1999,10.7022,318.2216,3.3101,62.6889,3.6464,8.938,134.3244,29.3551,30.5701,1.8235,15.9778,28.1785,0.8356,10.4888,19.2444,83.892,1.2133,0.8732,1.3486,1.203,1.6331,48.986,16.5064,60.244,104.0325,107.5712,0.0
ZAF_C16,39.6859,0.3046,23.3395,53.2243,3.9139,212.4541,8.9244,317.9096,48.3114,562.8863,73.7633,6.7512,7.7876,29.2515,10.0113,40.673,4.7767,2.0069,10.9607,51.9972,9.2675,154.5692,25.5667,4.4979,148.3389,65.3367,20.0321,0.8019,7.3492,19.4332,5.9013,6.7082,5.9024,40.3324,0.696,0.1637,10.4971,3.444,3.0688,21.4584,9.4043,24.4363,35.055,23.9238,0.0
ZAF_C17_18,15.5587,1.1092,27.2966,58.6491,0.2827,452.3942,36.0605,29.0251,1631.195,241.7943,188.5519,43.3186,74.1912,46.2934,10.0481,22.8123,15.3773,19.88,44.7419,168.0813,2.1968,81.9251,23.8417,16.7009,122.8197,1110.4903,68.5395,3.6338,34.9001,70.9501,12.2944,10.5663,377.9721,166.7274,209.1938,34.1828,493.9857,343.6056,257.9965,107.7672,60.6855,186.1974,230.6354,165.4269,0.0
ZAF_C19,2234.4993,39.0049,262.9042,1196.0712,53.525,196.3312,107.4506,16.4781,128.2183,1955.3617,1409.6419,79.3231,324.3447,76.6333,942.032,39.1026,40.6436,139.9658,27.1443,77.3944,14.8687,73.4939,752.5559,49.1469,1748.7858,1475.855,1753.9331,100.0787,902.1767,1790.1814,415.9529,49.866,56.8262,4942.9102,542.0845,93.9969,539.335,589.2496,714.2301,516.768,66.2058,235.746,411.4725,217.3804,0.0
