V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_A01_02,38.3666,0,0,0.004,0,96.4871,0.2832,4.384,3.1359,0,2.1576,0.8753,28.3521,0.1616,0.8055,0.3576,0.0216,0.018,0.2664,0.0159,0.0038,0.3779,1.8779,0.1786,1.4892,0.3355,0.3419,0.0655,0.1642,0.1397,0.0263,2.2152,0.0156,0.0245,0.0165,0.1015,0.7675,0.4972,0.2426,0.3333,0.079,0.4997,0.0517,0.1431,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0267,0,0,0.8812,0,0.0141,0.0782,0.0,0.3199,0,1.3308,0.0507,0.5438,21.4766,42.4636,0.4797,0.0193,0.0254,0.3449,0.0073,0.0027,0.0942,7.6593,0.1708,8.5827,0.0,0.022,0.0006,0.0031,0.0319,0.0021,0.0026,0.0,0.0,0.0,0.0,0.0975,0.011,0.0084,0.0126,0.0001,0.0,0.0,0.0007,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,35.2491,0,0,0.1827,0,85.4098,0.5004,0.1691,7.8629,0,17.2386,7.199,14.3253,2.0109,15.2278,3.4477,0.5397,0.3251,4.6351,0.1998,0.0372,1.6611,0.3109,0.2375,5.0945,2.7827,0.2662,2.2296,21.6567,2.5833,0.8629,150.1794,0.0995,0.1648,0.0,0.0074,5.6669,5.0333,8.2836,5.6973,6.2523,32.4128,1.1402,1.0296,0.0
LUX_C13T15,0.7978,0,0,0.0778,0,0.4415,101.9372,0.024,3.43,0,0.4204,0.2747,35.3455,1.7604,7.7755,2.5333,0.2918,0.1908,2.8827,0.9846,0.0867,4.0753,0.1671,0.3958,3.7515,10.4574,1.2656,0.1761,1.7181,0.3524,0.5739,0.1936,0.0774,0.0205,0.0335,0.0083,0.5754,0.8674,1.6449,0.7522,0.0093,1.6558,0.1514,1.3766,0.0
LUX_C16,0.2295,0,0,0.3751,0,1.2433,0.1941,74.9744,13.7641,0,0.7524,0.1755,15.1855,6.1656,39.6462,8.9438,0.5857,0.6447,6.3545,0.9437,0.4762,15.8178,1.4979,0.12,98.953,5.4441,0.5783,0.0486,0.3777,0.7927,0.1898,0.1017,1.7978,0.0358,0.0752,0.1503,4.8085,0.4662,0.8602,1.8067,4.423,0.2173,0.028,0.2626,0.0
LUX_C17_18,0.024,0,0,0.036,0,9.375,0.1014,0.9527,192.076,0,3.3232,2.9191,51.3975,11.3494,24.9366,8.9627,2.008,1.4472,11.9998,0.7336,0.0884,3.8444,0.3944,0.1476,3.7152,112.1875,1.7257,0.223,4.3113,2.1376,5.7135,0.1945,16.6802,0.8519,22.313,8.2119,4.8231,11.6134,15.8544,3.4169,0.2488,0.878,0.2755,1.105,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C20,0.4478,0,0,0.12,0,0.3343,18.2744,2.2864,3.7227,0,8.0209,1.2771,100.1274,3.0157,16.2207,3.361,0.5491,0.5049,2.8305,0.2797,0.0566,1.004,0.0799,0.487,1.6587,2.2636,0.0241,0.0174,0.1594,0.0806,0.0305,0.0307,0.4299,0.0038,0.1842,0.0901,0.4601,0.4553,0.3755,0.147,0.1323,0.2739,0.0563,0.2175,0.0
LUX_C21,0.8312,0,0,0.0,0,0.2605,0.0,0.0033,0.1711,0,1.0647,15.3138,5.1033,0.1375,2.011,0.1752,0.0615,0.034,0.5623,0.0213,0.004,0.0907,0.0048,0.0,0.0039,1.4001,0.0,0.015,0.1596,0.0258,0.0305,0.0232,0.0065,0.0027,0.0654,0.0,0.0517,0.9049,0.1173,0.0,0.1345,37.9551,0.0746,0.4103,0.0
LUX_C22,0.0046,0,0,0.0464,0,2.1526,36.9351,0.3186,4.1316,0,1.7835,0.9233,193.8042,3.5298,12.982,7.9763,2.1235,2.0948,15.8807,3.184,0.1902,4.4208,0.0033,0.0,5.8693,19.8361,4.155,0.0575,1.9312,0.5502,0.3978,0.0096,0.1199,0.0122,0.5865,0.0249,0.9357,0.3824,0.8481,0.015,0.004,0.0206,0.0039,0.0219,0.0
LUX_C23,0.0055,0,0,4.3186,0,2.1031,0.101,0.6838,0.4933,0,1.1658,1.0893,24.2642,123.037,82.5085,13.1445,2.2572,1.622,10.5005,1.5912,0.2565,3.1703,0.4455,0.0,230.6798,7.7566,1.0597,0.0466,0.4497,0.2936,0.1047,0.3289,0.1046,0.0042,0.3218,0.003,5.3745,0.6959,0.4998,3.0288,0.0241,2.5519,0.1405,0.3193,0.0
LUX_C24,0.0002,0,0,0.0065,0,0.0399,0.0024,0.0371,0.1481,0,0.1038,0.0187,3.6869,1.3537,328.4894,44.9716,0.7222,1.9806,26.739,1.5141,0.2432,2.707,0.0005,0.0024,4.2634,0.5757,0.1126,0.0078,0.0515,0.0542,0.004,0.0018,0.0198,0.0003,0.0204,0.0002,0.0877,0.117,0.0342,0.0016,0.0004,0.0038,0.001,0.0073,0.0
LUX_C25,0.1443,0,0,0.6399,0,0.8061,0.5493,0.5696,0.7889,0,0.5197,0.1518,12.7126,2.8636,75.7845,60.7304,1.54,1.9473,41.6416,2.3432,0.5,8.196,5.3109,2.7841,25.0931,5.8757,2.2008,0.0625,0.3956,0.3106,0.0827,0.256,0.3441,1.2034,0.3907,0.009,0.8631,6.1384,0.5044,1.3787,0.0697,1.2637,0.2909,0.927,0.0
LUX_C26,0.006,0,0,0.0334,0,0.0341,0.5044,0.0609,0.2559,0,0.0729,0.0449,1.6612,0.2701,2.9254,1.6194,18.0579,1.6004,8.2051,0.494,0.1262,3.9862,0.1814,0.1115,1.5856,4.1597,0.1303,0.027,0.5251,0.1687,0.2615,0.0066,0.4066,2.0289,5.3264,2.0172,0.1873,1.6777,0.5502,0.6304,0.0822,3.6214,0.0266,0.1774,0.0
LUX_C27,0.0009,0,0,0.0444,0,0.0392,0.0031,0.0072,0.1149,0,0.0668,0.0191,1.5528,0.3498,7.2065,2.3529,2.328,5.0715,12.7654,0.8868,0.1277,4.543,0.3169,0.0058,26.1501,2.7508,0.5799,0.0239,0.3296,0.1227,0.0731,0.272,0.0854,0.0009,0.7224,0.006,0.4697,0.7148,0.2647,0.1041,0.001,0.0027,0.0054,0.0596,0.0
LUX_C28,3.2658,0,0,1.1529,0,0.6584,2.129,1.4515,2.7368,0,0.7441,0.267,15.2101,4.9911,50.7396,14.6408,2.2414,2.1753,170.5697,4.0991,0.9345,21.7119,5.7996,2.0547,25.6891,12.105,7.8354,0.1771,2.4241,0.8327,0.3505,0.002,2.0285,2.05,1.6367,0.6218,1.084,3.4712,1.6655,0.0349,0.1204,1.5676,0.3251,0.7665,0.0
LUX_C29,0.0004,0,0,0.0016,0,0.0094,0.0,0.0,0.0247,0,0.0093,0.0025,0.4268,0.101,0.5381,0.2582,0.0322,0.0361,1.4304,3.9691,0.0244,0.7404,0.004,0.0055,0.2146,2.2421,0.1008,0.0073,0.2358,0.0908,0.0726,0.0,0.0057,0.0,0.0417,0.0002,0.0361,0.0293,0.1745,0.0026,0.0006,0.0007,0.0015,0.0009,0.0
LUX_C30,0.0,0,0,0.0,0,0.0001,0.0,0.0,0.0002,0,0.0001,0.0,0.003,0.0007,0.0125,0.0056,0.0014,0.0005,0.0159,0.0118,0.0269,0.1691,0.0001,0.0,0.002,0.0177,0.0343,0.0084,0.434,0.0029,0.0011,0.0,0.0002,0.0,0.0008,0.0052,0.0005,0.0026,0.0036,0.0192,0.0001,0.0006,0.0,0.0021,0.0
LUX_C31T33,0.0084,0,0,0.0495,0,1.5217,0.0333,0.0746,6.4928,0,1.7464,0.8077,20.6247,9.737,103.7812,15.9136,2.224,1.6171,26.5971,1.1716,0.7316,42.0042,0.1603,0.0723,1.7985,25.7923,0.197,1.8593,51.8835,2.8296,1.4213,0.0003,0.4913,0.0218,3.7907,3.6034,2.8288,1.7756,4.8243,0.0879,0.1044,15.2508,0.0448,0.043,0.0
LUX_D,1.8584,0,0,1.199,0,2.8391,36.4093,9.8882,18.1918,0,6.9664,1.5989,66.5138,27.7776,359.9221,21.6848,2.4137,1.4707,18.832,1.5623,0.252,6.5003,206.8438,47.0171,9.9884,43.5944,7.6456,0.2823,3.553,4.4135,2.5678,1.7393,3.515,2.6268,1.1716,15.2104,18.4794,7.0557,4.9283,9.3152,1.5078,18.496,2.0873,4.3802,0.0
LUX_E,0.7429,0,0,0.8625,0,2.1185,3.4342,1.5223,4.5132,0,0.7579,0.268,8.1614,2.8617,200.0199,4.6089,0.2748,0.187,2.7407,0.1676,0.0367,1.0875,18.4852,4.7219,21.5215,26.9996,4.0735,0.1004,0.968,0.7013,0.4274,1.559,1.3034,1.3471,0.5562,8.6203,6.4058,1.9822,1.2441,8.2136,0.8336,4.0431,0.7205,1.4152,0.0
LUX_F,1.0907,0,0,0.6706,0,2.3001,1.3919,0.4141,2.8604,0,1.2649,0.6648,19.2194,7.1312,54.2484,13.5702,1.1074,0.7401,10.4318,0.5353,0.1999,8.4718,70.5362,59.3555,420.9986,46.0781,97.9685,0.423,5.2476,8.1567,2.5427,1.5677,4.4899,5.6142,6.2616,36.8669,135.3806,12.6958,6.565,83.4791,2.789,26.5338,1.8222,7.5982,0.0
