V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_A01_02,8433.3707,796.8558,44.2898,137.2516,1.1371,18235.1457,364.5669,1574.7778,9.8841,0.4864,155.7927,115.8549,99.6396,4.165,0.6906,7.7787,0.9593,0.7562,1.4658,3.2766,2.8858,2.7034,4.9257,68.3879,1330.6036,1685.2925,49.4027,26.3114,8.9809,45.024,9.836,978.6491,58.8166,38.8544,28.5472,47.8892,178.9875,149.2659,275.1807,197.178,195.1203,257.8241,380.9115,534.6096,0
AUS_A03,58.6053,120.1846,0.0,0.0,0.0,1338.4172,44.7112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,1136.8169,0.0,0.0,0.0,0.0,0.0,469.2088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5869,0.0,0.0,20.9725,0.0,0
AUS_B05_06,163.7601,15.6395,1710.1929,1812.3159,122.126,491.5679,23.3444,49.5935,188.8704,11158.8957,747.2804,52.2015,74.9929,447.811,975.4168,380.5059,7.3967,6.4121,13.1305,20.5876,23.7336,8.1972,8026.3726,27.4264,1076.1029,1795.5672,152.7993,18.1734,15.0183,141.7084,158.4204,286.7715,21.5627,34.8833,12.6271,33.8167,145.5315,130.3732,80.685,143.2288,60.4547,123.0714,26.4709,45.4154,0
AUS_B07_08,81.077,12.8028,381.1425,336.5836,11.3628,232.3004,9.1658,25.3951,29.771,10.3009,772.1535,273.6473,22.6392,2666.9429,36119.2343,53.972,7.2964,7.3721,14.3244,12.96,9.1843,23.2083,183.342,70.8676,3372.5449,512.0821,158.9675,22.6924,19.0934,101.2532,36.8137,45.8958,22.7519,33.0355,20.8473,45.3053,140.8066,84.6097,68.6703,106.7323,29.6586,46.4293,52.4068,29.6032,0
AUS_B09,28.6208,2.6227,3936.0751,4204.0361,38.6276,30.8927,1.3403,3.8967,14.8109,1.2693,12.0637,6.3264,5.2039,7.2232,1.8037,12.6739,1.3873,1.139,2.1977,4.2542,3.4787,0.9722,10.6662,15.5264,399.2829,147.4929,32.4012,11.1092,32.7594,76.0005,6.6583,4.6961,3.3211,26.9968,12.9942,18.2644,28.9829,37.6943,27.1691,29.1999,12.7318,16.7255,4.7821,6.5495,0
AUS_C10T12,989.5862,189.1711,102.8238,130.9628,19.9333,9030.5863,164.5626,18.9842,32.6865,41.2626,170.5174,99.6141,45.8835,24.968,9.8368,30.4825,17.5535,12.0868,26.3959,21.2418,17.5246,13.1687,53.2397,39.2051,431.3588,1526.7021,41.6473,13.4074,22.091,20.953,26.0419,8167.8766,16.6958,18.7454,14.8369,103.1506,48.8467,174.0621,144.0033,312.948,363.0691,1482.3531,766.6538,215.5602,0
AUS_C13T15,14.666,17.7659,33.7755,32.7982,1.3827,64.8847,467.7782,5.1552,19.8023,0.8943,20.3394,12.6721,25.261,22.1049,2.2541,27.8034,6.3138,3.2843,7.3498,27.5415,23.4382,22.614,3.698,3.8261,343.0754,179.1009,29.5051,11.2476,4.0418,6.2441,9.8749,21.1074,2.9137,9.5548,0.0,1.627,4.6694,25.6387,32.732,82.8108,95.6024,263.1025,55.4457,129.1248,0
AUS_C16,29.8829,6.3747,21.4029,40.1151,1.3742,22.9832,6.6994,1207.6144,267.7604,7.9045,5.0594,2.3591,22.6486,19.4314,4.2218,62.4611,6.7031,6.6194,12.3838,44.7646,54.0515,216.3631,8.3674,28.9087,6969.9853,134.2232,25.3749,4.3418,2.1622,46.72,4.3831,18.3002,4.3022,3.5267,2.5398,7.9811,14.5313,6.3623,7.708,28.4589,164.5907,21.0527,66.8623,21.2296,0
AUS_C17_18,61.9813,12.7573,81.791,104.7881,17.6081,848.7234,75.3604,44.3186,1721.9219,14.7238,147.8656,113.1965,86.9738,104.4142,6.6215,55.8943,32.3648,25.0917,36.8168,35.9291,27.0111,16.2772,43.1056,27.5787,668.2973,1875.6917,81.4813,27.5994,23.0643,24.1346,75.094,173.7988,1832.729,182.2053,168.1243,806.4071,91.5568,302.4096,198.4473,559.7169,504.0773,410.128,212.0609,193.3352,0
AUS_C19,718.2911,332.056,976.5545,1393.0596,91.5562,96.2845,8.4113,64.7007,43.8093,12.0218,381.8751,56.1422,204.3996,82.2872,86.3459,109.4691,6.1483,7.2059,13.727,50.3819,40.2568,11.8076,79.5438,143.9958,3160.0039,570.2053,1761.6779,549.8148,1985.4905,141.0929,258.8519,62.7831,30.9058,350.6867,1.5,210.5486,30.2767,213.0128,84.3751,394.4805,45.499,167.0271,47.98,86.0932,0
AUS_C20,993.1388,79.7273,353.1474,487.2997,15.2452,142.7605,16.7605,71.1432,227.1649,1.8792,1221.3542,261.7133,1244.1832,202.2022,8.8119,62.2303,44.8997,45.9418,43.5614,52.1359,43.5821,14.7195,22.2282,296.9534,1711.6164,500.6229,41.7855,3.8346,3.6801,21.2869,4.2628,82.9888,19.3061,0.7852,0.0,0.7071,52.8841,129.0444,213.7482,89.837,106.7527,333.6484,104.9632,384.0635,0
AUS_C21,353.1299,2.6948,22.2316,25.5515,2.4389,8.0511,0.0,1.2527,9.6166,0.2923,37.7749,353.8439,1.8142,5.9809,0.9616,5.2294,0.6092,0.2903,0.6695,0.4634,0.4616,0.4022,0.6042,0.0,22.6667,66.6093,0.893,2.8628,0.0,0.0,0.0,1.3181,1.1042,0.0,0.0,0.0,0.3569,10.5883,6.9735,2.7375,34.108,269.3462,296.919,11.1056,0
AUS_C22,96.6479,32.2575,156.0673,179.3332,19.044,466.6156,38.7126,121.9684,363.3342,16.6827,269.2039,130.0624,274.4934,66.7915,6.9834,68.6285,57.387,64.0305,95.2014,226.3484,118.3036,62.7326,21.9934,94.4844,3118.1484,768.469,216.5914,10.1953,23.7259,32.5582,54.4695,73.7264,34.313,13.7067,5.3006,10.5085,212.5124,69.5524,58.9418,208.1209,82.6667,152.5516,55.647,154.8486,0
AUS_C23,39.6751,9.2257,86.3566,101.7585,13.8614,360.107,5.5958,109.6395,17.5961,13.828,109.7659,77.5042,51.6018,757.4253,14.5046,238.2639,16.6443,16.2273,25.0313,103.3872,83.4217,25.8911,23.8813,139.0906,9577.6117,300.7621,23.9124,3.5765,3.3837,10.2822,6.3203,81.6345,5.0788,5.8898,4.7189,9.1937,42.9537,33.3302,20.2363,29.3602,53.367,126.7366,24.2716,133.1083,0
AUS_C24,0.0691,0.4062,447.6749,304.3885,116.4212,42.7776,12.7158,113.2321,61.5243,0.5332,42.6935,8.8432,84.411,102.98,2174.4078,6104.0492,474.9265,1079.4063,1361.4926,1248.0323,646.4572,246.4399,19.1046,47.8043,4875.1833,2251.3319,13.7636,1.3056,0.0,1.4211,1.9792,34.7642,0.5036,0.0,0.0,0.0,27.2599,27.7856,10.2421,50.0348,17.32,58.1885,13.5985,72.8061,0
AUS_C25,105.9131,77.7646,1219.2238,1088.2734,101.5274,315.9066,28.1463,228.016,96.7675,26.9611,115.6193,45.8706,130.4819,455.4082,126.4014,1244.7213,143.5747,198.23,528.5373,454.1383,329.7336,99.5071,62.4042,398.3414,8341.3211,775.8507,333.3168,38.2023,12.6199,31.9385,76.6727,119.7403,28.7561,29.8282,15.1546,31.9218,151.2035,78.8166,74.7106,268.1122,310.763,202.2688,236.8458,182.8308,0
AUS_C26,1.1843,1.789,11.2155,13.4012,2.4053,1.0153,0.3923,0.3953,1.1929,0.1384,0.6656,0.4061,0.7157,0.4247,0.1892,1.8241,266.9709,20.8572,25.7501,11.8054,13.0339,7.3604,1.0487,12.6481,115.6837,40.3919,17.614,1.1858,2.9263,16.9638,20.5437,5.4215,23.3153,81.3522,24.826,28.885,5.5523,25.1855,16.4835,34.7464,114.3025,393.5825,29.5502,23.1289,0
AUS_C27,13.1481,17.0787,78.2538,38.3169,1.3304,29.2492,0.566,1.3667,23.0294,0.2392,1.1031,0.6172,22.5145,5.8727,1.5277,25.4487,122.2953,258.7848,144.2488,64.1841,55.0234,18.7187,174.1848,21.5543,1808.0605,123.8917,56.5081,2.3425,0.843,9.2429,29.0,10.9948,7.9058,198.7857,17.2558,13.7691,18.4377,40.8868,20.1425,33.8799,25.6985,37.3686,84.2953,52.316,0
AUS_C28,147.7761,106.1066,879.1101,892.3518,21.7121,110.0423,8.2559,12.1972,38.7565,0.2439,24.4875,12.7044,12.8701,32.1961,5.5136,65.6967,61.9388,48.4867,437.869,104.3289,105.1054,103.2464,42.6932,52.5154,302.0915,332.1375,20.6201,14.3356,0.5733,4.2261,7.8476,22.3133,1.8431,33.8508,0.0,1.9276,3.2769,125.37,62.031,98.815,77.7899,47.6704,13.6397,87.2501,0
AUS_C29,5.9021,3.5769,16.7651,22.2331,2.7054,0.687,0.3647,0.3088,0.0,0.0,0.0,0.0,0.0,7.7401,0.5912,3.2566,4.9669,4.9514,16.0013,1152.1851,114.4477,124.5348,0.4468,1.3525,128.3352,721.1277,259.7505,2.6463,0.7619,19.5871,12.0347,2.9789,0.8166,0.0,0.0,0.244,2.1117,5.3929,6.2373,97.9309,43.2038,5.0622,6.375,156.6824,0
AUS_C30,7.0313,104.1423,126.6586,96.5962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291,1.1831,0.4318,0.0104,0.4743,440.2102,266.3694,0.0,0.0,0.0,45.1639,12.0717,481.9531,285.3411,1035.3219,61.7742,41.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.9297,7.258,0.0,1.3135,0.0,0
AUS_C31T33,103.6839,33.9582,391.7063,333.6202,58.2575,57.8726,15.7286,84.3229,61.899,4.718,21.5323,9.8659,35.5141,50.2307,4.2826,30.5791,7.3503,6.7735,14.0356,43.6482,45.4071,32.2838,29.1373,48.3499,622.5894,412.8298,80.1037,37.465,27.4418,119.951,42.2735,40.8424,30.4637,156.4563,60.3227,235.399,73.463,255.9275,157.0346,82.0765,163.3842,130.1292,386.3757,88.787,0
AUS_D,551.312,60.4097,1094.8369,1934.0788,48.0932,814.5088,112.9662,206.9016,310.7864,333.3759,261.6955,55.3079,295.8332,203.8597,456.0462,170.9879,49.2756,25.3228,57.1232,170.0292,71.7219,48.0296,10787.0315,721.3583,2081.3622,2337.3758,355.6825,7.8721,37.125,448.2472,29.1094,1274.652,139.9581,548.5913,83.279,390.4795,994.1666,832.0857,620.7284,2910.0274,419.664,470.3387,179.2598,131.8706,0
AUS_E,1451.7415,32.1043,134.5948,164.6289,22.4191,402.8172,27.3995,39.396,137.4605,1.8882,144.0862,63.875,67.8312,93.7156,25.4901,67.9196,36.0191,29.001,50.9478,84.1799,86.9222,17.8888,108.4306,1733.0488,2020.5784,598.9348,175.9629,38.2637,17.5931,161.7065,8.4446,441.6813,52.5568,577.2792,292.3787,222.1787,1157.5541,1790.9591,935.4135,498.662,225.5301,824.7809,446.2804,221.1098,0
AUS_F,1462.8419,194.0536,2632.4457,4296.7058,118.7152,452.2419,55.9093,803.8656,143.6043,121.3473,92.3826,52.6517,97.2421,106.993,49.227,135.5304,81.6665,58.3826,119.6308,110.3565,91.5344,132.5964,953.4209,1531.4154,83393.6532,3743.7614,2190.9826,79.9419,91.1639,940.6898,108.4203,864.172,262.7677,748.4304,786.3236,1207.2298,11988.9657,1253.0905,1056.2487,4755.5173,458.3074,638.1703,361.2254,417.3682,0
AUS_G,3805.4819,675.9619,2395.2502,2627.5208,192.1717,9205.2317,1341.0917,639.0597,1166.7457,1482.3327,1488.4587,770.2934,1236.0642,732.8381,415.5181,1255.6724,761.0987,582.8866,961.3057,1640.4566,760.156,518.3049,874.3556,669.6311,14493.6857,6954.0382,2708.2894,427.5815,889.053,512.1182,532.2342,5356.158,799.5641,1215.5262,1159.0968,1565.7007,721.4262,1604.9378,1677.5457,2052.5349,2276.7881,3983.427,2712.8988,1613.4305,0
AUS_H49,1164.1739,173.8217,2180.196,1654.5693,217.2952,2107.2501,106.0227,414.3232,470.0598,22.9994,412.8062,158.5717,360.7271,683.3863,157.6488,338.9731,81.6273,70.6451,144.2076,156.4211,109.1452,47.7888,240.803,77.0661,1675.106,7027.5327,3314.7106,821.2271,249.4682,1614.2423,852.295,204.945,364.1337,131.3045,107.987,615.0418,234.5632,559.5171,491.2002,278.9124,219.9287,268.5135,165.4566,122.5263,0
AUS_H50,128.32,18.1943,1513.5018,136.0669,83.1537,173.8488,15.2853,23.0738,78.5319,17.1382,62.9209,32.1871,38.2294,35.3566,13.5406,65.0391,7.1726,6.0725,10.3325,21.4975,16.6833,9.4843,1055.7021,17.6396,510.3294,2065.0041,239.9244,4185.349,162.4415,349.4716,56.4999,90.8121,17.6957,84.1811,18.3672,99.0909,104.8029,312.7083,289.7138,237.3627,121.516,76.2414,38.1132,65.3718,0
AUS_H51,115.8213,22.1408,193.9812,168.9789,17.1685,174.8279,24.3262,27.7116,66.9321,91.1635,70.5476,42.5421,57.4881,45.377,87.177,77.1411,47.9369,33.8676,61.6038,106.1154,57.0068,23.7269,66.6159,70.2292,595.3704,744.237,186.5976,59.9741,290.5936,617.1021,93.9735,82.0051,64.0288,96.913,264.761,266.9214,70.4299,668.8987,296.2013,378.3037,254.3874,182.5684,172.028,108.4609,0
AUS_H52,970.5754,96.4183,1556.8723,773.1577,38.766,1103.5061,47.916,102.7093,628.8508,5.2553,492.9084,266.8203,179.2976,232.0846,44.3646,499.1534,34.5382,28.8361,50.6058,155.2029,122.5223,39.8688,88.4911,71.7536,2811.9359,6024.9058,1007.6906,541.6143,1501.8498,3268.7093,247.1939,232.8646,101.1655,794.1455,98.8434,371.736,406.426,1222.8899,961.2336,823.8254,483.175,293.5756,178.7544,260.5872,0
AUS_H53,112.3639,15.5663,189.7395,161.484,15.9817,127.4293,17.2613,22.4415,36.1834,3.7022,24.5971,16.5708,16.5802,33.1758,6.6134,23.7048,15.0619,10.8344,19.9782,15.8707,13.6438,14.9952,46.7209,80.9874,523.8771,876.4517,262.16,23.3754,33.0175,192.0707,364.327,96.4608,75.4076,100.4068,23.7105,1134.7512,143.9941,786.2457,449.3565,415.2384,380.4394,477.7163,216.8833,223.1597,0
AUS_I,229.122,31.3176,1018.5875,378.783,88.1895,904.7183,23.9118,44.179,167.2935,1.4579,151.7528,139.8526,46.7882,92.8776,10.3675,113.6961,38.3518,19.7959,53.772,69.7369,75.5061,13.7659,68.1247,79.277,1927.8145,1196.2814,181.3691,20.9997,45.349,244.4007,105.2905,145.7345,125.4697,431.9415,148.3046,730.285,118.1319,2060.9001,1253.3914,680.3395,420.8421,175.0588,324.5003,207.1109,0
AUS_J58T60,33.9567,15.9739,40.5177,67.9783,14.0371,150.1248,10.7562,36.7555,71.5204,0.6742,73.6474,58.9654,63.8982,28.701,3.8066,50.6054,26.4239,14.308,23.2447,90.0817,67.2767,10.2531,12.5101,38.6038,470.9048,2342.7419,113.7923,29.5011,145.1646,139.3325,94.599,703.3353,3300.6592,1198.3369,1314.3582,1492.713,393.8455,1714.9995,1563.489,874.8953,1273.4995,316.6414,933.6624,336.6035,0
AUS_J61,97.6413,20.9683,108.8703,86.1214,27.5346,228.7541,15.0178,71.1673,121.4709,1.09,65.5494,47.78,79.1614,130.6772,9.517,119.3473,78.3954,44.9657,104.8609,77.7912,76.5534,59.817,85.9108,162.011,2010.0405,3452.5897,328.9686,38.0747,74.1601,589.1251,170.8627,223.1435,1244.6656,10872.1012,830.5947,2109.5497,460.5722,1403.1802,1320.3031,1630.5895,1194.8182,871.254,471.3357,1054.4813,0
AUS_J62_63,55.1758,18.5784,149.8345,120.2896,12.5987,150.7024,15.9747,49.8615,112.2686,2.0893,61.4827,42.2938,47.7711,60.0422,21.3361,42.8957,60.8914,20.0224,42.3604,74.6392,81.5097,17.0791,65.5417,29.6309,634.7455,2132.0276,159.9113,42.9271,39.6467,225.2842,96.9835,154.3629,601.711,2073.5042,4028.3873,8017.0096,218.1781,2324.7706,2207.387,2870.8971,1286.3272,400.3832,389.8445,475.5198,0
