V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_K,244.4145,1.5574,0.3372,71.106,1.5487,242.0596,34.6985,6.2114,45.6831,45.5775,184.7056,125.815,108.5573,49.1086,47.6188,125.3751,540.9435,3.5465,119.5332,15.5876,40.3133,38.9245,49.7401,80.1878,576.4866,1565.816,336.8793,52.4978,43.6313,206.9995,4.2552,179.6167,60.9858,299.5318,233.8044,2776.7613,1547.6074,1026.2599,528.7128,323.0662,135.205,155.2108,99.4222,56.7426,0.0
ISR_L,15.6102,0.0941,0.0662,51.1794,0.4969,121.0717,37.0837,3.2973,45.8322,3.6948,46.5047,43.4668,55.8853,27.9196,13.2548,56.3691,135.033,3.9035,39.0454,9.3356,10.1442,32.8449,8.6357,69.5552,126.5796,1437.5047,100.1539,1.5425,1.5964,347.8534,2.1751,509.9657,47.4135,116.2999,158.3704,321.7989,890.3453,577.303,228.2621,230.3303,126.6954,219.1019,137.8311,53.8327,0.0
ISR_M,145.5104,1.1494,0.571,72.5602,5.4082,467.8292,64.8118,6.3333,48.1307,40.1832,351.0498,396.7408,107.2234,61.4147,37.2691,107.297,533.5398,40.026,144.8934,17.3384,99.3288,141.187,96.1948,97.6728,2497.3761,2001.7783,244.3018,30.7014,30.5309,357.4854,11.3783,510.6992,188.5967,301.9115,734.4648,1026.4667,611.8369,3421.1359,600.5468,949.6594,230.9324,368.4448,455.9432,261.6729,0.0
ISR_N,66.3808,0.0218,0.4726,32.8326,3.6344,285.1247,15.4106,2.8404,33.2896,6.2342,149.6896,138.7565,68.4568,32.4879,18.0682,66.5936,453.8204,10.2063,124.5487,9.675,28.3611,44.2834,77.0223,210.0746,460.9362,823.1417,237.6391,61.8239,74.6022,253.5816,16.0947,187.5778,44.903,178.1821,212.419,437.2451,317.4868,514.8537,726.7765,613.9406,499.5804,289.1756,194.3646,203.8773,0.0
ISR_O,2.5052,0.0003,0.0043,0.242,0.0333,13.8892,0.1368,0.0203,0.0984,0.2315,1.6221,0.3897,1.026,0.5597,0.0405,0.2118,4.8142,0.1459,0.4043,0.0221,0.6404,0.4002,17.192,7.4597,25.2616,10.9478,5.4734,4.319,4.3056,4.4009,0.4039,5.0142,7.219,1.8705,27.758,109.9225,20.736,7.9458,2.6372,157.6601,34.8721,51.8803,21.7054,10.4163,0.0
ISR_P,0.0064,0.0,0.0042,1.0151,0.0332,5.9427,0.8187,0.1774,0.7786,2.2812,6.1356,7.9244,5.0632,0.4197,0.4024,2.6834,28.8441,1.0407,6.1892,0.2947,2.4508,3.4178,0.9398,6.4677,3.7417,30.0838,4.2199,0.6232,0.9442,0.0437,1.0948,2.4795,8.1706,5.4182,107.985,18.0291,3.3001,45.6563,10.8476,165.5935,448.6288,39.4414,49.326,22.4695,0.0
ISR_Q,0.0102,0.0,0.0001,0.3419,0.0007,1.3174,0.0151,0.0218,0.0214,0.0255,0.0505,5.11,0.0149,0.0159,0.0271,0.0136,1.5453,0.0152,0.0315,0.0013,0.3775,0.0507,2.1583,8.9304,0.3056,11.2459,0.5485,0.1482,0.112,1.6036,0.0088,0.3642,3.333,0.7375,22.0487,283.8018,1.3016,28.9925,4.6423,222.1703,31.5639,4005.3481,27.7753,27.0652,0.0
ISR_R,0.0,0.0,0.0,0.0,0.0,0.9984,0.1146,0.0,0.0,0.4091,0.7366,0.0,0.0077,0.0,0.0,0.019,0.4491,0.1649,0.0,0.0,0.2966,1.6912,0.9829,0.3414,0.3412,3.4574,12.7169,0.31,0.1448,0.0,0.0,10.5275,58.6033,23.7224,4.2575,1.1581,1.6104,145.4587,37.4423,80.3095,47.1543,39.9517,322.5817,61.6845,0.0
ISR_S,10.7087,0.2374,0.0011,0.0694,0.0128,2.3213,2.1827,0.086,0.4093,0.357,0.4573,1.9169,0.3322,0.2079,0.271,0.4544,1.0404,0.2088,0.328,0.0811,0.0878,0.9758,93.9697,36.2276,14.3723,59.7943,3.8201,2.2963,2.2884,2.1014,0.3013,64.7474,21.6247,4.6135,36.167,4.7366,20.3262,15.3923,13.1208,187.8082,84.7388,102.582,109.5256,118.4765,0.0
ISR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
