V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_J62_63,0.0073,0.0,1071.0708,0.0,0.7123,0.8515,2.2339,9.4042,27.8562,77.9159,0.5565,0.1356,0.1801,1.722,0.0,0.0,0.0092,0.0,0.0,0.0,0.0,18.3765,20.1319,3.0929,0.0,255.1077,17.4517,0.0,0.0,4.792,10.7132,0.0,44.1762,11.4871,22.6802,148.2104,0.0,7.4596,2.443,71.9957,26.573,15.5901,0.5209,1.8894,0.0
NGA_K,79.7985,3.184,1347.4928,3.5586,2.368,6.9603,125.8903,12.4805,3.8518,47.12,1.1153,0.2253,0.5671,2.202,0.22,0.2293,0.2289,0.0046,0.0529,0.0442,0.0024,117.2027,23.4082,4.8914,386.2225,441.3636,84.1805,0.0016,28.5425,10.1958,0.6743,1.2925,75.6319,286.5395,150.5154,5214.8014,129.3324,75.4464,1.75,67.2999,153.3359,20.4332,7.1368,111.158,0.0
NGA_L,0.2429,0.0,3.034,1.7956,0.2097,8.7462,18.3112,2.7614,0.243,0.1425,0.0399,0.0087,0.0625,24.3694,0.0,0.0,1.3516,0.0,0.0,0.0,0.0,23.2442,64.7684,6.3985,405.1215,257.8191,94.4486,0.3581,44.337,1.6698,0.3468,41.5468,854.0827,1694.4414,933.4693,43.7902,896.4696,110.9063,0.3466,552.6785,881.8098,41.5347,4.4215,332.8745,0.0
NGA_M,37.44,3.1989,519.0552,51.5623,12.4318,41.8402,450.8031,60.6838,14.2631,14.297,1.6358,0.671,1.4081,26.3869,0.0,0.0,1.1709,0.0,0.0,0.0,0.0,350.0495,407.8235,51.2767,3151.9086,1674.6808,668.9858,2.4979,277.9422,36.425,5.7771,9.0894,683.7197,1467.3602,1205.4991,455.45,643.3074,2774.4448,15.389,1020.1366,202.7904,224.9845,4.8788,552.4961,0.0
NGA_N,0.0045,0.0003,11.5864,0.004,0.0408,0.0043,0.0302,0.0576,0.0146,0.0965,0.0027,0.0009,0.0005,0.01,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0,0.1562,0.1512,0.0199,0.1552,3.3008,0.0589,0.0292,0.01,0.0143,0.0013,0.003,0.2854,0.2305,0.1169,0.0215,0.0276,0.063,0.1041,0.1754,0.0695,0.1642,0.0187,0.0538,0.0
NGA_O,0.0,0.0,0.4462,0.0002,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_P,0.0,0.0,0.5118,0.0001,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0113,0.0,0.0,0.0,0.0
NGA_Q,0.0,0.0,0.5062,0.0002,0.0,0.0,0.0,0.0,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0008,0.0006,0.0,0.0,0.0,0.0,0.0005,0.0,0.0039,0.0,0.0003,0.0
NGA_R,0.0006,0.0,1.6017,0.0008,0.0002,0.0,0.0007,0.0001,0.0,0.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.003,0.0001,0.0,0.0028,0.1451,0.2952,0.0,0.0002,0.0001,0.0,0.0028,4.0162,6.1147,0.0956,0.0384,0.0006,0.0486,0.0018,0.2677,1.8462,0.0545,0.2602,0.0007,0.0
NGA_S,0.0,0.0,32.6288,0.0703,0.0562,0.025,0.0691,1.6798,0.1784,4.9029,0.0194,0.0046,0.0063,0.0599,0.0889,0.0911,0.4393,0.0326,0.0836,0.4526,0.0217,1.1466,0.6637,0.8776,12.5513,13.6451,652.2287,0.747,0.9303,1.2758,0.1619,4.3396,107.267,547.0893,610.4831,8.5688,5.9442,12.0786,0.6727,30.8042,193.6793,1.3413,0.3875,140.1133,0.0
NGA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
