V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_A01_02,25.3689,0.0,0.0004,0.0,0.0,178.5819,1.7882,1.4617,0.0,0.0,0.0,0.0,0.3389,0.0,0.1557,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6883,0.6731,0.0,0.0,0.0,0.0
ISL_A03,0.0,28.4373,0.0,0.0,0.0,518.5651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B05_06,0.0,0.0,0.0017,0.0,0.0,0.0005,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0021,0.0561,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,1.1126,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B07_08,0.0,0.0,0.0032,1.3831,0.0008,1.0084,0.0,0.0,0.0,0.0005,0.0266,0.07,0.0,0.9677,4.1777,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0,0.4126,5.4099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B09,0.0003,0.0015,0.0006,0.001,0.0,0.0005,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.001,0.0234,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0122,0.0002,0.0151,0.0002,0.0002,0.0001,0.0,0.0005,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0001,0.0006,0.0001,0.0002,0.0001,0.0001,0.0
ISL_C10T12,42.0972,12.7597,0.0014,0.0779,0.0001,228.9258,0.5497,0.1107,0.5816,0.0001,0.1647,0.4336,0.2675,0.4886,3.7954,0.3439,0.0288,0.4857,0.4864,0.0354,0.0476,0.3628,1.8338,0.2846,5.8804,9.4017,0.9445,1.8845,11.9083,1.5653,0.3105,75.1889,1.5237,2.0473,1.0575,5.5636,4.9257,4.7577,2.8541,6.3414,3.8485,12.8607,1.1064,1.6007,0.0
ISL_C13T15,0.2894,15.4492,0.0005,0.0025,0.0,0.6057,6.6572,0.0011,0.0058,0.0,0.0017,0.0044,0.0239,0.0294,0.4619,0.017,0.0003,0.005,0.0084,0.0171,0.0193,0.6167,0.0171,0.0161,0.2597,0.0759,0.0084,0.0182,0.1115,0.0144,0.0028,1.4025,0.0114,0.0188,0.0002,0.3804,0.0001,0.018,0.1544,0.2836,0.0,0.9012,0.5234,0.0441,0.0
ISL_C16,0.0,0.0,0.0006,0.0,0.0,0.014,0.0,1.7277,0.0,0.0,0.0,0.0,0.0,0.0,0.0361,0.0,0.023,0.0,0.0,0.0312,0.0127,2.5586,0.0,0.0419,13.7387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1109,0.0,0.0,0.0427,0.0
ISL_C17_18,0.1335,0.0561,0.0005,0.0004,0.0,0.9154,0.0238,0.0088,17.885,0.0,0.0221,0.0598,0.0067,0.0038,0.0066,0.0497,0.0026,0.0346,0.0131,0.0025,0.0017,0.0695,0.2098,0.0675,0.0333,4.2906,0.0821,0.1546,0.5611,0.1191,0.2101,0.2807,15.0002,0.1974,0.738,5.0433,4.8099,1.2071,1.1769,10.0316,48.2783,0.3115,3.3879,0.5937,0.0
ISL_C19,0.0007,0.0071,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0007,0.0008,0.0006,0.0023,0.0029,0.0068,0.0311,0.0015,0.0002,0.0002,0.0001,0.0007,0.0,0.0002,0.0001,0.0002,0.0014,0.0006,0.0,0.0003,0.0,0.0002,0.0
