V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_A01_02,2997.7623,18.0182,0.6278,3.3713,0.0744,22152.5916,512.7106,396.3485,585.9365,5.8137,127.6352,52.118,299.0126,10.4602,12.8301,13.677,5.4663,6.7207,6.5931,17.0881,17.5801,26.7456,54.1895,20.4139,232.7666,1624.2126,7.8734,0.98,1.5813,26.599,2.567,1290.8448,20.2618,37.7618,6.1056,25.3139,40.6159,49.2639,74.4696,140.1781,82.9241,178.979,271.9231,11.483,0.0
ESP_A03,0.0183,46.0497,0.0079,0.0292,0.0022,190.1164,0.151,0.0041,0.0641,0.2698,1.1969,1.9592,0.2336,0.0995,0.1678,0.1451,0.4548,0.3715,0.4187,1.2451,1.4429,0.4715,0.5107,0.0376,0.1284,1.3729,0.0281,0.006,0.0233,0.0822,0.0189,259.4587,0.0922,1.9716,0.7021,0.0611,0.0328,3.1159,0.1343,4.5051,9.5851,12.114,0.1158,0.4149,0.0
ESP_B05_06,0.7294,0.1722,0.0442,1.6151,0.1856,1.4175,0.2606,0.1351,0.3278,82.3424,8.6365,0.1203,1.6386,1.1811,53.0546,0.3354,0.0625,0.1838,0.366,0.4642,0.146,0.2561,1111.1174,0.5967,9.3676,8.5516,5.6184,0.4107,2.2719,2.3186,0.084,2.9444,2.5454,0.2277,0.1071,1.7641,1.0142,0.4834,0.884,7.0083,1.14,0.6299,7.7086,0.2359,0.0
ESP_B07_08,3.8362,8.4695,1.4982,72.3806,1.9763,42.4898,4.0987,1.1315,71.4305,1.4271,326.9722,10.4166,20.8258,1168.7749,1700.9283,19.3553,0.7461,10.9137,8.8975,4.982,1.1985,15.5341,4.1694,42.055,1624.1543,25.4528,1.2692,0.0764,0.403,10.0147,0.0324,10.8379,6.2772,1.7405,0.6498,1.1676,1.8778,7.0096,3.0903,11.1462,1.1805,3.6736,5.4326,0.921,0.0
ESP_B09,0.2207,0.0207,0.5038,1.9058,0.2025,0.1133,0.005,0.0149,0.2123,7.3038,0.6388,0.015,0.0557,1.2428,2.4561,0.3023,0.0012,0.0085,0.0509,0.0088,0.0074,0.022,5.4105,0.2533,10.5109,0.1219,0.2337,0.0048,0.0006,0.4014,0.003,0.1028,0.0066,0.0,0.0038,0.0059,0.1929,0.1321,0.1033,0.248,0.0317,0.0542,0.034,0.022,0.0
ESP_C10T12,7571.6879,158.3211,3.8009,19.2717,0.3717,25977.2758,416.4992,23.859,274.5969,48.2215,618.7067,273.1762,80.2554,78.454,73.7228,68.1331,33.9296,53.9396,42.5275,94.7391,48.9789,67.2661,283.796,64.0493,325.0334,2027.8185,71.8984,8.1105,20.5023,156.2749,12.4718,19844.3333,75.2728,134.9733,73.5783,149.3878,143.6764,391.744,257.2698,594.1383,390.3116,1151.3625,361.2202,97.8716,0.0
ESP_C13T15,20.0831,30.8062,1.6147,1.5905,0.1179,118.1382,2977.7653,23.0056,108.9534,4.1485,119.8902,33.7403,162.6138,20.4736,57.0836,58.6475,7.9333,25.2986,26.7923,381.3903,31.1675,171.2746,15.4571,26.8509,172.9771,244.0209,6.0373,0.5639,12.7986,12.9368,0.998,425.5612,120.3265,29.8562,2.7431,5.087,3.6123,152.7629,58.6383,70.0989,21.8617,118.2808,151.7387,143.1399,0.0
ESP_C16,67.0101,11.4808,37.7048,24.5484,0.2347,395.1536,35.1486,1340.998,97.6679,2.572,101.9767,24.891,58.7842,113.3293,88.7596,142.6248,18.2067,90.442,43.1727,83.5508,63.274,916.8405,46.8716,127.3225,1389.9028,290.2121,10.1864,1.0797,1.5131,114.6464,1.906,257.6071,120.0633,20.8404,9.0563,21.1479,23.8499,159.0371,135.3702,52.5461,22.8123,98.8035,54.1352,99.0835,0.0
ESP_C17_18,53.7038,3.1175,1.9853,12.8705,0.2589,1223.7508,167.2704,80.7293,4185.8149,10.868,473.0416,446.3296,397.0924,188.4002,78.3423,184.6709,77.9065,122.0411,51.7893,189.8943,63.0086,175.8816,205.5213,627.848,244.9062,930.0228,31.2376,2.1121,5.0208,95.4375,16.1155,274.4751,2251.5081,120.5913,867.3952,418.2803,153.0266,2791.2304,514.8856,374.2401,303.1136,294.0493,562.4039,233.7009,0.0
ESP_C19,412.6922,103.7194,19.75,143.3395,4.3561,233.3914,54.6772,44.9234,93.2381,2644.7353,2286.664,137.1937,185.4702,105.7825,225.5292,99.0415,15.28,57.8903,47.7664,103.8773,38.1872,60.1992,3100.1128,160.6443,349.5104,1009.8686,3474.7467,269.6021,1425.3861,238.3917,32.6306,245.2838,88.5704,54.1364,12.3639,109.4841,44.0685,210.2288,198.9927,310.7767,231.7144,274.217,27.3841,85.7703,0.0
ESP_C20,643.3074,22.4578,31.5166,179.209,2.386,824.6146,377.7684,126.6027,655.8385,304.7062,6037.8463,1474.8535,1410.9614,339.8759,1077.1787,574.8288,113.4216,347.2829,159.7247,725.0403,216.7541,262.9667,730.3779,568.9524,1761.4245,1408.7043,322.2359,12.9004,52.536,238.0501,12.2837,741.5849,239.5545,110.9428,66.1591,159.394,126.9079,627.96,407.7913,368.8807,95.0045,1415.6476,169.9783,158.1389,0.0
ESP_C21,191.7412,4.7258,2.2418,11.5555,0.2061,259.5956,47.5576,22.2507,106.7468,27.4582,298.3658,386.989,78.6993,44.4124,85.134,64.4924,18.8375,44.341,30.0807,74.0707,29.294,49.7698,76.0761,51.9734,245.6473,425.0594,34.5579,3.7195,7.3706,44.5162,4.4836,180.7015,69.2548,54.7445,27.9369,67.2537,45.3776,166.5286,93.219,103.2414,33.2906,1574.9552,46.2465,46.007,0.0
ESP_C22,169.5111,22.7262,6.8932,36.8366,0.8108,942.12,278.3667,110.6175,302.5389,11.061,865.4992,243.5489,2344.5852,161.6721,142.5367,384.6436,133.0227,709.7693,195.8239,2234.3052,597.0529,458.856,44.8859,94.5204,1032.5428,1199.7053,122.3192,1.8444,5.2191,187.4216,3.5578,149.6099,79.1669,42.301,22.4539,48.4727,55.1672,160.3488,72.1163,89.8099,26.1994,153.9206,107.2634,117.2488,0.0
