V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_C24,8.0213,0.5784,174.7019,4.3998,22.4705,59.0171,5.6415,7.8968,33.5927,13.2522,60.6827,18.3404,68.8428,106.4262,2388.1342,2264.2682,243.9242,488.8944,1559.6868,2003.5765,1559.4808,756.6148,75.3047,161.8227,701.5577,193.275,19.0458,2.4375,21.3407,6.9299,2.0366,11.9107,14.1816,10.6567,5.9854,45.2783,35.0742,99.8312,43.7372,61.2294,22.9635,35.2167,29.2572,12.6195,0.0
GBR_C25,80.1682,9.6083,666.8194,25.0705,162.1708,709.0659,43.352,134.1,190.2664,49.1066,249.7155,125.1621,437.2441,254.9934,707.1673,3676.1883,548.0247,645.5465,2963.1478,2569.9006,2312.2673,965.5654,437.1341,745.2699,4232.4948,690.8319,132.7691,25.0436,285.048,41.0947,5.4913,44.8387,32.0703,92.581,32.5696,150.1255,171.0732,299.7249,646.3342,1366.6259,128.4455,220.2392,68.9237,79.9206,0.0
GBR_C26,29.8193,14.0758,218.0168,32.2,63.117,222.7576,33.1035,17.1683,89.2396,47.428,172.355,58.4162,84.1856,72.3604,53.1372,169.7082,1370.8816,258.9621,247.8052,372.3327,277.2275,302.4238,691.88,110.4691,467.1597,666.7063,243.9058,51.7573,589.5162,85.017,16.9214,101.2201,393.7046,596.2541,327.6449,171.7428,48.9859,451.393,359.7029,1842.3688,453.9399,1805.904,137.6842,182.9989,0.0
GBR_C27,9.3582,3.0815,55.9815,9.1295,17.9219,75.2289,10.9418,6.1188,22.6882,12.3033,42.9432,14.4851,33.4272,24.1307,19.783,116.9369,333.7293,711.9354,265.2826,297.1503,633.3627,253.9277,226.6168,91.5641,1528.46,350.4094,102.0637,12.0566,137.0507,20.8627,3.2237,32.2147,41.3417,103.2504,45.6775,98.4328,24.9036,318.3921,173.6679,274.8601,75.2839,124.7851,55.5283,25.9888,0.0
GBR_C28,55.8241,16.5341,649.3219,59.3192,188.4437,512.0738,87.8518,39.8561,248.4889,83.5619,240.8287,160.5477,191.1992,155.5792,186.6142,446.0441,207.3814,404.4732,1013.0067,1113.6513,562.0207,517.6121,969.3759,186.5288,989.4791,1258.4702,314.7556,66.6118,739.705,103.4114,17.9017,148.0665,78.7861,298.4419,116.0651,200.7636,45.6083,361.3087,645.6584,288.9113,106.5278,464.9519,179.8955,99.1053,0.0
GBR_C29,19.2425,0.5952,34.1263,7.1646,26.9623,46.2944,4.8843,11.5434,18.6775,4.9009,22.0977,10.3596,28.7808,27.9698,26.071,100.1267,30.0075,32.4528,434.689,11555.425,84.4993,110.3158,34.1272,63.4398,237.1712,3667.528,588.713,5.5251,26.4498,96.6401,34.3906,8.9375,18.5027,106.8992,42.442,209.9419,41.753,367.8162,573.9699,295.9596,134.0989,168.6675,70.661,35.725,0.0
GBR_C30,10.3797,5.5112,240.0616,12.6514,34.6988,89.1002,12.1535,7.8653,28.7661,18.4067,63.3387,19.8162,38.8557,31.926,47.0556,129.2817,105.514,37.6856,91.1295,172.5021,2578.7094,628.7885,260.6518,33.7877,174.2928,200.6989,141.477,165.4569,463.9287,26.4938,4.0938,34.7791,14.0344,72.2841,20.1021,67.3573,63.058,189.1358,89.4649,1650.0203,26.7911,234.6714,53.6462,46.1679,0.0
GBR_C31T33,69.2841,37.8958,588.0987,91.6396,169.292,584.7462,109.1459,93.9873,217.0641,134.7304,410.8963,164.7091,228.9391,210.8579,123.6893,425.5628,193.3343,169.7778,277.6635,419.5766,601.1109,1014.4193,1957.6786,174.4187,645.4085,1500.8034,684.6857,185.0702,1778.3109,190.8418,38.2414,247.5863,182.9064,559.1738,152.9769,448.6797,60.8199,457.5339,614.9679,506.9257,408.1624,1767.0548,395.5924,190.63,0.0
GBR_D,630.4839,46.2032,261.5824,209.9622,72.3711,1951.4245,288.6948,268.3808,1015.2409,277.8919,2357.7202,248.1317,762.1323,961.6246,1046.4413,838.0051,323.8271,158.3369,424.4042,496.1824,313.3254,505.1817,70852.193,1234.7391,1586.62,4918.5224,1019.9444,48.0977,63.1377,570.3911,381.5705,1462.02,367.3766,675.7663,803.1527,1882.5203,2240.4356,1863.7316,1661.84,1871.7437,1390.3429,2578.8257,1358.8984,716.9982,0.0
GBR_E,331.0851,11.8251,51.1396,35.9441,19.6347,943.0786,99.7391,84.144,468.7956,83.659,823.4163,136.5479,168.3767,141.7953,819.1278,206.513,60.8941,42.3638,113.1317,139.1437,104.2745,228.9693,635.8529,11317.6981,1253.136,2414.6027,271.5952,35.8836,20.2375,207.6281,50.8605,952.2554,100.7242,70.4911,143.7905,786.3298,374.5026,532.3279,742.2143,4231.7779,999.2441,2492.0621,593.3407,335.5017,0.0
GBR_F,285.5167,1.504,465.6307,6.8664,267.7284,115.1646,13.5429,22.2377,30.1418,82.7214,170.7087,14.6107,192.0212,148.2478,11.624,466.1432,25.0209,7.3389,27.3624,129.8144,264.8869,548.8137,1913.8747,1023.6503,105799.6715,4502.1395,104.9166,33.3822,45.6973,497.5801,46.2732,388.9391,86.1919,147.9717,116.8071,5272.3838,22737.8187,3003.8458,1004.3338,7514.1436,1480.7694,1385.4203,452.6344,81.9357,0.0
GBR_G,3261.8497,148.152,611.0166,369.6272,199.4181,16165.3587,1547.7172,604.1922,2793.3601,737.83,4824.4039,1346.3261,2078.1073,1448.6764,1668.0444,2550.493,1996.9136,1480.1469,2758.5506,6432.5055,2335.9855,2160.5012,4068.7518,1209.541,9001.9379,17063.7072,5548.5829,509.8682,654.5166,1918.6526,814.3013,10566.2424,3946.6762,1086.5558,1415.2741,5253.624,1032.4498,3656.4616,4012.0636,5999.6965,4719.0078,8734.2461,1679.8946,1567.1627,0.0
GBR_H49,340.0336,5.4588,162.7114,556.1407,55.3396,3083.6885,267.7895,299.4143,950.5443,206.2407,1316.2592,135.0957,716.7735,1275.2959,480.77,647.9701,250.2923,279.6251,505.7763,842.2427,259.1602,457.6056,305.6352,665.6452,1391.7766,12688.0598,6760.1196,196.9101,209.1976,1469.5717,959.9227,451.3873,504.3439,120.6925,336.7289,1443.7878,267.7278,917.4612,1388.6135,1999.0173,1922.0652,2928.4449,292.3538,266.0002,0.0
GBR_H50,21.0897,1.9082,33.152,3.2957,3.8969,97.5896,7.2785,7.4896,20.588,76.5776,39.0634,8.3693,20.0764,12.9276,31.3955,28.902,25.8312,16.1239,28.0748,74.6366,34.1584,23.8267,59.437,7.0142,89.8992,70.0608,19.7904,253.5253,12.1071,137.0736,1.8704,51.1291,19.4544,11.7534,10.2058,43.5506,11.3707,25.7212,67.6366,55.1249,25.3266,57.6799,12.599,10.1072,0.0
GBR_H51,48.1772,1.8842,81.0741,8.7294,5.5704,215.1415,19.9244,16.8722,44.4332,161.3735,87.0942,25.6016,44.1633,24.7253,79.3509,65.5678,57.8383,35.5373,65.3326,159.0031,106.4361,64.5357,136.8452,41.1977,202.4996,222.6472,45.1083,100.1175,1306.9913,358.5915,155.0812,157.3697,65.8636,43.4928,52.1093,898.8112,26.5466,541.6521,1676.6536,193.0971,57.9348,136.2512,46.5928,76.5005,0.0
GBR_H52,39.3348,67.2132,24.428,13.903,8.5809,362.0591,95.4953,19.4928,94.5543,26.0908,249.0931,728.4203,164.6366,71.9401,64.2922,140.6529,246.6071,104.6312,345.4494,636.8815,216.4097,142.7802,122.9531,278.6611,524.9771,16304.339,3504.9119,2179.2575,286.1938,8461.0261,505.8384,141.2272,126.7259,368.7954,628.7649,3214.2944,141.6075,175.6365,1139.5326,493.9594,138.7569,157.8246,37.4873,80.3793,0.0
GBR_H53,32.4443,2.4994,16.8957,3.0848,19.6024,301.0193,87.8171,63.6695,152.4475,11.8431,482.6598,246.7242,72.1539,176.1025,119.5916,123.5761,71.19,107.8405,112.0748,64.4884,51.1779,388.7823,164.9372,41.3003,57.1,4421.4961,267.9748,8.1834,11.8725,168.967,3268.3693,89.2215,536.5355,462.6579,599.3224,5596.1942,221.2991,880.7455,952.0985,1921.4015,689.2629,789.5503,210.0781,380.6514,0.0
GBR_I,10.3104,1.209,65.7369,6.1572,33.9283,1011.1696,39.9941,52.9789,59.4066,14.2905,302.3267,140.8177,66.64,97.4033,130.0071,55.3512,499.2005,24.4221,25.0652,172.5883,40.4114,51.2724,98.6404,53.9729,70.6257,1021.7707,156.9012,36.974,811.9161,98.0554,84.4349,1113.0916,345.5463,257.398,381.2846,2962.0319,181.6218,1538.1867,2485.9175,1476.8456,1336.0039,1589.1566,400.4898,119.3693,0.0
GBR_J58T60,84.5273,0.9841,23.6216,3.3108,5.5048,569.4477,80.075,10.3225,122.4713,13.7444,222.6203,294.9989,61.3163,51.26,38.9654,53.4787,45.5319,65.3871,47.6737,144.9622,91.3083,150.9211,158.4433,93.3391,278.5459,2536.2708,106.5456,32.4758,82.2688,64.0406,43.606,245.2588,9303.6883,562.8654,586.013,2032.699,337.7348,950.5775,564.1,1169.9216,1059.2272,463.3557,1139.1403,958.6362,0.0
GBR_J61,361.3319,8.1588,69.3016,18.4887,40.3321,364.7754,61.9091,45.0089,156.5086,24.2856,210.9799,101.4856,110.1439,78.2685,64.5224,184.203,179.9409,68.3067,216.8649,136.5783,102.4911,236.6268,210.4317,181.9439,1375.9353,2717.6747,434.9299,31.9713,76.7964,237.5775,121.7443,412.0581,549.95,7351.9201,1967.4393,8402.1887,1259.2748,2656.9603,1342.5939,2728.4206,588.4167,1576.738,698.4132,522.3718,0.0
GBR_J62_63,150.1358,4.5264,216.5614,17.0008,46.1014,489.4918,79.3526,35.2005,174.2485,30.6756,289.533,349.4912,140.0111,90.7565,127.0421,207.407,579.0483,144.1902,242.6326,454.4371,460.0244,255.4378,703.6171,209.9622,1458.4868,4600.9716,449.4189,119.2988,159.8412,334.7466,375.0954,324.5189,1169.9253,3204.963,7543.0,10852.9617,1141.3645,4483.947,2041.6976,2879.5383,1174.1556,1919.2153,602.9715,600.3529,0.0
