V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,805.7389,2.5872,72.2946,0.0,6.6182,5737.5782,173.7255,2.2056,15.6299,234.6417,28.5563,2.1319,48.5071,0.0,0.0,0.0,0.0,0.0,0.0,0.0852,0.0,2.1777,0.0392,0.104,779.3921,265.9945,0.0,0.2143,0.0,0.0672,0.1502,593.4713,2.3675,1.5109,0.0025,0.0473,31.375,0.074,84.5107,51.5087,168.0488,6.0429,98.7001,3.9736,0.0
SAU_A03,32.0087,0.0025,0.0,0.0,0.0,154.0608,0.0,0.0,0.0,0.0,2.9035,0.4504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162,0.0,0.0,5.2683,0.0034,0.0,0.0,0.0,0.0,0.0,18.1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2076,0.3146,0.2357,0.0,0.005,0.0
SAU_B05_06,0.0,0.0,323.0624,27.5129,13.0524,928.2753,213.6126,37.6809,143.4325,4988.7793,2887.3119,97.7056,166.4696,250.7171,284.046,202.8668,14.1473,117.0405,116.8941,60.5597,19.7193,88.3073,1138.9915,3.8602,817.9437,0.0,32.9336,1.5669,133.6538,71.8829,7.4475,66.9441,44.553,213.8446,14.7396,0.0363,1.7237,3.2513,38.158,0.2721,50.2078,78.8142,12.3601,2.9524,0.0
SAU_B07_08,0.0839,1.241,0.2505,3.0483,0.0039,4.8489,0.1411,0.0055,3.9954,0.0,198.1247,2.1999,0.3115,370.7691,294.7356,3.6413,0.0,1.8832,0.0,0.0723,0.0,1.0842,24.4474,34.7378,1258.1156,1.9782,0.0072,0.0,0.0,0.6556,0.1273,0.2605,0.0245,1.6025,0.0968,0.002,0.0126,0.2496,0.1025,0.1845,0.059,0.0212,0.3082,0.0299,0.0
SAU_B09,0.5159,0.173,3.1178,0.297,0.1795,13.3983,3.277,0.6089,2.2353,71.3423,74.9059,0.6283,2.7028,4.0267,4.3108,3.3401,0.2388,2.4291,1.8178,0.9483,0.1919,0.8899,4.7171,0.555,0.9395,0.0,0.6697,0.0045,3.066,1.6672,0.2322,0.7224,0.0803,0.0,0.2269,0.0,0.0,0.0091,1.0545,0.0,0.0,0.8504,0.0764,0.0889,0.0
SAU_C10T12,206.3117,19.3457,59.5262,0.0,5.4212,365.9203,31.0484,0.0037,0.8916,0.0,6.1142,0.4406,0.0,0.0034,0.0,0.0007,0.0008,0.0,0.0,0.0,0.0,0.0104,11.542,15.2642,38.1241,180.7,0.0399,6.0176,36.4548,0.0002,0.015,169.3558,45.9245,40.7343,2.8425,1.137,18.2821,17.5731,64.5556,409.8476,455.5236,172.6283,51.9319,26.0934,0.0
SAU_C13T15,3.2824,4.7684,9.7672,0.015,0.6384,9.5921,389.9368,0.552,8.7978,0.2451,14.276,0.9006,15.0292,3.5279,5.2573,0.719,0.4383,1.9234,3.454,6.065,0.5588,13.6504,1.8521,2.093,78.8724,45.7344,0.0768,0.055,7.4648,0.8479,1.3828,13.0129,1.2702,19.8481,0.2902,0.1334,3.9794,5.2812,3.9715,54.9998,13.2802,21.425,4.002,9.2512,0.0
SAU_C16,14.1268,5.192,5.933,2.8701,0.6562,43.9146,21.1293,133.7295,52.1508,0.3268,9.0039,0.2729,4.8846,15.9,4.7655,8.4804,0.4691,6.0482,2.421,0.9803,1.1083,100.492,0.2992,2.4325,512.8932,48.8425,0.1207,0.0124,0.4124,21.801,0.1178,19.7888,2.4848,3.1142,0.0583,0.1232,0.757,8.5692,5.273,4.7878,1.2324,19.9867,4.6223,16.2261,0.0
SAU_C17_18,3.1267,0.4935,37.4321,0.4691,2.3834,65.4139,9.8677,2.8314,190.6787,22.3626,49.4518,4.6539,9.3792,10.1748,2.394,1.9605,0.817,4.1845,2.4199,1.1659,0.51,8.6727,14.3024,17.1184,13.0028,216.4543,0.5305,0.0255,1.1855,7.4356,0.9072,35.7552,83.3892,19.1767,5.2731,62.5359,1.7184,56.0937,26.0027,213.167,100.3763,84.7872,27.6102,27.158,0.0
SAU_C19,208.0026,28.2603,80.7238,13.8381,3.9992,78.5049,30.9322,17.4435,28.6726,533.87,1802.6579,35.3513,65.0928,156.4732,95.0063,19.6673,1.0149,11.8504,23.894,3.5157,3.4253,17.7535,878.2615,74.0175,937.0584,237.0242,312.004,10.2534,1534.9767,105.2598,7.5294,77.8216,19.5254,398.1375,2.196,9.4825,0.4517,27.1451,84.3003,412.7043,198.1555,205.4114,25.6599,68.6196,0.0
SAU_C20,504.102,19.5428,128.8924,53.8718,8.7012,83.3545,103.9701,12.8732,115.5305,152.176,1707.5847,29.117,235.9766,87.7568,86.8439,25.6817,2.2553,27.8585,12.0669,6.9652,4.1273,75.0244,118.9462,95.758,898.0976,433.4444,35.4155,1.7024,162.023,70.9479,1.3122,158.164,163.7432,119.0767,27.0404,14.2585,0.9308,20.7702,114.9081,430.4738,125.0845,316.0083,28.8606,103.1079,0.0
SAU_C21,21.9305,2.7324,31.0257,1.792,2.1262,2.2653,0.9564,0.1877,1.3009,5.2925,81.2365,64.5608,2.3619,1.1275,0.3489,0.4075,0.0351,0.2402,0.2065,0.1339,0.0062,1.2238,21.0293,7.627,148.6041,30.3228,2.8907,0.1692,22.6044,5.9471,0.2197,27.9715,9.3206,24.6579,3.686,1.3125,0.0264,7.5455,33.2293,128.8271,41.644,94.6375,5.9525,26.2318,0.0
SAU_C22,118.8406,32.6847,59.8322,9.0009,3.7742,205.8795,205.3685,4.3593,25.7747,20.4135,238.265,9.756,407.4744,23.1622,8.347,14.1061,6.7542,60.2003,27.2446,44.5074,16.5327,64.2692,0.4601,20.4089,699.3382,476.319,22.0934,0.0071,8.1389,92.8109,3.9218,45.917,24.2661,62.231,0.6798,2.8434,1.7682,45.8523,36.0657,89.3732,41.1157,95.2546,13.1606,48.6369,0.0
