V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_A01_02,1104.6879,0.1324,1.357,0.457,1.1027,3226.1277,10.1602,80.6689,3.8098,2.0485,26.8547,59.1182,7.0099,8.0533,1.0915,11.1483,6.3987,3.3225,64.6062,1.6418,1.4671,42.3586,55.0537,26.9525,85.6627,144.1867,5.8307,9.57,0.4902,25.9736,4.228,179.6627,51.7337,27.3111,43.3765,37.7249,34.7761,103.649,121.0004,102.578,80.4723,162.6387,29.7494,26.5165,0.0
DNK_A03,3.5895,2.1349,0.4634,0.1764,0.3161,139.1729,0.092,0.0609,0.247,0.0717,2.4591,2.0099,0.0808,0.317,0.0192,0.4036,0.493,0.3643,3.2316,0.136,0.1934,0.735,0.32,3.2227,17.7802,15.0716,0.4273,0.6619,0.0658,8.1121,0.2731,10.2542,2.0625,0.8763,5.4517,2.2344,0.5969,10.3245,6.2404,3.0484,3.5263,6.1582,3.2222,2.0433,0.0
DNK_B05_06,10.9505,0.0019,115.0683,12.4834,4.3726,88.4984,1.6943,1.4307,9.9098,2628.3706,48.857,13.4843,3.8559,7.5528,17.3819,7.6626,1.8447,1.5499,10.2701,1.1765,5.515,3.3141,1736.0631,9.5229,48.4342,23.1601,0.256,0.1317,0.0674,2.3015,1.691,16.3241,4.268,1.0088,1.9562,2.9232,3.165,9.8688,20.9808,3.8249,10.5443,37.9225,9.5529,1.6204,0.0
DNK_B07_08,8.5742,0.0003,17.3707,5.6167,0.6393,19.7215,1.4366,0.5618,8.2624,0.4424,6.6456,1.8337,4.6158,53.4412,1.4607,8.4771,1.491,1.4133,7.2845,0.9555,0.3412,1.8606,55.5258,1.3139,62.149,9.5181,0.1911,0.044,0.0519,0.3309,0.2254,1.471,0.5144,0.0785,1.037,1.9837,0.4226,1.3049,2.974,3.8552,6.2463,5.1474,1.3029,1.0063,0.0
DNK_B09,1.8589,0.187,275.5056,4.4372,12.8834,0.8478,0.0109,0.1178,0.8744,39.5583,2.6753,0.3558,0.3256,5.1474,3.2375,1.855,0.0257,0.0422,1.4898,0.0061,0.0059,0.1331,25.2998,0.9918,56.4457,0.852,1.2156,1.7397,0.0046,1.8711,0.047,0.2497,0.0491,0.0,0.0456,0.045,2.6231,1.1674,0.7898,2.0623,0.3328,0.6951,0.1896,0.2202,0.0
DNK_C10T12,1230.0128,30.1858,0.6448,0.2244,0.296,3185.4053,34.5512,0.8344,28.6237,0.6055,71.9377,64.0454,4.0349,1.9866,0.0465,2.4417,1.922,0.9139,6.5417,0.4699,0.5043,3.7794,2.5147,6.1072,12.6311,98.3319,3.6947,5.3793,0.4525,8.2887,0.8199,1051.4612,9.0667,2.5497,15.6894,7.9555,3.2858,34.645,15.2437,45.6873,29.8066,203.8931,14.4872,29.4513,0.0
DNK_C13T15,1.5939,0.8652,0.1783,0.0704,0.1095,4.3136,122.9007,1.5485,5.0759,0.2467,2.6257,3.454,8.6591,6.7322,0.478,9.9959,4.3407,2.0425,22.8316,1.3491,2.9003,30.9658,2.0113,8.4746,36.1297,18.8082,2.8901,2.6086,0.5145,3.3199,4.6691,4.1173,4.596,1.2679,2.8321,1.2113,0.6267,7.4842,27.3223,13.9962,7.5521,43.0007,8.2177,12.4609,0.0
DNK_C16,9.4907,0.0424,0.9273,0.4309,0.2626,11.2462,1.1561,156.0505,4.3705,0.2086,4.2749,1.4173,5.9598,8.438,3.7051,14.7518,8.7634,3.293,21.8037,4.0262,5.2399,150.4559,19.9414,12.444,903.9168,24.4864,2.0926,0.5252,0.1091,4.5077,0.3029,1.0888,1.1218,1.0059,1.2567,0.9537,3.0385,3.0102,15.6336,2.8713,2.4542,4.5584,9.3291,3.6316,0.0
DNK_C17_18,7.7706,0.1289,1.4031,0.5028,0.3445,157.2828,4.5265,6.8216,397.1928,0.4393,21.6941,22.1578,20.6551,15.0545,4.2446,14.3345,12.5002,7.2012,23.4604,1.4635,1.2081,17.613,2.7179,19.9792,10.8939,277.4069,5.2298,2.9185,1.1643,4.3758,12.6194,12.8649,210.8505,33.5027,51.6021,58.237,31.3269,244.6049,39.5415,67.5308,54.3056,41.6351,27.3004,25.2567,0.0
DNK_C19,168.0584,48.9866,3.956,1.7094,4.1855,44.8928,2.1869,6.2112,5.5602,105.9287,19.4364,3.387,8.1957,49.7056,2.1295,32.4674,2.2179,2.3257,21.4829,1.7146,0.8004,19.7755,66.1752,20.1003,258.2938,154.4513,342.9511,1528.2206,250.5464,24.1831,18.1223,10.5074,3.8376,4.1623,6.5804,8.8234,24.7915,27.5904,42.2221,64.9546,21.491,23.0063,8.4217,13.6124,0.0
DNK_C20,141.1736,0.4969,4.5816,1.1842,2.0595,63.6341,31.5274,8.6165,27.1828,28.7946,319.6236,144.9988,145.4308,24.3176,13.0857,23.9187,18.0564,18.0387,79.0692,4.8179,4.9191,81.0996,3.4667,8.6263,68.6521,39.4192,9.0895,15.364,2.5667,4.3202,1.1618,5.2113,16.4029,5.4781,9.7314,10.3626,24.9367,34.7487,38.4289,50.1597,31.4563,85.429,7.9394,23.2193,0.0
DNK_C21,69.5876,0.0713,0.6204,0.164,0.5124,74.653,5.0565,2.0587,3.3043,2.9033,40.1915,456.8308,23.8455,3.2394,1.4107,4.7489,4.6375,2.5731,99.3594,0.9109,0.891,17.0559,1.8653,7.3118,16.1134,46.6543,2.4158,3.4232,0.1557,4.2144,1.5326,6.0459,13.2,8.6139,16.1223,13.9757,10.1117,132.1683,18.3125,179.062,86.5984,788.2492,7.1894,14.2227,0.0
DNK_C22,17.442,1.9117,2.4913,1.1593,0.7563,140.2033,11.0834,9.7689,24.2586,8.0907,29.1161,33.9433,103.0346,15.5211,7.3839,31.4296,39.7166,16.2864,82.7493,6.9237,7.5298,58.8862,4.0195,8.5755,305.3472,348.0261,14.2995,4.4643,1.9545,7.5276,1.4444,7.4257,9.3369,5.767,9.2104,5.7081,9.2264,27.5835,17.893,49.564,30.0336,121.8158,15.8721,12.6808,0.0
DNK_C23,7.3481,0.4441,4.8212,1.7757,1.5313,37.6001,2.1374,47.4678,2.4548,6.5873,10.6834,13.067,14.067,146.9548,4.4812,19.2088,18.5915,8.1864,127.2381,4.9443,8.8065,16.2778,4.2232,8.6562,1185.1434,45.0029,7.4511,6.9388,2.7592,3.2312,0.7743,2.0405,2.8757,3.4423,5.1225,6.215,33.95,7.8984,4.5623,14.4057,5.6356,14.5612,2.612,3.0343,0.0
DNK_C24,0.6211,0.0343,0.192,0.0196,1.7093,7.2363,0.731,15.4053,1.8084,3.906,2.6105,0.8371,9.0089,9.3583,127.5855,192.7183,15.083,25.95,206.2801,26.7519,24.489,35.4362,0.1974,0.2415,121.9325,27.7761,0.491,0.1951,0.2452,0.076,0.223,0.0752,0.182,0.5319,0.3108,0.2288,0.0234,0.2091,0.186,1.8102,0.8058,1.8825,0.1426,0.4911,0.0
DNK_C25,67.2536,2.6787,5.4272,1.577,2.8717,135.3019,15.1327,60.0578,11.3312,8.519,35.1167,35.9482,60.5852,57.153,27.3034,521.0121,83.9779,90.1288,776.1834,23.3133,106.7187,168.8648,22.5288,30.3093,1236.3276,158.5784,27.8921,28.2762,7.9026,25.7186,3.9286,7.0667,8.0561,15.9743,20.8858,30.8018,157.38,23.6862,23.3327,96.7586,31.1316,61.6176,12.8401,14.9886,0.0
