V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2437.6282,83.7278,1.4197,0.8727,0.0026,19297.142,414.3485,817.8273,4.0718,1.274,64.1869,295.0206,871.0556,2.2382,6.1293,3.4186,10.4577,2.8743,6.0201,9.5269,2.5048,6.9902,1.4796,1.607,506.7767,43.3702,2.8635,0.6715,0.9445,7.3147,0.3935,3269.4677,4.9947,4.1634,9.6168,25.5114,3.8057,47.0237,9.1542,37.6346,313.0859,543.02,40.0222,24.7965,0.0
KOR_A03,0.3318,166.7386,0.0162,0.0088,0.0,1978.0599,0.3768,0.0229,0.09,0.2862,1.4813,0.1585,0.1769,0.0582,1.4298,0.1758,0.4491,0.1919,0.217,0.216,5.9934,3.4748,0.2752,0.285,1.9549,2.6591,0.1226,0.0405,0.2329,0.0608,0.0506,1596.3208,0.5898,0.7693,0.0805,1.6317,0.399,5.1135,0.409,27.4432,109.2708,103.7072,13.4913,3.1841,0.0
KOR_B05_06,0.0151,0.0022,0.0058,0.0308,0.0014,0.2276,0.471,0.011,0.1622,143.4723,13.4363,0.038,0.054,12.5819,106.1388,0.0735,0.1644,0.1391,0.0997,0.1268,0.0624,0.0665,176.3884,0.998,0.3419,2.1379,0.1386,0.0074,0.025,0.2039,0.0063,2.787,0.1888,0.2139,0.3177,0.9424,0.578,3.1071,0.2735,0.2339,0.4202,0.8017,0.027,0.3773,0.0
KOR_B07_08,1.6285,0.2578,0.0052,0.2966,0.1272,16.654,5.4993,0.333,21.9311,22.422,352.7581,1.3213,9.2093,1192.364,189.8948,15.0147,43.1349,5.9762,10.6407,10.3807,3.3508,2.7442,1.0421,0.4175,683.768,1.5144,0.6672,0.2913,0.3417,0.4039,0.0579,7.7297,0.3303,0.2009,0.3077,0.5917,0.3013,2.9394,0.9494,1.9272,0.9552,4.8845,0.5209,1.6928,0.0
KOR_B09,0.0335,0.0078,0.0174,0.1589,0.0028,0.0143,0.0034,0.0016,0.0508,2.8016,0.2373,0.0022,0.0247,0.2708,1.3838,0.1013,0.0061,0.0048,0.0446,0.0039,0.0008,0.0025,0.67,0.0138,1.3299,0.0072,0.034,0.0024,0.0001,0.0251,0.0008,0.0164,0.0008,0.0,0.0007,0.0011,0.0216,0.0187,0.01,0.0342,0.0052,0.0056,0.0033,0.005,0.0
KOR_C10T12,5357.8457,179.4904,0.3078,3.2155,0.0111,9991.2338,516.5503,4.4031,51.9675,17.5218,594.2151,146.2461,57.5538,24.8793,59.4593,43.6625,126.6081,35.8173,64.7757,78.5825,28.7776,13.4086,15.971,10.6661,68.7725,304.9715,26.3642,5.7337,6.3758,61.9644,3.4231,17149.0966,32.5637,25.5943,71.0639,122.0374,24.806,305.6647,98.1424,95.531,1010.3802,729.6792,609.3481,108.7901,0.0
KOR_C13T15,145.5665,108.2611,0.8367,4.3599,0.0241,201.4501,15429.577,14.4391,240.7296,55.2405,454.1824,44.865,778.2844,100.6048,242.0397,251.1759,588.1613,147.0316,214.2514,540.6808,177.2091,645.2256,78.4528,146.0024,395.7567,866.3432,240.4056,31.5691,10.9448,416.4668,47.934,409.7536,70.446,56.708,40.9207,313.3756,55.8388,257.787,218.62,321.5352,114.274,446.5846,143.9478,536.3834,0.0
KOR_C16,40.7849,118.4318,1.176,3.185,0.0192,52.6955,18.7982,954.6825,90.4064,5.1933,46.124,2.1539,28.4802,94.1632,150.9667,148.1547,61.9403,67.4688,92.2819,160.0302,144.5701,656.6011,36.1255,7.9732,1415.217,61.3841,9.3569,1.0754,0.4464,165.0624,0.2704,125.0401,3.6943,0.9767,1.2355,3.3734,2.3359,135.5248,11.4311,6.1227,25.6976,25.3656,42.3125,9.2427,0.0
KOR_C17_18,198.3994,6.7531,0.2807,2.8338,0.0158,1342.4129,751.1516,31.8142,7810.1017,61.7926,490.1072,346.3698,383.7839,233.4449,161.056,269.9037,771.6158,469.0347,214.3915,209.3171,91.2546,156.413,31.8461,82.0364,283.0889,1438.8697,115.7977,10.7387,3.6786,190.7081,362.898,425.5969,1456.5389,82.919,235.4889,908.9516,44.6946,1799.0555,167.5588,660.0298,817.8047,447.9781,209.69,260.0625,0.0
KOR_C19,832.8754,356.5089,1.0515,122.8231,0.363,374.5516,1114.0391,68.4836,453.6362,6162.8125,13699.8778,410.3611,2761.4489,1113.5029,898.4996,807.8036,1612.5088,543.2358,465.8919,494.7929,375.0485,142.7736,1218.1917,156.9335,1366.1629,1196.1918,4750.7195,2116.9218,2181.8205,248.5512,134.9244,1204.6707,125.2039,50.0706,67.3387,116.2044,164.5404,1111.8084,271.653,330.5069,733.2295,627.2199,211.4878,535.2351,0.0
KOR_C20,1841.0956,104.879,1.6097,99.2903,0.3195,587.6229,3555.6709,205.1864,1217.0725,2979.288,20576.11,1132.1289,10653.6947,1205.8287,1250.9543,1898.3689,6177.328,1723.0218,838.8659,1107.1226,746.4273,499.832,939.1225,268.4854,1640.9325,479.9851,1350.6489,485.5534,488.1575,150.765,36.3451,524.1308,279.7244,23.5702,49.2837,63.7083,66.1864,611.0062,568.3051,163.6476,288.4035,801.8026,236.9032,1124.6534,0.0
KOR_C21,73.5143,10.071,0.1315,0.2768,0.0038,230.3272,13.6847,1.3906,6.0861,5.5975,66.9703,1320.5626,16.9674,3.8245,9.2079,12.2455,30.3323,8.6797,12.3861,23.6664,7.9731,14.635,4.7347,12.4122,17.8922,11.4504,4.748,1.428,25.1927,11.8196,0.8196,67.7594,2.6864,3.7242,5.6009,42.5831,1.2402,50.249,15.3422,121.7975,26.878,6764.3216,9.9923,24.3749,0.0
KOR_C22,474.2652,120.7294,1.9683,19.2303,0.0878,1660.1962,1331.3671,48.8983,508.9974,69.8454,1456.7731,316.5087,4694.5362,438.3884,407.8635,1434.5876,6742.9555,3033.8045,2638.0555,8539.7698,1249.4938,1037.9804,219.8161,163.1404,4350.2514,1802.9864,1033.1445,8.4327,21.5652,207.9389,97.1111,439.4568,54.9154,11.9521,42.1509,63.1325,25.2705,265.5402,100.1996,42.1578,113.2599,72.1066,18.9716,354.4441,0.0
KOR_C23,30.7672,3.8874,0.2861,2.024,0.1114,430.6682,104.636,5.9784,81.4078,29.1423,484.6392,212.4383,180.8689,4360.8178,1073.3015,252.6614,8132.8012,701.5682,327.9589,629.8367,383.7381,138.3612,43.3403,107.2369,11878.0834,107.3346,12.6057,13.0834,7.622,40.6128,0.8839,218.5163,7.7527,7.1186,11.2207,27.9157,10.901,95.9979,15.8669,19.6854,61.0344,165.4363,11.5374,39.8974,0.0
KOR_C24,57.2913,6.5019,3.4578,9.4998,0.1943,142.155,153.2125,20.3721,71.3713,125.0787,985.3257,68.4469,672.4128,498.7233,28321.327,13194.4719,3400.7433,6222.1772,7629.9143,5287.4723,8138.0135,720.3871,315.6414,279.7331,9278.1787,125.4832,73.0122,13.4826,31.6065,60.9066,2.6924,192.4836,14.1009,22.2698,17.2517,48.626,88.4162,134.9729,25.6574,80.2624,104.7504,170.6309,56.8284,124.7421,0.0
KOR_C25,34.6383,6.9606,7.7891,38.7405,0.2041,918.7681,508.1755,54.2851,78.5784,380.1759,686.4106,147.323,642.6349,474.823,1653.1703,7788.3479,3142.5585,2148.2,8713.1124,6873.665,6444.3274,924.9932,273.915,153.6964,12254.49,579.0358,210.4472,50.9046,39.3133,168.9409,6.9128,668.0628,30.1664,47.8909,61.796,195.3434,59.5161,410.1695,96.6908,411.9412,113.0578,119.9113,37.8453,550.8794,0.0
KOR_C26,158.6769,23.749,0.561,5.1019,0.0483,453.6321,299.0805,31.1875,133.1731,155.2246,629.0065,81.1582,445.1294,145.9204,435.3799,468.4909,52156.3258,3182.4199,3216.6868,3043.1021,1717.8109,691.8484,340.5274,130.6557,1590.0701,717.6561,185.3065,27.0838,52.3703,184.3002,57.0086,488.9347,250.7002,786.9054,2370.4175,485.7692,45.168,1768.2464,269.2903,432.2665,621.3522,381.3446,109.8056,1470.2919,0.0
KOR_C27,21.7791,51.6606,3.6995,7.8105,0.0375,46.9001,64.585,10.0007,36.7124,47.203,187.9174,17.8768,111.9719,122.4701,849.2732,741.5619,6204.9105,8858.7088,4141.9769,3488.8855,3338.7481,470.6598,557.1339,88.0796,5080.9859,377.5058,278.5135,20.2938,32.7126,200.2638,12.36,374.3712,64.8197,597.2184,160.4228,153.1191,55.8078,270.2136,266.0883,86.4839,239.3561,167.0613,118.8954,1186.214,0.0
KOR_C28,101.229,45.1665,5.0799,27.9935,0.2619,215.4598,272.2714,13.3038,131.4563,231.5181,377.4564,25.2541,979.281,254.3469,741.7293,1518.5778,1511.533,1354.5969,10704.0645,2957.8084,5655.4107,642.8205,343.8333,299.0986,2771.7246,374.8055,109.1868,28.0239,104.6237,196.6116,10.5565,171.5625,47.4634,44.5112,84.1326,210.9549,47.4161,249.2553,135.9911,323.2378,98.2067,111.0876,45.4028,465.1122,0.0
KOR_C29,35.5494,7.8966,1.1512,56.869,0.0357,99.2689,69.872,12.9883,57.238,39.46,112.9702,32.5651,135.8496,192.6329,143.1852,232.0856,338.2612,283.2287,998.9003,33202.594,311.4208,44.0023,38.2875,157.8155,412.5847,2031.7001,1942.3372,4.975,7.7772,280.192,18.5999,65.1995,72.7786,16.7961,51.4139,97.3436,29.1795,254.1159,140.8335,82.2235,37.9294,138.6691,104.0459,103.102,0.0
KOR_C30,25.175,116.5061,4.5826,29.042,0.0329,54.4692,48.0427,4.6062,15.7755,38.5938,67.8636,8.8758,109.1954,62.4982,159.8728,501.8834,788.3282,1033.1776,1659.8532,835.2335,3948.0734,141.4593,97.5039,39.4681,1206.4332,111.2281,187.4795,269.8072,804.8212,56.6993,36.9864,77.1059,10.2578,64.3311,21.7452,37.0236,10.7505,86.1251,48.1479,244.7422,43.519,35.6596,23.5786,290.9611,0.0
KOR_C31T33,47.5789,25.9904,1.0357,1.2308,0.3147,62.8098,530.7112,4.3481,21.6438,12.7862,56.306,5.9353,39.1179,37.0141,97.787,76.9178,150.1959,40.0088,73.9192,1487.83,169.2467,595.7838,61.7113,99.549,632.8932,688.7126,112.7873,8.0246,33.8174,80.0084,15.2643,468.4404,50.8508,95.4019,85.5511,851.1129,57.002,614.3884,201.6804,1076.6592,581.8312,1451.8468,260.3911,104.4007,0.0
