V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_A01_02,2428.341,24.0075,1.705,0.12,0.0793,4876.1,432.3724,341.5532,138.7315,13.5206,73.5822,16.4493,39.7762,7.4515,4.8348,3.5098,3.3718,3.0783,3.4335,4.3459,1.1225,33.0272,11.7373,3.2549,166.4329,77.4017,9.7826,2.9703,3.2581,3.2952,0.5996,212.0202,5.7883,6.4679,1.2017,3.7719,5.811,6.5351,9.6979,27.5396,13.9789,26.9274,7.6596,14.0735,0
BGD_A03,20.4949,258.1538,0.309,0.0167,0.0153,552.53,14.1897,0.732,1.1854,2.5051,4.1321,1.1514,0.8206,0.894,0.7727,0.4791,0.6663,0.5524,0.5986,0.7053,0.1856,2.5485,0.8551,0.4133,9.9172,7.2291,1.7324,1.2143,0.8258,0.4838,0.0915,108.8242,1.3708,1.2411,0.2544,0.4956,0.5328,0.9984,0.9815,3.1276,2.2053,4.4755,1.4734,1.6886,0
BGD_B05_06,1.9941,0.2515,4.6294,0.0628,0.0884,3.0588,3.6154,0.1776,1.197,1310.8232,13.318,0.3293,0.7413,4.8526,7.1602,0.5214,0.317,0.3799,0.5202,0.4788,0.1865,0.4392,58.7519,0.2604,10.0332,1.8176,2.516,0.4693,0.7093,0.4023,0.0841,0.6356,0.1913,0.3039,0.0417,0.1546,0.4445,0.3484,0.2993,0.867,0.3824,0.5688,0.1834,0.5913,0
BGD_B07_08,0.6178,0.0448,0.0981,0.1033,0.0241,0.4299,0.3201,0.0204,0.2834,2.7873,5.1244,0.1145,0.1127,18.6719,6.9566,0.1983,0.0698,0.126,0.1212,0.0664,0.0187,0.3302,0.6215,0.1027,36.1104,0.1235,0.0911,0.0068,0.0057,0.0347,0.002,0.0444,0.0101,0.0134,0.0025,0.0049,0.0641,0.0273,0.0225,0.1551,0.0182,0.0295,0.0163,0.0388,0
BGD_B09,0.1112,0.0221,2.2642,0.0409,0.0729,0.0525,0.0606,0.0069,0.0858,12.3164,0.2129,0.0063,0.0241,0.5403,0.7622,0.0606,0.0063,0.0076,0.0236,0.0084,0.003,0.0114,0.8561,0.0164,5.3778,0.0389,0.0733,0.01,0.0077,0.0347,0.0017,0.0138,0.0059,0.0072,0.0016,0.0048,0.0292,0.0173,0.0162,0.0562,0.0082,0.0114,0.0045,0.0163,0
BGD_C10T12,798.1069,45.7997,0.5931,0.058,0.037,1740.3332,128.111,1.4545,10.4268,12.621,82.9498,17.218,8.3791,4.7447,3.7424,2.229,2.9313,2.6851,2.6104,2.5916,0.6178,5.3894,4.0763,2.7788,32.3518,54.4343,5.4795,4.9848,4.2666,3.0114,0.4154,737.906,7.0678,5.5518,1.1512,3.2759,3.4648,6.5817,5.9458,37.1381,28.163,54.5576,12.6685,21.5851,0
BGD_C13T15,16.7037,3.7401,0.9265,0.0642,0.0505,29.4252,2905.2999,2.8782,10.5204,10.1874,11.8985,3.0308,12.8655,6.82,5.5649,5.5087,5.6478,5.5846,6.2126,13.0619,2.1983,23.1533,3.9518,2.079,71.5472,20.2197,6.6093,1.5423,2.3795,1.4554,0.571,7.467,4.4056,4.2226,0.6852,1.8244,1.5207,3.5682,3.5903,12.8266,3.2206,10.4642,2.7296,12.3749,0
BGD_C16,8.9116,1.1786,0.3892,0.0566,0.0244,9.6982,13.1637,111.2462,19.2045,1.155,4.8731,0.6428,3.8707,8.8409,2.9273,4.5,2.5888,3.8657,3.1432,7.9325,3.162,106.2435,2.8557,0.8276,570.3836,9.43,1.6925,0.2183,0.212,1.2167,0.1121,1.3876,1.7054,0.7527,0.1516,0.3129,4.8252,1.7415,1.3453,2.1501,1.5023,1.5118,0.8992,7.284,0
BGD_C17_18,18.4643,2.9742,0.5356,0.0977,0.0339,172.2211,199.3216,10.9654,654.166,10.0395,44.9531,19.0951,26.2221,37.3099,7.1661,8.6655,14.7885,17.4381,10.95,11.5622,2.057,28.6048,5.2986,4.406,62.8,83.38,8.3569,1.3123,1.8677,5.0778,3.9318,15.5862,194.2481,21.0657,6.0624,24.1519,5.3266,38.8255,17.0346,40.1009,29.4443,21.4584,9.3296,25.0725,0
BGD_C19,183.3703,40.0219,9.2013,1.2003,0.6047,50.9865,103.5916,7.6986,20.8918,927.5053,178.6448,8.9489,28.3476,80.2792,60.4393,13.6838,9.1087,13.3156,11.1004,13.9132,3.8539,19.8318,99.293,17.5694,435.4552,90.8969,390.3428,73.5069,139.0931,21.6099,7.1049,14.7433,7.4249,12.6689,1.959,7.8919,7.3348,14.5493,19.0552,51.4802,12.9291,21.9899,5.5263,27.542,0
BGD_C20,281.2922,4.2333,4.5185,0.6498,0.3801,68.3107,353.57,19.2168,95.5299,214.2734,821.8735,74.7372,382.5248,76.4004,40.3645,28.7335,38.9143,49.4623,22.9802,39.5278,7.5967,53.4377,12.1419,11.0663,270.0236,27.4907,9.7626,1.7339,1.991,2.5496,0.4062,9.3294,13.689,2.5878,0.8675,1.9268,8.2217,10.3901,8.3823,12.6953,7.7631,53.4767,3.6193,24.7811,0
BGD_C21,19.647,0.6644,0.1551,0.0156,0.0089,8.4212,10.0154,0.3337,1.3963,3.1666,17.2677,92.3101,4.7309,1.169,0.9908,0.5021,1.06,0.8984,0.831,0.8249,0.1978,1.447,0.3915,0.394,6.7855,2.7323,0.6375,0.2271,0.2851,0.1972,0.057,0.7254,0.4764,0.4349,0.0955,0.3267,0.2402,2.5342,0.4426,5.8356,1.2864,127.9262,0.495,1.8692,0
BGD_C22,23.1903,3.0255,1.5234,0.191,0.0948,103.6525,171.8192,5.3378,27.4424,12.8302,47.564,12.7174,173.4884,21.441,7.9735,16.426,35.0066,47.6426,29.6244,101.3104,9.6805,47.178,3.0424,5.1239,464.5269,53.1322,34.204,0.8794,2.2771,3.392,0.8989,5.6956,5.2745,3.5682,0.6141,1.5505,3.9381,5.1687,4.4375,7.1383,2.6296,9.7416,1.5,16.1454,0
BGD_C23,9.4262,0.6055,0.7606,0.2124,0.104,29.5043,15.6665,2.9364,2.1362,5.8798,13.338,4.8612,8.7723,217.4865,14.3066,8.5459,11.8467,12.0185,6.701,16.4421,2.5348,9.491,3.4271,2.0966,1544.2565,8.969,2.746,0.4665,0.572,0.8702,0.1413,3.8265,0.8404,1.8312,0.2107,0.6849,6.9259,2.1356,1.2563,4.0705,1.862,3.389,0.7434,3.8625,0
BGD_C24,2.8655,0.2919,4.0499,0.1154,0.2252,9.6291,13.3519,2.2885,5.2471,11.1086,16.7296,1.662,15.0312,29.2097,757.098,340.9009,62.9535,253.3299,183.2056,187.9379,35.9484,83.4102,4.9542,9.5113,659.985,7.982,3.8431,0.4153,0.3427,1.2687,0.0429,0.4492,0.9575,1.2114,0.1038,0.3228,1.3008,2.0128,0.6608,1.4225,0.4185,1.0435,0.2533,6.3394,0
BGD_C25,12.1861,1.7282,2.7901,0.1446,0.137,30.5593,37.5491,4.6531,4.8654,12.4639,11.2346,1.9251,10.2649,14.1793,35.503,92.4512,20.8956,36.7899,61.1931,60.5564,14.7094,33.1175,6.201,3.1909,574.4918,13.0615,4.7428,0.9713,1.0882,1.747,0.2095,2.7036,1.6264,3.4683,0.3833,0.8311,2.823,3.2278,2.4034,8.4383,1.6012,2.5663,1.0092,9.5446,0
BGD_C26,2.288,0.469,0.3326,0.0198,0.0204,3.4579,7.8539,0.3102,1.5357,2.5856,2.0618,0.6578,1.4862,1.5332,1.479,2.1531,125.1055,18.7254,7.9841,8.6453,2.2465,7.5255,2.3138,0.6,35.5463,6.6659,2.0108,0.4191,0.7932,0.6916,0.3089,0.9544,3.3515,20.0441,2.2683,1.4438,0.5499,3.5373,1.4718,4.4652,2.1332,6.6545,0.8709,18.489,0
BGD_C27,3.6881,0.7821,0.5444,0.0421,0.0361,4.5703,10.9831,0.5253,1.4671,3.8808,2.7861,0.5908,2.4459,3.1269,6.2501,6.2313,40.5754,115.26,25.4336,30.6363,5.8969,15.44,12.7503,1.2352,260.9661,10.4488,4.5903,0.5568,0.869,0.9686,0.2108,1.8857,1.7314,10.9818,0.7735,0.9526,2.0152,2.4023,1.6765,3.5739,1.2392,2.1804,0.9303,16.8421,0
BGD_C28,11.2987,1.3592,2.6361,0.1621,0.142,8.7065,20.3617,1.2492,4.0077,9.0463,4.9277,1.0378,3.7221,6.6354,6.4101,7.4191,9.0249,11.5397,54.9002,25.8304,6.0538,13.9224,5.1547,1.657,104.2283,8.3963,4.0121,0.9359,1.652,1.2933,0.2156,1.213,1.2386,3.1459,0.3974,0.6791,0.9742,1.8748,2.176,4.5238,0.8983,2.0746,0.5994,6.5051,0
