V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1978.4012,3.0825,0.8361,0.5499,0.3572,4103.0134,82.4025,110.8292,29.797,1.9002,36.7859,9.4031,21.8267,3.3408,2.8539,1.7935,1.9133,1.4796,3.2393,2.5907,0.5439,11.3793,4.1557,1.5134,27.744,49.1975,4.5122,3.8051,2.8231,1.9532,0.2565,90.4521,2.1687,2.9252,1.1572,3.6591,2.8415,4.8018,6.7341,17.0961,8.371,16.222,4.8025,6.337,0
BLR_A03,1.1815,2.7945,0.0109,0.0064,0.0047,37.4187,0.1476,0.039,0.048,0.031,0.158,0.0514,0.0312,0.0305,0.0303,0.0164,0.0231,0.0165,0.0339,0.0254,0.0058,0.1158,0.0321,0.0123,0.1551,0.3492,0.0493,0.0875,0.0444,0.0172,0.0023,3.6599,0.0356,0.035,0.0163,0.0295,0.0185,0.0491,0.0403,0.1497,0.0978,0.2026,0.0674,0.0571,0
BLR_B05_06,3.6059,0.0226,4.72,0.9583,0.9231,8.266,1.4472,0.4731,2.8336,244.0886,32.3563,0.6772,1.694,9.2698,17.3437,0.8387,0.3842,0.4406,1.0488,0.6454,0.2858,0.626,91.8395,0.3892,4.2331,3.0968,1.3602,0.4686,0.2677,0.6292,0.0698,0.869,0.121,0.1914,0.0454,0.2307,0.5958,0.5071,0.429,1.3416,0.7018,1.0146,0.3547,0.7001,0
BLR_B07_08,3.6768,0.0423,0.221,3.1334,0.4602,2.5233,0.3304,0.1502,1.2144,0.8708,19.8717,0.4895,0.4451,57.1867,22.6513,0.7004,0.2635,0.4167,0.7933,0.2678,0.0675,1.4277,1.6148,0.3997,53.4733,0.6192,0.2995,0.0409,0.0303,0.1434,0.0063,0.1387,0.0258,0.0408,0.0164,0.0331,0.216,0.1399,0.1083,0.7241,0.0818,0.1224,0.0727,0.1309,0
BLR_B09,1.6222,0.0534,10.3611,3.1001,3.6318,0.5051,0.0673,0.108,0.9366,9.6873,2.1194,0.0515,0.2516,4.1727,6.9293,0.5432,0.0287,0.0388,0.3521,0.0399,0.0182,0.0808,5.2385,0.2623,20.4525,0.2548,0.4795,0.1282,0.0293,0.3122,0.0073,0.079,0.0188,0.0163,0.0108,0.0295,0.2253,0.1602,0.1592,0.6005,0.0654,0.0875,0.0378,0.0915,0
BLR_C10T12,1205.6641,11.4883,0.3193,0.4504,0.1727,2716.6642,36.0163,2.2887,10.7032,2.2098,75.3942,18.6214,5.4085,3.4692,3.3368,1.9353,2.6423,2.0177,4.3008,2.359,0.5191,5.6253,3.1328,2.0589,12.3578,68.9901,4.4945,12.6942,7.2326,3.1862,0.2937,640.778,4.9302,4.3186,1.9569,5.7107,3.1256,8.347,7.3605,44.5188,30.8744,59.4785,15.3345,18.1186,0
BLR_C13T15,15.7048,1.5142,0.5846,0.4434,0.2204,17.7988,1186.1999,3.9784,12.5312,1.6094,7.1321,2.7454,19.0198,5.3021,3.5562,3.7241,3.9217,3.1519,7.4566,18.1899,2.0568,49.0827,2.1308,2.3245,25.1181,30.7438,4.8077,3.8518,2.9917,1.6457,0.6256,7.7663,3.1983,2.6866,0.9493,3.0587,1.2745,5.8039,6.0395,31.585,5.6276,20.0434,6.0459,19.7526,0
BLR_C16,12.8933,0.2699,0.2417,0.3969,0.1119,12.6216,3.4074,202.5927,19.8916,0.2809,4.4156,0.6731,4.1602,6.569,2.4965,3.8891,2.3043,3.1045,5.048,7.4511,2.8198,111.0434,1.7084,0.6252,199.4066,10.7152,1.2488,0.4652,0.2909,1.1582,0.0719,1.0868,1.0545,0.5333,0.2378,0.4688,3.5678,1.9209,1.4967,2.4428,1.541,1.6206,0.9914,4.7662,0
BLR_C17_18,27.254,0.7284,0.2863,0.7471,0.1671,235.4207,38.1976,20.6068,709.1257,1.069,42.8535,21.1377,29.7577,28.6082,6.3865,7.927,14.061,14.6934,18.6165,11.4653,1.7881,31.0236,3.6413,3.5272,23.2368,106.1236,6.7887,3.0628,2.9009,5.2832,2.7593,12.3978,127.7075,16.6817,10.5147,38.4833,4.8524,45.4947,21.6496,51.0423,33.7425,23.4066,12.0282,21.3062,0
BLR_C19,156.0703,6.5002,3.2421,5.9829,2.0865,56.3237,20.6316,9.511,14.9502,71.5474,96.0413,6.7995,18.1581,41.8215,42.1797,7.6251,7.3978,7.5272,12.1471,9.615,2.1307,14.1298,38.007,8.4831,93.0138,66.0779,185.1069,117.0673,134.2435,12.4252,2.6036,9.3393,3.2937,6.3838,2.2213,8.2891,4.3016,11.8748,12.3858,35.053,8.517,14.5088,3.9119,12.6969,0
