V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_A01_02,1449.4836,24.0548,0.0145,0.0772,0.0363,4872.8549,504.262,9.7098,2.7822,1.126,32.566,26.8469,25.2462,1.6318,1.1981,0.6574,7.747,0.4329,8.028,0.2317,0.1403,1.1919,0.9636,0.3894,32.7194,73.9265,0.3606,0.7914,0.2431,0.626,0.4569,412.7868,0.9942,0.1523,0.5038,1.4652,2.711,3.0794,0.4816,81.0541,9.9659,1.4918,14.6958,11.9754,0.0
TWN_A03,3.2636,148.805,0.0035,0.0173,0.0075,202.7948,0.1665,0.111,0.0898,0.4119,2.1273,0.9273,0.1279,0.1341,0.4667,0.2362,1.3009,0.1447,0.349,0.0916,0.0528,7.4029,0.2377,0.0272,0.5862,5.3953,0.1217,0.3279,0.093,0.2462,0.1876,15.0188,0.0893,0.0431,0.1828,0.4029,0.1167,0.3935,0.1607,5.6854,0.1944,0.341,0.6209,0.3617,0.0
TWN_B05_06,0.0003,0.0012,2.2022,6.1741,3.2593,0.134,0.2018,0.0014,0.4008,455.2281,5.0847,0.0093,0.1062,8.613,20.9548,0.135,1.0263,0.0914,0.089,0.0512,0.0274,0.0396,106.1468,0.0193,3.0928,0.3428,0.0273,0.0034,0.0061,0.0089,0.0007,0.1283,0.0153,0.0038,0.0304,0.1222,0.0844,0.0373,0.0463,0.1197,0.0094,0.0203,0.0118,0.0079,0.0
TWN_B07_08,0.004,0.0184,1.7162,51.2231,12.3108,1.3274,1.4816,0.0046,4.3791,205.2195,115.0516,0.0436,0.9244,238.9159,233.0201,2.424,11.5125,0.4695,1.398,0.245,0.5155,0.3532,587.4183,0.1977,133.6381,0.0499,0.127,0.0126,0.0,0.0019,0.0,0.2091,0.0,0.002,0.0,0.0,0.0,0.0384,0.0056,0.073,0.0,0.0,0.004,0.0118,0.0
TWN_B09,0.0056,0.0367,7.0411,10.9073,18.7691,0.9051,0.0283,0.0022,5.6649,324.5064,13.6192,0.021,1.0111,74.4758,17.1776,2.3293,1.8975,0.226,1.5358,0.2122,0.0411,0.305,282.828,0.1938,49.6038,0.0364,0.0611,0.006,0.0,0.001,0.0,0.1148,0.0,0.0,0.0,0.0,0.0,0.0688,0.0018,0.1346,0.0,0.0,0.0017,0.0057,0.0
TWN_C10T12,1573.6599,331.4787,0.4294,1.6297,0.8061,2457.5257,241.7372,2.7256,6.7008,10.1008,118.7669,56.8302,13.4964,8.8505,30.6625,11.3645,60.1346,7.4317,12.484,2.4163,3.1655,44.2615,8.5427,1.2833,19.8927,257.719,1.7652,2.8068,6.9926,1.9452,0.5273,1937.5354,7.4846,1.418,2.2945,9.289,14.2925,9.1018,2.3548,135.3738,22.8575,45.6998,84.5197,39.6774,0.0
TWN_C13T15,11.3996,29.0083,1.1153,0.9893,0.5238,25.5919,3794.4725,3.4661,60.3029,15.6948,232.9654,33.4505,266.7235,30.0036,33.0497,42.9686,383.1085,24.342,28.6647,53.2636,15.4217,113.3873,8.3741,7.2325,47.151,102.3451,3.3188,2.21,4.9703,5.6971,2.2878,62.6717,10.048,2.5127,2.0508,8.2722,3.3198,53.0818,3.1496,80.6456,11.0487,17.0193,5.952,67.368,0.0
TWN_C16,5.9915,4.3819,1.5676,3.2128,1.7515,3.513,3.7155,201.967,64.2379,1.4095,8.1618,0.0831,4.9898,11.7315,4.2537,27.2044,17.3927,8.5929,34.9708,6.1995,16.4237,56.0514,3.1317,0.4508,489.4119,34.0342,0.835,0.1461,0.112,1.3132,0.3032,1.8585,6.2176,0.1786,0.5292,0.3861,0.182,12.6614,3.2791,4.0073,7.109,0.5915,1.2377,5.6771,0.0
TWN_C17_18,8.3824,8.7682,0.6909,0.3483,0.1907,176.3918,110.074,8.0482,2576.9679,27.0879,296.5764,48.0593,102.3068,88.6468,36.6562,106.3647,549.4781,56.0476,52.8382,23.7089,14.7068,43.2867,22.1348,8.0957,54.1948,1140.8381,8.3547,0.4847,20.5692,14.0502,11.1328,114.5111,728.4193,40.2081,72.6862,444.8235,15.0584,544.0863,230.9151,357.0887,160.7662,89.4531,46.8947,185.403,0.0
TWN_C19,48.6897,241.1864,20.5843,192.8288,73.7179,92.2075,216.5395,15.7335,159.2478,2998.3508,7964.5551,17.2094,133.827,388.5859,1407.502,223.8445,548.7355,76.1003,115.9492,37.8451,24.8225,30.0982,2012.9161,46.2407,277.2551,1140.0836,937.4605,138.0406,1281.5106,186.2588,20.056,72.6706,16.6635,17.1044,14.0139,37.2949,36.7879,59.7109,90.4325,164.4766,58.1336,85.8113,24.5625,102.383,0.0
TWN_C20,168.6512,7.8503,4.9889,15.2728,8.5241,120.7889,1608.0333,24.3871,414.6532,559.4644,22847.0966,59.959,3091.8462,272.576,1023.8628,557.9103,6219.2873,207.3987,130.3364,96.3401,75.9073,131.3081,280.1443,79.882,398.3328,191.9563,9.2811,3.323,10.3785,12.404,2.1564,84.2461,51.7962,10.4524,8.3525,20.8566,9.3901,158.5832,150.1004,130.2022,73.9473,145.2606,19.8081,299.8234,0.0
TWN_C21,24.2614,3.4442,0.067,0.1691,0.0842,30.2736,5.0499,0.3923,1.82,2.5296,21.1546,173.2562,3.2318,1.2513,8.6832,3.4551,22.5908,9.0151,6.7894,1.2871,1.1213,1.5717,1.6354,0.6299,11.7235,6.7664,0.3074,0.139,0.4344,0.2497,0.0397,14.3912,0.8813,0.5376,0.4644,0.8466,0.5126,21.9374,0.627,12.448,5.1442,500.0858,1.2826,1.7028,0.0
TWN_C22,28.0016,3.8634,1.3275,5.9457,3.808,140.8977,137.4633,12.6453,188.2308,46.7164,261.713,29.3044,832.5678,26.2849,36.888,158.9555,1631.1161,162.5081,317.6682,189.9111,111.0049,106.5157,9.9123,45.3592,353.1608,684.3959,52.7642,1.831,3.738,4.7397,0.6634,82.7878,22.5932,1.4692,4.0163,6.0135,2.5203,33.9367,13.1356,56.8301,22.8,25.1636,13.9337,95.0618,0.0
TWN_C23,5.1252,1.5498,3.0965,1.9769,1.1837,53.2653,112.4966,0.9904,17.6202,28.2578,164.1508,76.9346,12.2896,1333.8742,378.5376,72.7485,581.9152,45.4869,84.9401,66.6049,15.1867,25.8947,78.2402,33.4522,4057.7705,47.884,7.6659,2.6803,1.2243,2.4698,1.4515,28.8524,3.0989,1.181,2.1663,8.6602,2.468,9.4505,7.7387,72.3158,51.3067,37.495,3.6343,16.4746,0.0
TWN_C24,11.615,11.5311,9.9573,7.267,3.0066,38.939,34.2568,2.7479,51.0191,229.8868,646.0458,5.8295,146.6481,196.4253,20481.5634,5808.56,1374.8738,957.0676,3481.8798,468.1988,388.6436,303.4023,149.1754,180.0132,2806.2465,164.2948,41.9094,5.3277,40.0947,16.3414,1.5199,18.0841,6.7881,3.1289,4.2486,11.7792,9.2126,17.0344,6.9915,48.0599,10.6713,19.2285,5.6793,39.1358,0.0
TWN_C25,33.2416,3.7194,2.7307,9.2302,6.5646,228.2403,50.8378,13.5056,36.6658,75.0572,226.1048,15.2848,198.4328,72.0219,719.4404,2085.7498,979.8357,281.9421,1566.3727,274.7426,144.3548,215.2048,37.923,26.2327,2525.2578,150.5585,17.6149,2.0069,3.2235,5.343,1.2173,50.2081,14.7716,2.9499,9.3682,11.0865,7.6111,38.4647,15.0704,598.3169,44.3889,66.9239,10.5449,56.6094,0.0
