V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_G,327.3121,4.5728,0.1359,16.5544,0.0116,415.5053,23.8935,7.4297,56.0221,81.2717,106.4051,12.1864,31.8546,44.0111,9.3697,10.8186,12.792,19.1143,0.6603,1.6839,0.339,86.0187,43.1129,17.5382,231.807,394.8148,137.1723,125.4232,33.0315,16.1903,3.0903,146.2333,7.8667,15.0006,2.9639,8.9516,30.4988,64.6491,60.1305,29.4636,24.0668,68.1246,6.4157,23.3717,0.0
CRI_H49,20.2552,0.5997,0.0158,2.0635,0.0012,41.1346,2.4717,0.6972,8.3868,12.1448,14.6335,1.4693,4.1176,7.5804,2.0594,1.3545,1.7263,3.5882,0.1235,0.1962,0.0356,19.7666,5.7239,2.6428,35.7893,25.6139,36.2035,18.1806,4.4685,3.9701,2.0133,17.451,1.8306,4.78,1.3062,18.9707,2.8918,14.4737,16.4111,4.8805,7.9503,5.6691,1.0764,3.6774,0.0
CRI_H50,26.943,0.4469,0.0097,1.685,0.0007,32.8194,2.9517,1.3922,9.4815,13.7319,8.5227,0.8121,4.1662,13.4667,3.2288,3.0328,3.911,5.9549,0.2048,0.2208,0.043,13.9268,1.7462,0.833,17.9342,37.1069,4.4058,14.7345,1.0831,19.4087,17.6361,4.5155,1.3137,0.4153,0.2392,0.2488,1.5535,4.6465,2.5502,1.1625,3.9022,4.3473,0.5658,3.7147,0.0
CRI_H51,1.6889,0.0441,0.0003,0.0241,0.0,1.3104,0.279,0.0655,0.4913,0.7587,0.8209,0.0205,0.2388,0.2164,0.1757,0.1557,0.0363,0.2096,0.0072,0.0152,0.002,0.3837,0.0949,0.0376,3.3153,0.0591,0.2913,0.1722,0.0198,0.0183,0.0168,0.3564,0.0355,0.0194,0.0147,0.0275,0.3612,0.086,0.0973,0.0192,0.0184,0.242,0.0039,0.1284,0.0
CRI_H52,19.1839,0.1322,0.0061,0.6516,0.0003,29.9688,5.2038,0.5278,12.0926,8.2421,8.1289,1.2179,2.7236,3.1135,0.3859,1.9246,0.6963,4.0262,0.1394,0.5094,0.0954,25.2626,1.7357,0.3401,20.324,67.9687,11.7804,22.009,4.3932,39.1783,7.0655,4.1567,0.5894,8.7485,0.3894,1.9593,9.4176,11.7781,15.8652,0.9485,2.9262,3.8596,0.5599,1.5169,0.0
CRI_H53,0.7651,0.0063,0.0007,0.0681,0.0001,2.6304,0.3329,0.0241,0.7467,0.502,0.9879,0.1612,0.2634,0.3044,0.0662,0.1469,0.0647,0.2267,0.0078,0.0225,0.0043,4.495,0.3123,0.1233,0.7941,10.6137,0.4825,0.8298,0.1646,2.3345,4.7944,0.9087,0.3493,1.5255,0.272,13.6636,3.5734,4.1761,1.5225,0.8229,0.5192,1.5696,0.0424,0.2586,0.0
CRI_I,2.6843,0.0171,0.0039,0.2621,0.0005,18.3295,0.6578,0.6918,1.8796,4.7569,8.1937,1.4381,1.7794,2.0082,0.7298,0.7813,1.8897,1.4403,0.0499,0.1793,0.0456,10.1632,7.5333,2.5657,13.0496,44.1674,4.704,3.4189,2.8289,6.3812,0.5328,18.2283,1.4126,5.5959,1.9685,5.525,5.0868,29.6525,26.3266,11.8278,15.333,13.0257,3.0411,8.4694,0.0
CRI_J58T60,0.6573,0.0036,0.0001,0.0136,0.0,1.7681,0.0838,0.0053,0.3335,0.5082,0.3444,0.2379,0.0801,0.1379,0.0123,0.0215,0.0542,0.1855,0.0067,0.004,0.0009,2.9638,0.1207,0.0938,0.8866,5.4792,0.1223,0.1159,0.0484,0.3039,0.0339,1.4565,1.3551,0.9701,0.1672,0.999,0.6093,6.5977,1.2173,0.8345,2.6197,2.4499,0.1424,0.6328,0.0
CRI_J61,37.4296,0.2414,0.0037,0.3454,0.0003,8.1094,1.5769,0.4738,1.293,2.0305,2.1192,0.5978,0.9064,1.047,0.3061,0.624,0.3034,0.6687,0.0231,0.101,0.0236,5.4968,3.581,0.7596,5.1945,25.3133,3.2717,2.5344,0.6157,3.0532,0.6555,10.4106,2.1783,70.0019,2.6523,16.6725,17.7284,18.6245,19.7077,8.6704,12.0441,8.4418,1.6637,10.0596,0.0
CRI_J62_63,0.871,0.0769,0.0006,0.0705,0.0,6.6564,0.3365,0.0033,2.2133,1.9271,3.7189,0.5131,0.2043,6.0403,0.6039,0.7504,5.3222,0.5518,0.0191,0.0429,0.0103,15.1091,8.2909,1.3985,14.7841,21.5068,1.2078,1.1144,0.4206,5.8465,1.7191,6.5155,2.6395,42.2056,54.4312,40.5774,1.0057,66.2876,36.663,8.8129,5.1605,3.8416,0.6814,2.7892,0.0
