V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_A01_02,4098.9414,438.4693,8.9087,26.171,0.8658,11883.1068,94.298,175.1844,51.4045,44.789,217.3003,68.0341,56.8645,67.4998,119.9698,54.7784,190.2786,33.2374,8.6599,131.6717,22.9876,86.3548,52.5668,18.5365,477.3489,1119.7949,72.9837,29.0927,22.0625,32.0176,2.8688,978.0505,6.5793,40.5537,18.0975,207.335,314.3635,51.2799,108.745,96.26,102.8222,51.7335,52.7592,32.1287,0
PHL_A03,99.2661,243.0465,1.4643,5.6887,0.1564,557.4496,45.4248,23.191,21.648,6.9392,154.6097,2.7587,59.5729,35.9175,9.1349,5.928,50.3446,5.5292,2.1423,10.2879,1.45,55.7722,3.0261,4.3619,36.4635,274.503,3.8677,2.907,1.4909,3.8404,0.9274,75.5737,1.1607,4.5444,2.5593,29.96,8.0131,24.2452,20.6339,5.4326,5.6326,6.3914,17.5936,15.4384,0
PHL_B05_06,0.5722,0.1211,0.5165,1.0727,0.3561,2.3057,0.3857,0.0725,0.171,385.9759,2.2086,0.1067,0.1468,29.1336,71.9103,0.1075,0.5983,0.1748,0.0676,0.1129,0.0682,0.1822,41.2985,0.1363,29.7834,33.1211,1.8331,0.5093,0.6401,0.2182,0.0178,0.5868,0.0875,0.2133,0.0916,0.7778,0.9053,0.1748,0.561,0.2096,0.4043,0.2307,0.4861,0.4475,0
PHL_B07_08,1.7062,0.2594,0.6205,2.3827,2.1943,51.7925,1.3523,0.3142,0.5604,1.1843,4.2931,0.2141,1.9593,43.8751,643.5513,7.818,16.1697,3.0253,0.3982,1.4238,0.6198,22.2263,6.1647,1.1206,397.1576,126.9109,2.3404,0.2069,0.2592,0.5961,0.0576,2.9076,0.269,1.2576,0.444,2.1498,35.2184,0.8984,2.4998,0.9543,2.9949,1.472,0.7686,0.9783,0
PHL_B09,1.7667,0.5185,8.9315,10.4098,1.7853,0.7993,0.0391,0.0383,0.3061,27.7104,1.0015,0.017,0.075,2.2747,2.6157,0.1496,0.0749,0.0409,0.037,0.018,0.0188,0.0219,11.1057,0.3042,12.2386,0.7182,0.5672,0.0717,0.0312,0.2711,0.0036,0.1805,0.0161,0.0231,0.0137,0.109,0.3866,0.0583,0.289,0.4794,0.0555,0.0349,0.0591,0.0456,0
PHL_C10T12,1581.6211,187.8035,3.1617,17.6921,0.5695,7820.6403,283.0523,139.807,88.0592,174.9197,592.4114,106.6751,206.9726,142.8598,68.7931,100.5788,1236.2343,471.991,127.056,754.3498,87.8798,213.0653,16.4746,11.3373,365.9703,3436.1524,140.1903,34.5776,52.9799,83.9409,17.5225,2707.6541,6.0345,25.1919,125.47,319.4273,224.5462,147.9774,394.6071,229.6409,74.9409,144.9039,347.0165,56.5195,0
PHL_C13T15,30.4266,24.438,0.4131,1.0636,0.2793,149.2494,1161.0286,16.158,41.2588,9.1331,34.1268,4.8786,28.9874,16.4924,4.5067,6.6924,82.1117,20.2688,5.6886,18.8836,8.5333,81.2997,3.6653,1.0637,45.795,167.9136,13.9652,1.9948,5.9135,21.7531,0.9272,35.3294,32.3145,15.3442,4.0093,19.3351,10.4977,6.4193,32.7403,7.105,15.2388,12.6153,57.3188,28.5753,0
PHL_C16,7.1712,3.607,2.1469,2.0475,0.1669,20.3268,5.162,48.2753,10.1308,5.1501,2.9896,4.1013,1.7764,21.0694,1.9971,3.3253,12.0043,3.0812,1.2814,1.3137,2.0043,99.3822,0.6871,0.2667,237.03,13.2015,7.8607,0.6014,0.3145,0.9658,0.0623,1.9741,0.7561,1.0752,0.2283,1.7632,80.3545,0.6987,2.9196,4.6584,0.7607,0.4174,0.8356,8.8191,0
PHL_C17_18,5.5492,1.6068,2.3407,1.3477,0.1233,86.1279,12.8217,4.1143,337.8344,4.0398,27.9014,2.9646,4.9086,7.4695,2.1522,12.4751,40.2525,12.9084,4.1445,2.919,2.454,8.2987,7.8144,2.4196,19.6976,92.2223,5.998,0.8582,2.3589,4.8331,0.9747,9.7337,295.3865,75.0573,40.049,58.9831,8.6832,10.5803,31.387,14.2112,34.4161,4.2706,21.9202,12.1415,0
PHL_C19,138.4558,38.8729,27.0716,84.836,2.8375,253.3241,76.8882,17.5249,28.1061,706.2313,131.756,50.37,64.3405,153.5101,172.6733,39.2973,78.0915,22.3797,23.9785,17.2571,7.7511,23.2126,482.574,26.5132,383.9946,600.8664,1272.321,377.5495,441.5027,94.051,7.4731,61.3009,6.9495,32.9158,15.5405,254.3088,82.8611,34.4432,51.4852,57.6923,71.914,43.0352,13.1614,78.0945,0
PHL_C20,535.9004,28.8375,14.3018,26.6587,2.6081,448.7935,215.2197,57.5505,64.2469,36.5315,736.2302,16.0953,195.6767,61.5979,40.6861,37.2878,179.7653,21.8287,12.3096,24.0834,32.8349,66.1626,82.1729,26.8977,132.5833,665.2194,52.4786,9.3849,6.2192,26.4975,3.7022,80.0658,15.9185,39.773,15.399,143.1608,43.9238,21.1533,90.4311,18.665,68.1741,44.7487,42.5484,108.1954,0
PHL_C21,81.0301,1.4482,0.1735,0.9853,0.0809,21.9618,12.0273,2.1984,2.8643,1.7216,32.5232,28.8443,12.0267,3.2756,2.387,1.5181,10.1416,0.6985,0.4246,1.8456,0.4875,3.9145,1.3242,1.1451,27.4057,90.7276,0.9829,0.5278,0.651,0.8029,1.165,3.5893,24.106,2.4555,1.8981,6.7628,3.1882,1.3664,4.8024,2.1998,2.2205,115.8099,2.9005,3.9228,0
PHL_C22,10.8914,1.02,1.8046,5.0166,0.4635,51.9869,62.6987,8.6152,14.4498,6.182,77.3668,2.9973,59.6081,11.8746,6.7954,11.6088,90.885,28.9675,10.689,22.5734,16.1786,12.4371,2.1092,1.9907,102.9988,104.5723,48.3601,1.2461,6.1959,3.4905,0.3086,7.8581,5.2263,6.9053,2.5324,19.582,11.2572,3.1614,11.0732,24.546,2.339,2.2625,3.4596,6.1475,0
PHL_C23,90.1256,0.8901,3.5569,8.2819,0.9461,227.8642,16.7407,20.9795,28.6805,42.7702,33.0372,6.9654,9.4035,160.1819,28.8616,27.3194,168.4066,45.4801,16.424,7.6597,35.5868,17.6962,4.6418,6.5249,1132.6983,190.7387,21.786,1.9609,2.8049,4.2882,0.5767,18.6918,0.6551,7.5561,0.9255,28.3962,119.0274,14.1386,32.4305,18.5813,7.0164,3.9546,6.0911,7.457,0
PHL_C24,5.5142,0.9085,0.7195,13.9066,1.3667,48.0166,11.7038,13.2889,20.3198,7.7905,8.0759,1.1716,11.8278,13.7665,374.6388,210.7846,163.9345,81.3641,72.7996,46.674,125.3809,43.6689,17.8213,7.4002,1059.0708,132.0847,52.8141,2.4345,1.2878,21.0733,0.4023,20.2267,0.2774,11.6137,1.2208,17.7424,76.8647,6.052,28.0268,57.0455,14.4702,6.2448,6.5905,12.4825,0
PHL_C25,24.4863,5.9427,0.4973,17.8005,1.5654,75.2022,9.7434,17.3747,9.2572,17.5012,9.0724,1.4757,5.3665,14.3671,43.8202,29.2345,168.0479,76.7735,33.7282,31.6716,28.8489,16.0744,9.1258,5.9638,375.6818,97.5542,44.5669,2.273,2.6121,5.4492,0.7239,5.9943,1.9471,12.831,1.5527,23.0941,22.4936,6.4089,12.8813,6.9298,2.6173,3.0845,2.6036,6.8705,0
PHL_C26,38.2569,12.6558,2.0105,9.5343,3.5244,147.7766,30.7893,6.5651,13.1855,10.6747,64.2671,4.6858,14.8558,9.173,16.5339,20.9176,2947.0892,250.6913,21.4014,93.2828,195.8506,49.1745,41.645,15.3015,299.5294,806.5063,77.869,18.2685,12.4531,23.1126,13.7146,58.5939,21.68,197.4044,35.0837,208.409,56.6906,33.3299,278.9158,14.6822,37.6004,25.8027,33.2815,340.3262,0
PHL_C27,44.3109,9.6778,0.4682,17.305,0.9928,39.2926,15.2059,3.2999,2.7486,5.1007,15.1612,1.1032,6.1706,12.0335,6.0894,7.7683,152.4614,249.6089,19.4173,212.2877,109.7,11.2959,103.8933,9.2551,98.6145,272.6944,197.4659,12.3964,2.033,36.7474,1.3089,25.8642,7.4064,22.4823,2.086,27.5594,17.1881,7.3151,41.2159,4.0008,17.4746,8.8103,19.7746,53.7442,0
