V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_A01_02,6738.8418,67.8462,11.6201,15.5583,1.5527,60258.1505,1527.5052,1136.0951,1306.0438,3631.585,4755.1708,10.846,693.5856,57.7162,279.7461,5.0344,0.9574,0.7949,2.83,27.4109,1.7605,48.3384,15.8013,28.378,421.6354,2188.522,2.1339,0.1086,0.2962,3.8824,0.5906,1380.0039,386.8045,14.7915,3.0107,6.6094,10.5139,9.6458,28.2122,585.6959,198.8057,167.1365,31.0641,447.8329,0.0
BRA_A03,116.2734,198.2883,0.0159,0.8912,0.0037,1094.2429,0.0,6.18,24.3363,0.0,0.0,0.0,0.0,0.0,0.3619,0.0,0.0,0.0,0.0,0.0,0.0,10.85,0.3207,0.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.7218,7.8211,0.0,0.0,0.0,0.0,0.0,0.0,80.5085,69.7119,49.2202,0.9274,11.3907,0.0
BRA_B05_06,25.3088,0.3829,2569.896,116.0633,55.5467,290.5183,64.6666,12.5273,211.4325,32506.7865,548.3469,13.9021,38.1868,119.3671,963.6053,117.7208,2.0269,11.3129,12.2423,134.0236,2.2917,3.2203,2918.1149,300.8546,356.3365,57.9114,97.2006,3.0907,13.5604,11.0914,1.7694,9.1036,3.1426,26.9698,6.4367,14.1358,15.0141,27.5392,18.2342,76.1151,12.8432,16.9885,3.2935,6.406,0.0
BRA_B07_08,217.4466,1.5973,177.6001,1077.1807,44.6643,259.9527,33.768,11.8319,17.36,100.3633,1485.9396,15.1256,37.4508,2273.3738,8163.4457,43.7899,2.5517,39.5417,211.5575,47.3085,11.233,46.5995,6.0255,125.6263,3015.1012,44.2269,2.9251,0.0997,0.1683,2.5304,0.617,21.3932,2.4564,1.2089,0.493,2.0629,131.7783,6.3731,5.8129,32.3618,12.3346,8.8464,1.4782,21.6787,0.0
BRA_B09,15.3836,0.3659,1230.0856,443.8033,104.1001,6.4138,0.4372,0.5339,12.1682,821.7132,35.1218,0.5112,2.862,48.8683,131.4151,9.413,0.1383,0.3411,3.7375,0.5947,0.2219,0.8843,148.1146,3.2212,315.6609,4.2823,12.5571,0.2575,0.016,6.9448,0.0874,1.5666,0.1418,0.0,0.1181,0.1617,14.5539,2.4662,5.5514,17.0603,1.286,1.2512,0.2717,1.5004,0.0
BRA_C10T12,5076.7971,90.6117,157.8729,184.9763,9.9709,30620.6927,1179.6842,46.3267,508.2935,1288.9858,3364.6296,125.206,740.7663,174.0739,182.3515,157.9989,41.2508,160.2944,116.6421,178.7636,29.9807,154.3073,277.1985,72.798,436.4917,1205.1494,55.8756,1.3399,15.9473,17.7678,3.0728,15208.379,495.205,24.5703,5.4143,122.5719,44.5658,78.6472,118.0151,1319.1241,1177.0754,1188.3059,34.5725,368.8204,0.0
BRA_C13T15,253.6953,1.5455,69.7483,122.9024,3.6758,193.0492,14061.5421,110.7147,90.2255,37.4769,90.1331,52.2071,230.5084,21.8474,15.2587,59.4232,35.6923,13.7778,46.5148,843.2493,54.3729,524.7761,65.4029,44.0718,305.02,203.8516,96.2843,8.7301,77.518,26.7471,8.4174,232.2163,51.5417,55.6017,3.6049,249.0008,24.01,91.7854,121.0199,254.7335,253.1268,75.0306,34.2039,604.8352,0.0
BRA_C16,265.5116,1.2958,4.6898,4.542,5.0585,205.0927,24.6882,1480.0297,207.7483,2.4241,27.6378,20.4784,32.2566,21.6677,16.4052,112.825,91.8737,5.074,189.0316,197.4891,67.2747,2547.3333,139.0945,4.7336,2464.7427,784.973,3.5831,0.2857,0.5029,27.2877,4.7429,6.5914,73.2424,8.3473,2.1056,8.6879,189.8943,9.2041,52.0068,32.9195,14.9768,9.6326,4.1273,82.5272,0.0
BRA_C17_18,241.6154,2.7568,26.1421,62.5657,4.2372,2971.4443,826.9693,224.1906,6591.2193,75.6233,771.2462,344.4011,740.512,691.4089,64.0927,494.6576,652.2385,207.8683,109.1483,631.1798,33.0982,348.4938,29.9219,42.2216,236.708,4057.8627,108.2704,26.4626,29.523,88.9328,29.2154,411.6173,2035.6551,338.6944,463.1074,1278.339,178.3553,2547.8617,1232.0653,770.8437,488.7416,357.299,164.2098,398.3175,0.0
BRA_C19,4818.8773,63.1822,729.125,1497.6394,109.6241,3030.8503,482.8813,99.3563,749.9853,36692.6556,7238.222,148.5535,1274.1607,1467.6074,2124.6471,242.2512,79.6507,437.9594,215.8298,715.9965,57.0017,267.7336,1116.0375,321.8953,3180.3384,4166.5199,16616.3587,417.2498,2320.0766,321.0682,80.4722,560.2066,59.509,54.6666,45.0073,244.0015,58.142,422.8752,481.0653,944.4659,195.3547,223.244,44.1235,225.826,0.0
