V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_A01_02,1912.6505,1.523,14.6031,6.5554,0.0411,4198.6074,48.2088,106.824,5.4839,3.1105,24.838,7.6742,6.7977,15.8323,42.9804,18.7311,0.8604,3.0251,3.9248,1.7346,1.75,13.708,76.6737,49.7027,3.2442,9.2763,3.5657,5.8867,0.8018,7.9893,0.2696,617.2617,1.7667,2.7889,0.2046,2.083,0.4393,3.501,2.2932,62.7041,3.4949,76.6673,3.2132,35.5254,0.0
GRC_A03,0.0,64.8968,0.0,0.0,0.0001,76.5828,1.6223,0.0,0.0,0.0,0.0,0.0111,2.0226,1.6718,0.0,1.2361,0.0,0.0,0.0,0.0,0.0,1.1331,0.0,0.0119,0.0,0.0,0.0,0.378,0.0,0.0001,0.0,162.8467,0.0005,0.0,0.0001,0.0,0.0,0.082,0.0003,0.2751,0.0291,0.0559,0.0067,5.5939,0.0
GRC_B05_06,0.0032,0.0,0.0005,0.002,0.0106,0.0119,0.0023,0.0297,0.0553,23.5993,0.0074,0.007,0.0109,0.095,0.0688,0.0001,0.0125,0.0014,0.1012,0.0002,0.0858,0.0443,205.6781,0.0244,0.266,0.2446,0.0894,0.0033,0.0005,0.0091,0.0002,0.0894,0.0045,0.0726,0.0119,0.0432,0.3002,0.0805,0.0105,0.0609,0.0285,0.0178,0.0093,0.03,0.0
GRC_B07_08,5.1927,0.0446,0.0639,41.3159,0.5063,9.752,0.3101,24.2539,2.3166,407.4231,29.8145,3.6186,0.469,330.6038,46.3262,0.5212,1.398,0.1398,0.1977,0.0322,0.0599,0.4734,156.9979,1.0123,257.7086,4.3757,2.905,0.7188,0.7282,0.2129,0.2484,21.1258,0.292,1.5632,0.2179,0.7394,2.9526,2.3738,1.4294,2.0265,0.8218,0.8834,0.6503,0.6859,0.0
GRC_B09,0.3546,0.0454,1.0485,3.0863,0.209,0.1113,0.0046,0.0097,0.1523,13.8162,0.2371,0.0147,0.0445,1.2323,1.8665,0.2281,0.0005,0.0035,0.0164,0.0003,0.0004,0.0108,4.1409,0.2408,8.6315,0.1429,0.2265,0.2535,0.0006,0.1979,0.0037,0.1143,0.0056,0.0,0.0013,0.0033,2.5746,0.0839,0.0637,0.5176,0.0466,0.0656,0.0273,0.0373,0.0
GRC_C10T12,413.0863,4.6342,0.0063,0.0285,0.014,1300.6029,7.8381,16.3205,2.0716,0.4153,5.3779,6.5737,0.2704,0.1244,12.3315,22.481,4.084,14.1655,9.7673,0.1997,0.3664,1.7782,0.1108,0.2816,0.6407,10.1771,1.2332,90.3305,0.0514,0.026,0.0184,3793.5547,20.4791,0.0423,0.0058,1.3018,0.0571,10.6681,18.7246,79.4146,29.0027,166.8937,0.1841,66.6794,0.0
GRC_C13T15,12.6595,8.5188,0.0709,0.3831,0.0194,16.8697,229.3203,0.8094,2.8467,5.0631,1.7179,2.6283,2.7188,1.9933,2.9174,3.8751,0.3505,0.8149,0.7028,0.3377,0.3014,7.1158,2.6693,6.6225,9.0387,91.3549,2.2263,1.6018,1.2543,0.3282,0.2416,21.6669,2.9737,7.5611,1.8029,39.3927,0.6989,12.2659,2.2774,13.4762,6.6005,8.9507,3.6597,8.7967,0.0
GRC_C16,12.5323,3.6395,0.0207,4.465,0.0404,107.2391,10.409,301.9488,5.3982,1.9297,14.9172,14.8269,5.1356,9.7644,10.0895,22.9306,1.5946,4.7759,5.3134,4.2026,2.2484,371.8719,23.617,2.2389,167.2461,3.0573,2.3432,1.4351,0.7929,0.8049,0.2744,9.524,13.25,0.5917,0.3079,0.5846,2.0642,8.0322,1.0123,23.171,0.5229,5.7356,0.3152,25.7727,0.0
GRC_C17_18,3.792,1.3252,0.6778,0.6969,0.0285,92.1389,13.2801,4.4848,452.3745,2.2296,10.9956,21.5369,16.1628,8.3426,5.7707,5.8028,0.5097,5.3411,0.8657,3.1916,1.2528,3.3885,22.0392,7.0388,70.472,143.1158,35.8431,3.0855,5.3594,2.0872,1.8289,382.1068,73.8557,14.5287,9.5536,45.2148,2.8176,172.8946,164.9299,127.6739,22.4405,15.1483,28.3768,61.4749,0.0
GRC_C19,697.1143,67.1882,12.8128,43.4632,1.0344,197.6206,25.8501,10.1299,14.2099,925.1357,237.1598,18.9087,24.0893,86.7753,122.2278,106.6425,3.0911,7.8755,13.6217,6.0496,2.0309,27.7983,681.1144,69.4893,193.109,703.9605,363.8462,1285.0285,179.5558,275.0907,83.0561,177.6227,7.5174,28.4785,8.4149,15.2602,2.6706,123.2799,65.9878,352.0648,55.6763,64.2393,42.0173,62.4394,0.0
