V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_A01_02,22.1928,0.1187,0.0296,0.0403,0.0064,134.2167,0.3615,24.8514,0.3186,0.2022,0.0877,0.0332,0.0713,0.0006,0.0002,0.0008,0.0009,0.0003,0.0,0.0001,0.0,2.0482,0.0076,0.2063,0.374,0.2255,0.0,0.0,0.0,0.0,0.0001,2.6293,0.0993,0.0005,0.0006,0.0002,0.0003,0.0022,0.0008,0.0002,0.1122,0.0,0.005,0.0169,0.0
LAO_A03,16.7207,7.3727,0.0078,0.0135,0.003,18.3275,0.1144,0.4907,0.1153,0.0756,0.0245,0.0138,0.0095,0.0001,0.0001,0.0002,0.0003,0.0001,0.0,0.0001,0.0,0.6254,0.0026,0.1014,0.1172,0.1044,0.0,0.0,0.0,0.0,0.0001,2.5228,0.1109,0.0004,0.0004,0.0001,0.0001,0.0013,0.0005,0.0,0.0556,0.0,0.0037,0.0089,0.0
LAO_B05_06,0.0176,0.0005,3.7169,2.6581,0.4391,0.9959,0.1419,0.0296,0.0004,0.4525,0.1564,0.0043,0.0796,3.3247,0.0063,0.0072,0.0031,0.0021,0.0002,0.0224,0.0058,9.3372,6.2963,0.2155,1.7716,57.0261,5.9834,0.0076,0.6977,0.5915,1.5474,7.0021,0.0198,7.5363,0.001,7.9909,3.9963,0.0029,0.4533,13.7327,2.4034,0.7705,0.0393,0.1967,0.0
LAO_B07_08,0.0887,0.0038,7.6917,26.1065,2.7512,2.5981,0.3604,0.0876,0.0016,0.9992,0.9026,0.0967,0.4109,25.6129,0.0877,0.0916,0.0217,0.015,0.0013,0.0959,0.023,0.0835,15.7647,1.3538,33.3662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1231,0.0,0.0035,0.0,0.0,0.0178,0.0072,0.0,0.0,0.0,0.15,0.1818,0.0
LAO_B09,0.1016,0.0066,27.4358,14.3294,8.6817,1.9595,0.0786,0.1612,0.0011,1.0444,0.4465,0.0173,0.3017,3.4301,0.0394,0.0655,0.0033,0.0026,0.001,0.0542,0.0085,0.0,10.5389,1.3172,9.2339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1479,0.0,0.0008,0.0,0.0,0.0189,0.0036,0.0,0.0,0.0,0.3102,0.0721,0.0
LAO_C10T12,8.5302,0.2347,0.0364,0.0572,0.0058,34.7228,0.0344,0.0217,0.0004,0.0493,0.0255,0.008,0.0162,0.0069,0.0006,0.002,0.013,0.0047,0.0,0.0,0.0,0.0186,0.0065,0.0071,0.003,0.0734,0.0059,0.0007,0.0006,0.0001,0.0003,11.4465,0.0012,0.0014,0.0015,0.008,0.0049,0.0069,0.0015,0.0071,0.0299,0.0033,0.0015,0.0063,0.0
LAO_C13T15,1.6303,0.1238,0.0147,0.0216,0.0035,0.0988,34.7563,0.2565,0.0081,0.009,0.0045,0.0014,0.0027,0.0058,0.0002,0.0006,0.0093,0.003,0.0,0.0002,0.0,0.2188,0.0548,0.0571,0.1429,0.3019,0.0133,0.0007,0.0003,0.0002,0.0011,0.6024,0.045,0.0037,0.0254,0.0004,0.0002,0.0681,0.0339,0.4051,0.0167,0.0045,0.0385,0.0669,0.0
LAO_C16,2.1086,0.0394,0.0101,0.0148,0.0021,9.6409,2.7194,20.3573,0.6159,0.9389,0.649,0.0966,0.33,0.2956,0.0044,0.0218,0.0483,0.0275,0.0001,0.0045,0.001,4.9303,0.2776,0.722,5.9907,6.5776,0.179,0.0101,0.0046,0.0028,0.8637,2.0336,0.3547,4.3283,0.1212,3.0393,0.0011,0.5058,0.1572,12.5537,0.6128,0.0538,0.2519,0.7005,0.0
LAO_C17_18,0.044,0.0015,0.0002,0.0004,0.0,0.2466,0.0669,0.466,0.0309,0.0165,0.0111,0.0044,0.0076,0.0069,0.0,0.0002,0.0005,0.0002,0.0,0.0001,0.0,0.1,0.0045,0.0213,0.1187,0.1143,0.0032,0.0002,0.0001,0.0001,0.0138,0.0432,0.0156,0.0634,0.0036,0.046,0.0009,0.014,0.0028,0.1928,0.0102,0.0013,0.0038,0.0072,0.0
LAO_C19,10.7759,0.4769,1.2424,2.55,0.2367,3.8547,1.0655,0.5734,0.0176,0.8621,0.5621,0.0412,0.2776,0.223,0.0698,0.117,0.0454,0.0309,0.0005,0.0408,0.0063,0.1666,1.0545,0.1539,4.0458,4.3565,1.6714,2.017,0.9773,0.7195,0.0289,1.1448,0.0561,0.0851,0.0217,1.0882,0.0404,0.2055,0.287,2.9489,0.1373,0.1962,0.0571,0.2139,0.0
LAO_C20,3.2498,0.0095,0.5528,0.9134,0.1287,0.8672,0.3645,0.1844,0.0191,0.2554,0.1453,0.0157,0.1025,0.0836,0.0085,0.0274,0.0095,0.0048,0.0002,0.0078,0.0012,0.0437,0.4585,0.0961,1.3482,1.4424,1.7798,0.0956,0.0448,0.0313,0.0072,0.4304,0.0266,0.0349,0.0074,0.226,0.0356,0.0505,0.0277,0.7513,0.0539,0.027,0.0178,0.1059,0.0
LAO_C21,0.6034,0.0141,0.0489,0.0641,0.0073,0.1715,0.0283,0.0165,0.0009,0.0235,0.0086,0.0406,0.0044,0.0049,0.0008,0.0023,0.0008,0.0002,0.0,0.0005,0.0001,0.0031,0.0477,0.0079,0.0769,0.2246,0.1911,0.0191,0.0116,0.0033,0.002,0.0703,0.0027,0.0086,0.0012,0.0525,0.0033,0.0515,0.0041,0.4131,0.0147,0.0633,0.006,0.0187,0.0
LAO_C22,1.2482,0.0336,0.2036,0.3601,0.0618,0.4217,0.1617,0.0718,0.0033,0.1041,0.0621,0.0174,0.0405,0.0322,0.0026,0.0215,0.0061,0.0034,0.0001,0.0068,0.0007,0.0249,0.1867,0.0435,0.5317,0.6319,0.7559,0.0389,0.0196,0.0129,0.0043,0.2051,0.0194,0.0165,0.0033,0.1092,0.0147,0.0341,0.0104,0.5293,0.028,0.0308,0.0128,0.0438,0.0
LAO_C23,0.1336,0.0023,0.2217,0.4364,0.0876,1.8991,0.0002,0.0004,0.0001,0.2532,0.1291,0.055,0.0885,4.1673,0.1025,0.2783,0.0262,0.013,0.0011,0.2863,0.0417,0.3967,0.1402,0.2804,86.8368,0.286,0.0854,0.0043,0.0022,0.0012,0.14,0.191,0.0982,0.9146,0.0442,0.0,2.6085,0.1512,0.0615,1.2288,0.0,0.0003,0.1532,0.2098,0.0
LAO_C24,0.1973,0.01,0.1813,0.2258,0.0584,1.1138,0.0358,0.0409,0.0018,0.0075,0.0065,0.0007,0.0036,0.0234,0.1067,0.3062,0.0323,0.0322,0.001,0.0232,0.0023,0.0701,0.2658,0.067,1.6631,0.8489,0.3052,0.0121,0.0059,0.0043,0.0091,0.0187,0.0032,0.054,0.0037,0.0655,0.0188,0.0134,0.0055,0.2216,0.0062,0.0038,0.0028,0.1581,0.0
LAO_C25,0.3599,0.0084,0.1217,0.1891,0.0467,1.3634,0.0673,0.066,0.0015,0.0095,0.0058,0.001,0.0024,0.0126,0.0084,0.0741,0.0168,0.0111,0.0004,0.017,0.0029,0.0312,0.1824,0.0217,1.47,1.1816,0.3031,0.0139,0.0069,0.0059,0.009,0.0539,0.0056,0.0785,0.0062,0.0955,0.0303,0.0201,0.0109,0.4362,0.0117,0.0059,0.0061,0.0897,0.0
LAO_C26,0.0711,0.0032,0.0407,0.0563,0.0175,0.3906,0.0168,0.0147,0.0005,0.0027,0.0018,0.0005,0.001,0.0054,0.0047,0.031,0.0128,0.001,0.0002,0.0081,0.0016,0.0248,0.0714,0.0091,0.2425,0.3485,0.0864,0.0051,0.0028,0.0018,0.0009,0.0079,0.004,0.0378,0.0059,0.0309,0.005,0.0078,0.0023,0.122,0.0036,0.0027,0.0017,0.0483,0.0
LAO_C27,0.0693,0.0032,0.0491,0.0654,0.0119,0.3506,0.0121,0.0157,0.0002,0.0021,0.0011,0.0003,0.0008,0.0061,0.0074,0.0343,0.0039,0.0039,0.0002,0.0107,0.0017,0.02,0.0687,0.0071,0.767,0.2028,0.0998,0.0037,0.0014,0.0011,0.0003,0.0088,0.0016,0.0117,0.0012,0.0093,0.0062,0.0031,0.0015,0.0429,0.0012,0.0007,0.0008,0.0177,0.0
LAO_C28,0.0009,0.0,0.0003,0.0005,0.0001,0.0035,0.0005,0.0007,0.0,0.0003,0.0,0.0,0.0,0.0,0.0002,0.0009,0.0122,0.0069,0.0,0.0005,0.0001,0.0005,0.0007,0.0002,0.0042,0.0023,0.0007,0.0001,0.0,0.0001,0.0001,0.0013,0.0,0.0006,0.0,0.0009,0.0001,0.0,0.0001,0.0017,0.0002,0.0,0.0,0.0002,0.0
