V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,5940.3669,4.4799,8.3985,9.2254,0.041,10167.2587,31.699,1123.7596,354.5572,3.8374,69.013,29.7001,242.4497,13.3111,6.3629,10.8926,2.9406,7.4107,20.1321,11.9766,2.2282,114.6136,112.9415,4.751,106.923,995.7507,40.1584,0.3688,1.102,17.5372,0.3516,74.9769,2.7029,2.9426,1.692,4.7829,30.4354,16.3719,148.0077,43.5788,10.7629,48.7636,5.0762,51.8799,0.0
POL_A03,1.0289,3.4026,0.032,0.1148,0.0015,102.8828,0.1316,0.0986,0.115,0.0513,0.2559,0.0346,0.1587,0.1063,0.0697,0.1185,0.0958,0.1126,0.0794,0.1398,0.0238,0.2388,0.3219,0.0731,1.7388,10.279,0.6251,0.0077,0.0305,0.6321,0.0134,5.9122,0.0735,0.1972,0.0754,0.2948,0.4907,0.7302,0.2374,0.2296,0.2816,0.8048,0.1921,0.2979,0.0
POL_B05_06,191.1382,0.1338,91.4902,42.3756,1.0252,117.7319,8.071,14.9607,48.7698,778.1549,174.3385,2.5127,24.2479,118.1864,367.2688,12.9973,27.1757,5.6017,8.9166,8.8486,2.4683,10.4604,3175.1484,57.4925,79.3128,51.0421,23.6139,0.2401,0.7606,14.4584,1.6377,12.9831,3.2473,9.4509,7.5603,10.1917,117.4136,24.2842,33.2059,10.7133,9.0304,13.3986,7.3585,7.6657,0.0
POL_B07_08,21.7034,0.0106,83.5752,172.0441,0.0,3.7075,0.8755,0.6718,1.9774,1783.6915,498.1896,1.1571,26.4564,718.3109,820.2602,55.4612,58.4609,67.8329,21.7164,14.9524,1.8051,7.2526,961.6967,12.9341,1276.8903,35.4179,27.3163,0.0,0.0,8.2732,0.4093,0.6643,0.0296,0.0,0.2892,7.4814,12.4522,23.984,34.2868,29.1108,5.395,1.1558,1.9675,10.4854,0.0
POL_B09,0.0,0.0,47.7785,20.5528,46.8239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.5545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,2375.7862,6.725,10.4694,13.3745,1.7017,10235.1433,61.9466,32.4067,57.0796,66.6183,212.0145,14.7752,109.2522,49.2248,43.999,63.1496,33.5643,44.7881,38.1682,50.9277,8.1083,146.8081,58.6933,28.6826,245.5213,2576.1125,77.5107,1.6937,5.3924,39.9743,2.6057,1992.1281,12.8828,27.1444,12.3602,63.5884,74.8075,67.8029,82.6149,75.1638,130.984,205.977,30.4186,190.0447,0.0
POL_C13T15,15.8626,0.1873,5.7214,4.1178,0.1017,44.3102,576.6384,7.9137,33.059,5.7882,11.509,2.7271,106.4347,15.0024,9.8254,14.1082,6.3764,11.9354,11.8452,169.2266,5.892,197.6925,10.7887,4.8545,68.0709,155.3848,25.2651,0.2852,0.7418,9.4999,2.2847,12.8948,5.836,2.8128,1.3219,8.2784,8.185,10.1485,17.2775,48.274,5.9637,16.733,20.8383,17.6868,0.0
POL_C16,94.6107,0.0858,20.6204,7.4431,0.1309,51.2136,13.5543,1258.4622,102.311,7.5675,28.8156,3.5718,46.0171,83.4123,15.6624,106.3951,29.0201,62.1535,30.6054,60.694,21.9889,1074.9419,18.6332,14.6573,1547.5698,302.8801,79.3746,0.4259,1.1315,39.6711,2.8567,10.0829,9.8776,5.3681,2.0538,10.1091,117.2703,18.3296,20.4802,31.5486,12.3843,20.4229,11.2747,75.0213,0.0
POL_C17_18,33.6922,0.1556,4.3802,6.7952,0.1129,543.462,53.1768,120.4876,2191.2879,14.246,113.0633,71.6154,151.5465,155.3356,21.4556,49.9611,15.4533,62.617,31.3615,62.1194,7.3478,170.9137,28.087,26.0506,172.2584,1117.7381,51.1503,0.8434,2.7507,59.7405,14.2014,39.4251,646.4401,42.6257,26.3237,544.6411,63.3792,361.1507,118.2478,145.6607,313.1698,49.5285,94.8898,135.6266,0.0
POL_C19,733.42,10.6035,22.6586,68.8939,7.0176,308.4279,38.5062,79.3416,69.0465,553.1848,322.0877,41.4711,227.2344,234.2613,555.3584,96.0533,33.2001,77.3803,53.549,64.9247,12.9014,143.8301,189.2427,143.5014,1834.8739,1464.4328,5609.1818,26.6908,120.8581,562.7254,45.1699,63.2017,19.461,43.8997,20.731,357.9297,115.6825,119.925,133.1317,133.7757,46.5667,88.7522,30.5017,54.189,0.0
POL_C20,739.9397,0.4474,26.786,28.1574,1.0712,266.94,120.196,138.2986,239.1532,172.0828,1393.3593,39.8122,1206.5464,248.2849,88.8386,185.4845,78.1071,184.063,81.1965,225.2146,26.8628,218.8627,49.2581,46.4482,609.5096,439.779,92.5761,1.6498,4.8753,37.0951,4.9707,39.5671,27.2322,14.5258,4.8593,30.3386,137.0395,100.6012,83.4028,34.0349,28.5085,195.6851,18.2637,67.0009,0.0
POL_C21,23.9442,0.0937,1.1192,1.3342,0.1141,46.4886,4.8885,4.3455,5.1322,7.702,18.0855,174.0168,15.5117,5.535,5.5211,7.2592,4.7096,5.163,3.6752,15.9588,1.117,9.5308,6.6507,1.8078,23.9959,33.3814,8.8675,0.1564,0.4904,2.879,0.3354,6.9408,1.7082,3.2262,1.5675,3.2674,4.8594,38.2875,3.7753,23.5386,7.0623,321.1195,2.9192,3.462,0.0
POL_C22,63.2834,0.1984,51.652,30.1306,0.4111,420.9464,117.7508,64.8958,123.7949,20.8387,202.0629,35.1827,1801.7345,93.4067,54.7156,187.7186,335.449,458.9452,186.1512,973.9146,27.1397,416.4044,45.8227,72.0224,3386.3949,928.7966,236.3021,0.8241,2.6601,71.0413,8.2613,12.4143,41.1982,22.3733,3.6531,84.736,43.7625,50.9973,54.2649,73.1449,17.0937,33.1868,11.4948,40.093,0.0
