V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_A01_02,622.7385,13.1777,0.1505,0.0086,0.0051,1053.4375,7.4802,126.8775,35.8851,1.4426,18.3347,2.9773,3.1109,3.2699,0.4224,2.1767,0.8567,1.0361,1.9064,0.1122,2.4964,1.8139,6.6617,3.478,11.9492,272.0589,13.3422,0.2446,1.705,10.6679,0.4234,24.8263,6.4889,4.7653,3.1457,10.1647,6.4009,31.2715,17.6886,17.7729,8.5956,10.3562,16.0483,16.9044,0.0
HRV_A03,21.9005,19.6978,0.0129,0.0012,0.0008,65.4883,0.2099,0.0371,0.038,0.07,0.4671,0.053,0.1022,0.0907,0.0174,0.07,0.0095,0.0427,0.0234,0.0045,0.0427,0.0839,0.1307,0.0609,0.5731,11.8407,1.2632,0.013,0.2083,0.2749,0.0237,3.2216,0.1052,0.0997,0.0118,0.03,0.0682,0.4057,0.176,0.2642,0.3001,0.2354,0.0789,0.0533,0.0
HRV_B05_06,0.0079,0.6114,69.3408,0.7979,9.1501,44.745,0.0221,0.0748,0.0053,498.0227,3.9195,0.0266,0.095,0.0,4.4784,0.0502,0.0017,0.1512,0.0,0.0037,0.001,0.0077,107.4951,0.7365,2.8308,0.2843,0.2565,0.7285,0.0,2.9615,0.0,0.7601,0.0289,0.0273,0.0,0.0,0.301,4.499,0.1546,0.0992,0.0,0.2478,0.0002,0.0466,0.0
HRV_B07_08,0.6418,0.1072,1.453,1.4338,0.0323,2.5072,0.0303,0.0619,0.7415,0.0,0.2201,0.0522,0.0442,7.9158,0.2095,0.088,0.0151,0.1138,0.0186,0.008,0.0534,0.0304,0.0049,0.3609,14.1078,0.1995,0.0165,0.0378,0.0,0.179,0.0,0.1219,0.0015,0.0015,0.0004,0.0008,0.0222,0.2994,0.0134,0.1038,0.0014,0.0459,0.0211,0.213,0.0
HRV_B09,0.0,0.1245,7.8989,0.0003,1.7816,7.1061,0.0034,0.0098,0.0011,61.5368,0.6268,0.0039,0.0138,0.0,0.6224,0.0077,0.0003,0.0235,0.0,0.0006,0.0,0.0013,8.6476,0.1368,4.7765,0.3004,0.2844,0.1203,0.0,0.5183,0.0,0.123,0.0,0.0,0.0,0.0,0.0554,0.7269,0.0322,0.0,0.0,0.0457,0.0,0.0092,0.0
HRV_C10T12,115.4907,1.0367,0.0011,0.0002,0.0,173.1448,31.2671,0.1969,2.404,0.0379,27.4523,6.0412,0.3228,0.3574,0.0621,0.1188,0.0167,0.0982,0.0478,0.0082,0.0607,0.061,0.3011,0.0579,2.5356,57.0003,0.1326,1.0799,0.0309,2.1422,0.0106,305.9898,0.4831,0.0099,0.0689,2.6227,1.2569,15.5037,4.79,0.3778,12.0044,24.0002,8.8126,6.4813,0.0
HRV_C13T15,2.2674,0.0412,0.0086,0.0002,0.0001,1.3385,58.4123,0.0868,0.4316,0.0288,0.2831,0.1799,1.0756,3.9978,0.403,0.3697,0.1552,0.9186,0.2062,0.1892,0.6271,4.2276,0.5338,0.5229,1.8726,4.2106,0.4136,0.069,0.1932,1.0185,0.3945,2.2658,0.0668,0.5917,0.0649,7.084,0.6275,2.3689,2.1406,37.0613,0.7515,19.7667,0.6583,1.5801,0.0
HRV_C16,4.8722,0.9027,0.5119,0.0476,0.0397,14.4094,2.8087,45.5696,2.5316,2.7707,2.5236,1.3427,6.3699,10.0077,1.4507,7.5041,1.2755,5.1098,2.5461,0.7378,5.8051,9.1658,5.5602,1.4306,32.3918,10.9156,10.4096,0.6769,1.6273,4.5764,0.1508,2.3243,0.6173,0.4834,0.3181,4.5944,7.7736,4.7314,1.1773,4.347,0.9504,19.2179,1.5294,2.5058,0.0
HRV_C17_18,8.2484,1.3894,0.1559,0.0221,0.0099,45.6346,6.1935,7.3404,57.2159,1.9144,23.8874,5.6797,3.4583,7.334,0.5976,3.5998,0.7897,4.5008,1.2964,0.2772,2.8246,1.7801,2.18,0.987,5.735,50.4552,13.0418,0.39,1.9889,5.2169,0.9345,23.0895,38.3395,7.5215,3.5356,19.6588,0.6202,21.0991,4.6949,14.9296,4.7925,7.3922,8.0881,12.4035,0.0
HRV_C19,90.4305,5.7425,15.7081,0.6977,0.403,29.4276,6.3371,6.7114,2.8299,103.8363,12.5492,1.4272,2.0007,26.1295,16.225,10.1265,0.3867,6.9727,1.5344,0.3561,1.5975,3.3439,1050.5442,19.1537,134.8063,103.4612,117.6354,92.0995,35.0139,25.802,7.1572,12.7867,1.655,8.3051,1.5231,9.3823,10.4936,51.8524,13.289,71.5254,4.0997,27.9632,8.5385,8.1543,0.0
HRV_C20,82.3637,0.5531,0.486,0.0232,0.0238,33.0691,50.7586,9.4485,20.5065,31.85,121.3088,16.4426,28.8625,18.3895,10.5684,7.6865,4.1378,8.3945,1.4565,0.573,2.4216,3.3903,15.4994,17.0537,23.7736,43.7452,3.3019,2.19,0.1034,3.2919,0.7581,16.0246,1.2401,0.2937,0.216,1.1756,22.0002,22.5562,4.157,8.094,3.7413,15.1423,5.1343,10.7208,0.0
HRV_C21,7.9574,0.2977,0.5607,0.0939,0.0529,11.3108,4.7636,1.315,1.6496,4.6868,9.1839,31.6845,2.3281,3.1133,1.0461,2.7841,1.1206,1.9376,0.9568,0.306,5.6007,1.1384,5.7039,0.7324,7.5616,35.4673,21.1739,0.6974,3.5379,4.2947,0.1256,1.9063,0.4477,0.1744,0.1818,1.3258,1.4192,4.2269,0.9473,2.5447,0.4122,131.9481,0.3478,0.8856,0.0
HRV_C22,10.7754,3.3192,0.0927,0.0278,0.0084,49.033,9.7319,3.089,9.5905,1.7094,7.1823,6.1435,37.8779,43.8646,0.8193,7.0166,1.324,11.3878,4.6069,2.0068,12.9875,5.6413,1.0655,3.2823,22.7112,12.5919,3.5763,0.8029,0.0525,1.8689,0.7909,7.5898,6.2791,1.7151,0.1374,16.0854,2.1246,3.8658,1.1459,4.8055,0.2073,13.4977,2.4641,9.4112,0.0
HRV_C23,11.5353,6.1774,3.4053,3.428,0.0863,30.4807,4.0123,5.8146,4.1251,3.5801,5.4284,5.4087,4.655,49.147,2.2083,12.3985,2.3121,13.5021,4.5903,1.2987,8.9629,7.6801,6.829,10.3668,377.1319,20.3928,5.8076,0.652,1.5066,8.675,0.3739,11.8677,3.7031,10.4168,0.5034,15.7097,2.4434,20.5925,1.8215,11.1102,13.8857,6.8303,2.4762,18.6114,0.0
HRV_C24,0.047,0.0,0.0481,0.0001,0.0006,0.5363,0.0,0.7979,0.5875,0.0,1.3991,0.3886,19.1829,3.1439,39.1154,60.219,1.1725,23.5854,7.5515,1.481,8.9058,32.6903,0.3254,21.198,75.5261,2.594,2.0214,0.0874,0.0,0.854,0.0,0.4043,0.5553,0.0,0.0,0.0,31.8214,4.5721,0.0417,0.0016,0.1426,0.0646,0.1154,0.0872,0.0
